,,Correlated,,,Anticorrelated,,
,,GS,FER1,FER2,GS,FER1,FER2
k_trimmed,%FeasibleSol,79.63 %,77.78 %,96.30 %,74.07 %,72.22 %,98.15 %
,%OptimalSol,11.11 %,12.96 %,12.96 %,12.96 %,12.96 %,11.11 %
,%BestTime,0.00 %,83.33 %,16.67 %,16.67 %,66.67 %,16.67 %
,%BestSol,2.56 %,33.33 %,38.46 %,0.00 %,35.14 %,40.54 %
,%BestLB,29.63 %,7.41 %,27.78 %,25.93 %,7.41 %,25.93 %
k_centrum,%FeasibleSol,74.07 %,81.48 %,100.00 %,64.81 %,72.22 %,100.00 %
,%OptimalSol,14.81 %,12.96 %,12.96 %,11.11 %,11.11 %,9.26 %
,%BestTime,33.33 %,16.67 %,50.00 %,20.00 %,40.00 %,40.00 %
,%BestSol,2.50 %,10.00 %,27.50 %,0.00 %,14.71 %,17.65 %
,%BestLB,48.15 %,18.52 %,12.96 %,37.04 %,20.37 %,16.67 %
Hurwicz,%FeasibleSol,62.96 %,77.78 %,96.30 %,64.81 %,70.37 %,96.30 %
,%OptimalSol,16.67 %,22.22 %,22.22 %,9.26 %,14.81 %,12.96 %
,%BestTime,0.00 %,11.11 %,77.78 %,0.00 %,60.00 %,40.00 %
,%BestSol,0.00 %,20.59 %,26.47 %,3.03 %,42.42 %,30.30 %
,%BestLB,24.07 %,35.19 %,12.96 %,9.26 %,29.63 %,38.89 %
