Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Best LB,GS,,FER1,,FER2,
,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z
5.1,176.00,4.66s,176.00,2.71s,176.00,1.10s,176.00,192.25,4.79s,192.25,10.99s,192.25,112.41s,192.25
5.2,149.00,7.44s,149.00,1.18s,149.00,0.03s,149.00,205.98,34.50s,206.00,2.59s,206.00,2.62s,206.00
5.3,82.44,52.42s,82.44,12.78s,82.44,175.05s,82.44,200.49,9.41s,200.50,0.82s,200.50,0.05s,200.50
7.1,213.22_{1},14.16s,213.22,0.00 %,213.22,0.00 %,213.22,292.98,1258.43s,293.00,6.93s,293.00,1.99s,293.00
7.2,181.12,63.90s,181.12,105.53s,181.12,1878.64s,181.12,226.87_{12},13.16s,226.89,264.00s,226.89,0.50 %,228.00
7.3,163.40,104.75s,163.40,7.45s,163.40,4.94s,163.40,188.36,450.77s,188.38,350.83s,188.38,770.37s,188.38
10.1,292.00_{2},29.66 %,378.60,29.18 %,377.20,27.81 %,373.20,332.61_{1},20.07 %,399.38,15.75 %,385.00,16.76 %,388.38
10.2,298.50_{23},9.05 %,325.50,49.05s,298.50,33.44s,298.50,316.54_{1},31.61 %,416.60,27.25 %,402.80,27.32 %,403.00
10.3,116.11,127.58s,116.11,253.12s,116.11,2478.21s,116.11,362.50_{3},24.69 %,452.00,22.48 %,444.00,22.48 %,444.00
15.1,337.91_{1},63.59 %,552.80,52.58 %,515.60,52.29 %,514.60,377.05_{1},66.72 %,628.60,58.50 %,597.60,55.84 %,587.60
15.2,287.71_{1},36.75 %,393.44,24.62 %,358.56,24.62 %,358.56,418.00_{2},63.28 %,682.50,57.30 %,657.50,55.86 %,651.50
15.3,206.98_{1},790.69s,207.00,0.01 %,207.00,0.01 %,207.00,266.93_{1},17.30 %,313.11,13.81 %,303.78,13.81 %,303.78
20.1,481.00_{3},66.84 %,802.50,46.57 %,705.00,46.47 %,704.50,463.49_{1},78.56 %,827.60,64.19 %,761.00,64.19 %,761.00
20.2,359.50_{1},63.16 %,586.55,43.23 %,514.89,43.69 %,516.56,518.50_{3},76.76 %,916.50,69.53 %,879.00,70.01 %,881.50
20.3,201.62_{1},13.14 %,228.12,11.35 %,224.50,11.35 %,224.50,295.24_{1},34.77 %,397.89,28.78 %,380.22,28.45 %,379.22
25.1,556.50_{2},67.48 %,932.00,52.11 %,846.50,52.11 %,846.50,558.11_{1},74.66 %,974.80,62.69 %,908.00,65.70 %,924.80
25.2,423.90_{1},49.88 %,635.33,43.14 %,606.78,42.83 %,605.44,623.50_{3},84.28 %,1149.00,75.78 %,1096.00,74.18 %,1086.00
25.3,225.72_{1},22.05 %,275.50,17.29 %,264.75,17.12 %,264.38,350.84_{1},37.48 %,482.33,37.26 %,481.56,37.04 %,480.78
30.1,626.00_{2},70.61 %,1068.00,54.31 %,966.00,55.27 %,972.00,688.50_{3},93.68 %,1333.50,69.21 %,1165.00,70.01 %,1170.50
30.2,466.72_{1},54.20 %,719.67,50.05 %,700.33,50.98 %,704.67,598.10_{1},60.54 %,960.22,57.00 %,939.00,57.61 %,942.67
30.3,228.99_{1},30.30 %,298.38,26.70 %,290.12,26.75 %,290.25,406.23_{1},52.99 %,621.50,51.15 %,614.00,50.50 %,611.38
35.1,652.82_{1},68.18 %,1097.89,56.94 %,1024.55,57.88 %,1030.67,778.00_{2},88.43 %,1466.00,73.01 %,1346.00,74.29 %,1356.00
35.2,509.81_{1},56.09 %,795.75,52.68 %,778.38,51.60 %,772.88,687.43_{1},63.51 %,1124.00,59.37 %,1095.55,59.22 %,1094.55
35.3,270.19_{1},45.90 %,394.20,33.98 %,362.00,33.53 %,360.80,438.05_{1},59.40 %,698.25,58.20 %,693.00,57.37 %,689.38
40.1,769.66_{1},75.78 %,1352.89,58.77 %,1222.00,58.81 %,1222.33,861.97_{1},75.21 %,1510.22,77.00 %,1525.67,69.24 %,1458.78
40.2,563.07_{1},76.89 %,996.00,60.46 %,903.50,60.33 %,902.75,742.26_{1},79.16 %,1329.88,72.33 %,1279.12,69.75 %,1260.00
40.3,303.00_{3},30.86 %,396.50,27.06 %,385.00,26.73 %,384.00,616.40_{2},70.83 %,1053.00,68.72 %,1040.00,69.50 %,1044.80
45.1,818.87_{1},68.45 %,1379.38,64.66 %,1348.38,65.14 %,1352.25,952.83_{1},80.25 %,1717.44,72.60 %,1644.55,68.57 %,1606.22
45.2,627.94_{1},71.45 %,1076.60,61.61 %,1014.80,61.58 %,1014.60,816.18_{1},84.07 %,1502.38,73.35 %,1414.88,72.91 %,1411.25
