Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Best LB,GS,,FER1,,FER2,
,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z
5.1,142.67,18.55s,142.67,5.80s,142.67,26.61s,142.67,171.17,3.03s,171.17,8.92s,171.17,74.13s,171.17
5.2,104.50,44.02s,104.50,0.74s,104.50,2.32s,104.50,176.00,6.01s,176.00,1.96s,176.00,10.99s,176.00
5.3,80.00,5.89s,80.00,0.46s,80.00,0.13s,80.00,136.00,12.33s,136.00,0.42s,136.00,0.31s,136.00
7.1,202.65,324.73s,202.67,113.72s,202.67,2682.49s,202.67,239.31_{12},119.05s,239.33,982.25s,239.33,0.0100 %,239.33
7.2,162.49,96.65s,162.50,7.41s,162.50,41.14s,162.50,194.73,268.87s,194.75,36.39s,194.75,171.96s,194.75
7.3,156.99,145.94s,157.00,0.71s,157.00,5.64s,157.00,146.99,174.56s,147.00,0.75s,147.00,9.24s,147.00
10.1,182.93_{1},66.46 %,304.50,66.82 %,305.17,69.74 %,310.50,211.50_{1},75.65 %,371.50,59.89 %,338.17,59.65 %,337.67
10.2,201.52_{1},22.94 %,247.75,21.58 %,245.00,21.58 %,245.00,223.75_{3},40.67 %,314.75,35.42 %,303.00,33.41 %,298.50
10.3,113.00_{23},0.00 %,113.00,7.94s,113.00,760.13s,113.00,99.99,278.14s,100.00,8.40s,100.00,37.50s,100.00
15.1,160.00_{3},193.91 %,470.25,176.09 %,441.75,175.16 %,440.25,151.02_{1},211.05 %,469.75,189.70 %,437.50,192.51 %,441.75
15.2,197.00_{3},83.76 %,362.00,71.32 %,337.50,70.05 %,335.00,249.50_{3},55.71 %,388.50,51.90 %,379.00,52.30 %,380.00
15.3,99.83_{3},116.36 %,216.00,102.34 %,202.00,102.34 %,202.00,110.33_{3},61.48 %,178.17,61.48 %,178.17,61.48 %,178.17
20.1,164.55_{1},297.45 %,654.00,275.57 %,618.00,285.75 %,634.75,118.00_{3},496.82 %,704.25,428.18 %,623.25,414.62 %,607.25
20.2,100.05_{1},410.72 %,511.00,368.74 %,469.00,364.25 %,464.50,91.05_{1},411.78 %,466.00,390.91 %,447.00,409.58 %,464.00
20.3,68.59_{1},226.08 %,223.67,216.60 %,217.17,216.60 %,217.17,92.14_{1},121.77 %,204.33,119.06 %,201.83,119.42 %,202.17
25.1,99.67_{1},681.11 %,778.50,577.77 %,675.50,570.49 %,668.25,146.21_{1},448.36 %,801.75,396.55 %,726.00,384.06 %,707.75
25.2,118.43_{1},397.34 %,589.00,388.06 %,578.00,372.01 %,559.00,174.02_{1},270.65 %,645.00,233.87 %,581.00,241.34 %,594.00
25.3,119.67_{1},127.58 %,272.33,116.43 %,259.00,115.60 %,258.00,84.00_{3},210.91 %,261.17,203.57 %,255.00,198.81 %,251.00
30.1,70.25_{1},1246.58 %,946.00,1164.02 %,888.00,1153.70 %,880.75,59.00_{2},1554.24 %,976.00,1384.75 %,876.00,1449.15 %,914.00
30.2,79.50_{3},761.01 %,684.50,677.36 %,618.00,733.33 %,662.50,136.37_{1},461.94 %,766.33,408.65 %,693.67,418.67 %,707.33
30.3,53.00_{2},489.62 %,312.50,434.43 %,283.25,433.96 %,283.00,71.16_{1},326.48 %,303.50,315.94 %,296.00,320.51 %,299.25
35.1,126.24_{1},638.30 %,932.00,613.75 %,901.00,591.96 %,873.50,53.00_{2},2208.49 %,1223.50,1871.70 %,1045.00,1892.45 %,1056.00
35.2,161.46_{1},396.30 %,801.33,365.85 %,752.17,370.70 %,760.00,132.83_{3},874.15 %,1294.00,525.72 %,831.17,534.50 %,842.84
35.3,37.57_{1},920.85 %,383.50,801.06 %,338.50,802.39 %,339.00,60.29_{1},446.98 %,329.75,432.46 %,321.00,408.00 %,306.25
40.1,110.79_{1},988.82 %,1206.34,1136.99 %,1370.50,979.64 %,1196.17,74.00_{3},1804.50 %,1409.34,1631.53 %,1281.34,1651.13 %,1295.84
40.2,66.20_{1},1224.84 %,877.00,1159.12 %,833.50,1191.98 %,855.25,32.25_{2},2599.22 %,870.50,2517.05 %,844.00,2478.29 %,831.50
40.3,80.80_{1},364.11 %,375.00,344.31 %,359.00,349.26 %,363.00,48.90_{1},618.80 %,351.50,589.15 %,337.00,574.83 %,330.00
45.1,117.50_{3},1097.45 %,1407.00,1093.90 %,1402.84,992.91 %,1284.17,99.00_{3},1513.80 %,1597.67,1455.89 %,1540.34,1324.24 %,1410.00
45.2,41.50_{3},2834.94 %,1218.00,2133.13 %,926.75,2225.30 %,965.00,51.49_{1},1989.55 %,1076.00,1899.25 %,1029.50,1823.03 %,990.25
