Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
5.1,5.9E+04,107.35s ,202.00,1.1E+03,0.26s ,202.00,6.7E+02,0.12s ,202.00,2.6E+04,23.11s ,144.20,5.3E+02,0.16s ,144.20,1.7E+03,0.19s ,144.20
5.2,7.6E+03,3.95s ,63.40,0.0E+00,0.18s ,63.40,6.6E+02,0.10s ,63.40,4.6E+04,39.91s ,185.20,1.3E+03,0.75s ,185.20,1.9E+03,0.25s ,185.20
5.3,1.6E+04,22.01s ,71.70,3.5E+01,0.14s ,71.70,2.3E+02,0.05s ,71.70,2.8E+04,16.94s ,196.20,2.5E+03,0.42s ,196.20,1.4E+03,0.14s ,196.20
7.1,3.8E+05,564.76s ,232.20,2.0E+03,4.92s ,232.20,3.3E+03,1.54s ,232.20,6.4E+04,94.24s ,200.00,2.2E+03,1.45s ,200.00,3.7E+03,2.14s ,200.00
7.2,5.5E+04,46.51s ,106.60,2.0E+03,0.73s ,106.60,1.2E+03,0.72s ,106.60,9.7E+05,822.42s ,262.00,1.3E+04,6.95s ,262.00,2.1E+04,12.86s ,262.00
7.3,8.7E+04,68.14s ,147.10,2.1E+03,0.81s ,147.10,3.5E+03,0.81s ,147.10,3.8E+06,11.45 %,289.00,4.3E+04,23.51s ,289.00,8.8E+04,28.35s ,289.00
10.1,1.6E+06,29.24 %,370.60,1.5E+06,1087.19s ,348.20,9.9E+05,592.58s ,348.20,1.5E+06,25.31 %,308.60,7.0E+04,94.29s ,275.60,8.2E+04,98.33s ,275.60
10.2,4.1E+05,1331.52s ,147.60,8.3E+02,3.51s ,147.60,1.1E+03,2.17s ,147.60,2.6E+06,31.22 %,401.00,6.3E+06,3114.98s ,379.80,7.7E+06,8.58 %,379.80
