Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
5.1,9.9E+03,4.66s ,176.00,1.5E+03,2.71s ,176.00,2.7E+03,1.10s ,176.00,9.6E+03,4.79s ,192.25,9.3E+03,10.99s ,192.25,7.3E+04,112.41s ,192.25
5.2,1.3E+04,7.44s ,149.00,2.2E+03,1.18s ,149.00,6.0E+01,0.03s ,149.00,2.9E+04,34.50s ,206.00,2.2E+03,2.59s ,206.00,5.7E+03,2.62s ,206.00
5.3,4.1E+04,52.42s ,82.44,8.6E+03,12.78s ,82.44,9.8E+04,175.05s ,82.44,1.9E+04,9.41s ,200.50,1.7E+03,0.82s ,200.50,1.7E+02,0.05s ,200.50
7.1,3.2E+04,14.16s ,213.22,8.2E+05,27.46 %,213.22,9.1E+05,26.26 %,213.22,1.1E+06,1258.43s ,293.00,4.0E+03,6.93s ,293.00,5.0E+03,1.99s ,293.00
7.2,8.9E+04,63.90s ,181.13,4.8E+04,105.53s ,181.13,5.2E+05,1878.64s ,181.13,3.2E+04,13.16s ,226.89,1.7E+05,264.00s ,226.89,1.0E+06,24.27 %,228.00
7.3,1.2E+05,104.75s ,163.40,3.7E+03,7.45s ,163.40,3.8E+03,4.94s ,163.40,1.8E+05,450.77s ,188.38,7.2E+04,350.83s ,188.38,2.1E+05,770.37s ,188.38
10.1,2.4E+06,22.91 %,378.60,9.4E+05,22.59 %,377.20,7.6E+05,22.24 %,373.20,2.8E+06,16.72 %,399.38,2.8E+05,48.60 %,385.00,3.4E+05,49.05 %,388.38
10.2,2.0E+06,22.87 %,325.50,4.1E+04,49.05s ,298.50,3.9E+04,33.44s ,298.50,2.6E+06,24.02 %,416.60,8.5E+05,25.57 %,402.80,8.9E+05,26.55 %,403.00
