Rodando pra 1h

Optimize a model with 160129 rows, 239510 columns and 8769089 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 8s) ...
Presolve removed 8 rows and 8 columns (presolve time = 11s) ...
Presolve removed 8 rows and 8 columns (presolve time = 16s) ...
Presolve removed 8 rows and 8 columns (presolve time = 20s) ...
Presolve removed 8 rows and 8 columns (presolve time = 25s) ...
Presolve removed 8 rows and 8 columns (presolve time = 31s) ...
Presolve removed 8 rows and 8 columns (presolve time = 36s) ...
Presolve removed 8 rows and 8 columns (presolve time = 41s) ...
Presolve removed 8 rows and 8 columns (presolve time = 46s) ...
Presolve removed 8 rows and 8 columns (presolve time = 51s) ...
Presolve removed 8 rows and 8 columns (presolve time = 56s) ...
Presolve removed 8 rows and 8 columns (presolve time = 61s) ...
Presolve removed 8 rows and 8 columns (presolve time = 65s) ...
Presolve removed 8 rows and 8 columns (presolve time = 70s) ...
Presolve removed 8 rows and 8 columns (presolve time = 75s) ...
Presolve removed 8 rows and 8 columns (presolve time = 80s) ...
Presolve removed 8 rows and 8 columns (presolve time = 85s) ...
Presolve removed 8 rows and 8 columns (presolve time = 96s) ...
Presolve removed 8 rows and 8 columns (presolve time = 102s) ...
Presolve removed 8 rows and 8 columns (presolve time = 105s) ...
Presolve removed 8 rows and 8 columns (presolve time = 116s) ...
Presolve removed 8 rows and 8 columns (presolve time = 128s) ...
Presolve removed 8 rows and 8 columns
Presolve time: 127.84s
Presolved: 160121 rows, 239502 columns, 8769073 nonzeros
Variable types: 159600 continuous, 79902 integer (79900 binary)
Optimize a model with 160121 rows, 239502 columns and 8769073 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Presolved: 160121 rows, 239502 columns, 8769073 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.214779e+03   0.000000e+00    151s
    1465    1.2423302e-04   3.410885e+03   0.000000e+00    159s
    1732    1.8086671e-04   2.112380e+04   0.000000e+00    163s
    1952    2.4181239e-04   7.274400e+05   0.000000e+00    166s
    2443    2.9069395e-04   1.045915e+04   0.000000e+00    172s
    2663    3.6719457e-04   1.180040e+04   0.000000e+00    175s
    3163    4.4400648e-04   7.245190e+03   0.000000e+00    184s
    3568    4.7900202e-04   2.275917e+04   0.000000e+00    193s
    3788    5.4584115e-04   2.936892e+04   0.000000e+00    198s
    4018    5.8157779e-04   8.349126e+04   0.000000e+00    200s
    4458    6.9454215e-04   4.783478e+04   0.000000e+00    207s
    4704    7.7889591e-04   7.560291e+04   0.000000e+00    211s
    4924    9.3475911e-04   4.824744e+04   0.000000e+00    216s
    5151    9.6516233e-04   7.292235e+04   0.000000e+00    221s
    5398    1.0524926e-03   7.515672e+04   0.000000e+00    226s
    5838    1.2377550e-03   5.636087e+04   0.000000e+00    234s
    6058    1.2896209e-03   4.985147e+04   0.000000e+00    237s
    6732    1.3145757e-03   5.529398e+04   0.000000e+00    254s
    7033    1.3593791e-03   5.114155e+04   0.000000e+00    260s
    7473    1.6228941e-03   3.904215e+04   0.000000e+00    269s
    8524    1.6628764e-03   3.955544e+04   0.000000e+00    297s
    9102    1.7634051e-03   6.876509e+04   0.000000e+00    312s
    9542    2.0817924e-03   2.480927e+05   0.000000e+00    319s
    9912    2.1885359e-03   1.203203e+05   0.000000e+00    324s
   10132    2.2425655e-03   1.946405e+05   0.000000e+00    329s
   10352    2.3293389e-03   1.033362e+05   0.000000e+00    334s
   10586    2.5328545e-03   3.025115e+05   0.000000e+00    340s
   11069    2.6867868e-03   2.910474e+05   0.000000e+00    353s
   11667    2.7902610e-03   1.064328e+05   0.000000e+00    369s
   11993    2.8580232e-03   9.523782e+04   0.000000e+00    377s
   12237    3.0083208e-03   8.463112e+05   0.000000e+00    383s
   13463    4.7054516e-02   1.335475e+06   0.000000e+00    391s
   14223    4.7210855e-02   1.317182e+06   0.000000e+00    401s
   15031    4.7360068e-02   1.320934e+06   0.000000e+00    411s
