Rodando pra 1h

Optimize a model with 250129 rows, 374360 columns and 13707969 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 8 rows and 8 columns (presolve time = 18s) ...
Presolve removed 8 rows and 8 columns (presolve time = 24s) ...
Presolve removed 8 rows and 8 columns (presolve time = 26s) ...
Presolve removed 8 rows and 8 columns (presolve time = 31s) ...
Presolve removed 8 rows and 8 columns (presolve time = 35s) ...
Presolve removed 8 rows and 8 columns (presolve time = 41s) ...
Presolve removed 8 rows and 8 columns (presolve time = 46s) ...
Presolve removed 8 rows and 8 columns (presolve time = 51s) ...
Presolve removed 8 rows and 8 columns (presolve time = 56s) ...
Presolve removed 8 rows and 8 columns (presolve time = 62s) ...
Presolve removed 8 rows and 8 columns (presolve time = 67s) ...
Presolve removed 8 rows and 8 columns (presolve time = 71s) ...
Presolve removed 8 rows and 8 columns (presolve time = 77s) ...
Presolve removed 8 rows and 8 columns (presolve time = 81s) ...
Presolve removed 8 rows and 8 columns (presolve time = 87s) ...
Presolve removed 8 rows and 8 columns (presolve time = 92s) ...
Presolve removed 8 rows and 8 columns (presolve time = 98s) ...
Presolve removed 8 rows and 8 columns (presolve time = 100s) ...
Presolve removed 8 rows and 8 columns (presolve time = 105s) ...
Presolve removed 8 rows and 8 columns (presolve time = 111s) ...
Presolve removed 8 rows and 8 columns (presolve time = 116s) ...
Presolve removed 8 rows and 8 columns (presolve time = 122s) ...
Presolve removed 8 rows and 8 columns (presolve time = 135s) ...
Presolve removed 8 rows and 8 columns (presolve time = 138s) ...
Presolve removed 8 rows and 8 columns (presolve time = 157s) ...
Presolve removed 8 rows and 8 columns
Presolve time: 157.06s
Presolved: 250121 rows, 374352 columns, 13707953 nonzeros
Variable types: 249500 continuous, 124852 integer (124850 binary)
Optimize a model with 250121 rows, 374352 columns and 13707953 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 7s) ...
Presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Presolved: 250121 rows, 374352 columns, 13707953 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.514975e+03   0.000000e+00    196s
    1613    1.7171458e-04   2.043528e+03   0.000000e+00    209s
    2034    2.5450940e-04   5.961356e+03   0.000000e+00    216s
    2332    3.2819361e-04   2.338043e+04   0.000000e+00    222s
    2651    3.4776320e-04   2.415388e+04   0.000000e+00    228s
    2926    4.5310970e-04   2.163735e+04   0.000000e+00    235s
    3195    5.7938566e-04   8.549150e+04   0.000000e+00    241s
    3464    6.6414301e-04   7.660058e+04   0.000000e+00    245s
    3733    7.8397829e-04   2.121542e+04   0.000000e+00    252s
    4002    8.4863482e-04   1.854401e+04   0.000000e+00    256s
    4355    8.7074249e-04   1.652159e+04   0.000000e+00    261s
    4675    9.9358244e-04   5.186928e+04   0.000000e+00    270s
    4944    1.0908889e-03   3.702212e+04   0.000000e+00    278s
    5229    1.1721166e-03   2.312985e+04   0.000000e+00    287s
    5498    1.2458425e-03   3.265554e+04   0.000000e+00    295s
    5814    1.3215943e-03   1.288987e+04   0.000000e+00    304s
    6124    1.3715808e-03   1.556261e+04   0.000000e+00    313s
    6397    1.4448482e-03   4.504225e+04   0.000000e+00    324s
    6666    1.5551383e-03   6.454154e+04   0.000000e+00    335s
    6938    1.6105190e-03   1.226714e+04   0.000000e+00    341s
    7623    1.6225353e-03   9.917752e+03   0.000000e+00    349s
    8421    1.6305313e-03   1.332352e+04   0.000000e+00    382s
    9117    1.6548291e-03   1.321793e+04   0.000000e+00    412s
    9386    1.7820323e-03   2.764763e+04   0.000000e+00    425s
    9655    1.8972275e-03   2.793558e+04   0.000000e+00    436s
    9924    1.9017562e-03   2.908107e+04   0.000000e+00    447s
   10193    1.9629528e-03   3.829601e+04   0.000000e+00    458s
   10462    2.0718764e-03   1.927265e+04   0.000000e+00    469s
   10897    2.1406062e-03   2.519807e+05   0.000000e+00    486s
   11351    2.2062619e-03   8.099248e+04   0.000000e+00    507s
   11620    2.2765797e-03   3.847010e+04   0.000000e+00    517s
   11947    2.4225674e-03   3.179549e+04   0.000000e+00    534s
   12216    2.5270436e-03   5.001508e+04   0.000000e+00    545s
   13450    2.6211114e-03   2.820210e+04   0.000000e+00    607s
   13719    2.7398862e-03   2.972934e+04   0.000000e+00    619s
   14278    2.7855911e-03   1.116057e+05   0.000000e+00    645s
   14624    2.8806857e-03   1.239765e+05   0.000000e+00    660s
   15349    2.9854342e-03   2.203652e+04   0.000000e+00    695s
