Rodando pra 1h

Optimize a model with 250129 rows, 374360 columns and 13705799 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 8 rows and 8 columns (presolve time = 17s) ...
Presolve removed 8 rows and 8 columns (presolve time = 22s) ...
Presolve removed 8 rows and 8 columns (presolve time = 27s) ...
Presolve removed 8 rows and 8 columns (presolve time = 30s) ...
Presolve removed 8 rows and 8 columns (presolve time = 37s) ...
Presolve removed 8 rows and 8 columns (presolve time = 41s) ...
Presolve removed 8 rows and 8 columns (presolve time = 45s) ...
Presolve removed 8 rows and 8 columns (presolve time = 51s) ...
Presolve removed 8 rows and 8 columns (presolve time = 56s) ...
Presolve removed 8 rows and 8 columns (presolve time = 61s) ...
Presolve removed 8 rows and 8 columns (presolve time = 66s) ...
Presolve removed 8 rows and 8 columns (presolve time = 72s) ...
Presolve removed 8 rows and 8 columns (presolve time = 77s) ...
Presolve removed 8 rows and 8 columns (presolve time = 81s) ...
Presolve removed 8 rows and 8 columns (presolve time = 85s) ...
Presolve removed 8 rows and 8 columns (presolve time = 91s) ...
Presolve removed 8 rows and 8 columns (presolve time = 96s) ...
Presolve removed 8 rows and 8 columns (presolve time = 101s) ...
Presolve removed 8 rows and 8 columns (presolve time = 106s) ...
Presolve removed 8 rows and 8 columns (presolve time = 111s) ...
Presolve removed 8 rows and 8 columns (presolve time = 120s) ...
Presolve removed 8 rows and 8 columns (presolve time = 123s) ...
Presolve removed 8 rows and 8 columns (presolve time = 140s) ...
Presolve removed 8 rows and 8 columns
Presolve time: 140.37s
Presolved: 250121 rows, 374352 columns, 13705783 nonzeros
Variable types: 249500 continuous, 124852 integer (124850 binary)
Optimize a model with 250121 rows, 374352 columns and 13705783 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 6s) ...
Presolved: 250121 rows, 374352 columns, 13705783 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.514975e+03   0.000000e+00    176s
    1642    7.7471533e-05   4.397138e+04   0.000000e+00    183s
    2005    1.2518077e-04   2.228464e+03   0.000000e+00    189s
    2382    1.7571034e-04   1.840291e+03   0.000000e+00    194s
    2800    2.2717862e-04   2.414058e+04   0.000000e+00    199s
    3201    2.5880160e-04   1.756420e+06   0.000000e+00    202s
    3642    3.0409074e-04   1.391573e+05   0.000000e+00    207s
    4039    3.4058396e-04   5.398056e+03   0.000000e+00    211s
    4398    3.4602583e-04   3.502273e+04   0.000000e+00    217s
    4852    3.6352070e-04   9.364824e+04   0.000000e+00    220s
    5705    4.3682928e-04   9.252465e+03   0.000000e+00    228s
    6200    4.5316232e-04   2.737236e+04   0.000000e+00    230s
    6625    5.3388703e-04   3.013518e+05   0.000000e+00    237s
    7455    6.4652235e-04   3.507123e+05   0.000000e+00    245s
    7912    6.9085511e-04   1.038022e+04   0.000000e+00    249s
    8333    7.4207134e-04   1.973555e+04   0.000000e+00    253s
    8861    7.5335621e-04   5.129640e+04   0.000000e+00    255s
   10001    7.7278858e-04   4.255842e+03   0.000000e+00    264s
   10311    7.7547436e-04   2.038416e+04   0.000000e+00    270s
   10659    7.7831902e-04   1.079515e+04   0.000000e+00    277s
   10990    8.0004731e-04   2.354198e+04   0.000000e+00    284s
   11318    8.8837185e-04   6.559253e+04   0.000000e+00    290s
   11630    9.5981757e-04   6.440178e+04   0.000000e+00    297s
   12036    1.0347950e-03   3.409516e+04   0.000000e+00    303s
   12432    1.1129426e-03   1.934929e+04   0.000000e+00    311s
   12751    1.1320653e-03   4.067897e+04   0.000000e+00    320s
   13062    1.2121362e-03   6.878533e+03   0.000000e+00    328s
   13487    1.2992547e-03   7.658812e+04   0.000000e+00    336s
   13795    1.4083235e-03   6.790263e+06   0.000000e+00    346s
   14283    1.4391640e-03   2.560458e+04   0.000000e+00    350s
   15343    1.4588636e-03   1.945623e+04   0.000000e+00    356s
   15792    1.5505816e-03   7.832794e+04   0.000000e+00    365s
   16323    1.6125569e-03   1.447589e+04   0.000000e+00    375s
   16790    1.6977193e-03   5.031565e+04   0.000000e+00    385s
   17168    1.8142748e-03   4.936938e+03   0.000000e+00    396s
   17572    1.8410784e-03   4.838366e+04   0.000000e+00    404s
   17897    1.9728479e-03   4.569338e+04   0.000000e+00    419s
   18212    2.0286642e-03   8.943608e+04   0.000000e+00    426s
   18574    2.0523744e-03   8.247515e+03   0.000000e+00    434s
   18970    2.0813340e-03   6.756208e+03   0.000000e+00    442s
   19342    2.1539264e-03   1.039926e+05   0.000000e+00    452s
   19694    2.2414383e-03   1.796609e+04   0.000000e+00    464s
   20103    2.3486422e-03   5.255506e+04   0.000000e+00    482s
   20511    2.3681657e-03   9.592105e+03   0.000000e+00    503s
   20831    2.4268458e-03   3.305860e+04   0.000000e+00    515s
   21162    2.4987780e-03   1.556201e+04   0.000000e+00    525s
   21528    2.5381245e-03   2.973750e+04   0.000000e+00    533s
   21909    2.5998402e-03   9.735141e+03   0.000000e+00    543s
   22213    2.7180468e-03   2.251182e+04   0.000000e+00    557s
   22566    2.7732483e-03   1.036067e+04   0.000000e+00    566s
   23271    2.8141924e-03   2.197559e+04   0.000000e+00    590s
   23769    2.8899910e-03   2.319078e+04   0.000000e+00    612s
   24228    2.9428876e-03   3.823500e+04   0.000000e+00    625s
   24648    3.0691488e-03   1.383064e+04   0.000000e+00    642s
   25038    3.1250153e-03   3.958078e+04   0.000000e+00    659s
   25438    3.2330685e-03   9.581485e+03   0.000000e+00    676s
   25743    3.2651848e-03   4.383956e+05   0.000000e+00    689s
   26034    3.2832365e-03   5.827225e+04   0.000000e+00    702s
   26341    3.2884655e-03   2.297351e+04   0.000000e+00    714s
   26610    3.3629927e-03   2.526026e+04   0.000000e+00    725s
   26946    3.4130730e-03   1.029866e+05   0.000000e+00    733s
   27296    3.4292343e-03   2.124782e+04   0.000000e+00    739s
   27668    3.4741251e-03   1.643507e+04   0.000000e+00    747s
   28044    3.5056643e-03   1.838411e+04   0.000000e+00    758s
   28459    3.6218739e-03   2.048625e+04   0.000000e+00    770s
   28776    3.7468794e-03   2.051490e+04   0.000000e+00    784s
   29165    3.8033512e-03   4.966687e+04   0.000000e+00    793s
   29571    3.8258652e-03   5.433691e+04   0.000000e+00    797s
   30034    3.8378366e-03   8.162879e+04   0.000000e+00    802s
   30543    3.8511699e-03   7.903431e+04   0.000000e+00    808s
   31067    3.8610695e-03   7.758621e+04   0.000000e+00    813s
   31601    3.8779686e-03   7.951435e+04   0.000000e+00    819s
   32101    3.9147606e-03   9.198333e+04   0.000000e+00    831s
   32409    4.0187444e-03   2.650902e+04   0.000000e+00    846s
   32750    4.1753378e-03   7.295886e+04   0.000000e+00    859s
   33103    4.3193394e-03   1.541103e+04   0.000000e+00    875s
   33398    4.4839236e-03   3.716854e+04   0.000000e+00    888s
   33732    4.6699496e-03   1.865137e+04   0.000000e+00    901s
   34121    4.7224583e-03   2.451080e+05   0.000000e+00    914s
   34422    4.7914827e-03   3.436826e+04   0.000000e+00    925s
   34778    4.8061032e-03   2.030673e+05   0.000000e+00    937s
   35089    4.9033895e-03   1.754700e+04   0.000000e+00    946s
   35414    5.0544057e-03   6.215563e+04   0.000000e+00    957s
   35733    5.2656399e-03   2.011592e+04   0.000000e+00    971s
   36127    5.3429062e-03   5.437363e+04   0.000000e+00    982s
   36458    5.5744856e-03   1.523510e+04   0.000000e+00    997s
   36888    5.6758149e-03   7.044908e+04   0.000000e+00   1011s
   37415    5.7409222e-03   1.398252e+04   0.000000e+00   1024s
   38049    5.8787858e-03   4.201393e+04   0.000000e+00   1051s
   38407    6.0691250e-03   3.421164e+04   0.000000e+00   1068s
   38808    6.1569533e-03   2.028717e+05   0.000000e+00   1082s
   39276    6.1928292e-03   1.840577e+04   0.000000e+00   1092s
   39683    6.4099350e-03   1.100924e+05   0.000000e+00   1108s
   40171    6.6479237e-03   5.347485e+04   0.000000e+00   1130s
   40501    6.7402799e-03   4.197478e+05   0.000000e+00   1142s
   41351    6.7930826e-03   3.604981e+04   0.000000e+00   1179s
   42160    6.8825325e-03   6.984834e+03   0.000000e+00   1219s
   42613    7.0546839e-03   1.275456e+05   0.000000e+00   1239s
   43186    7.1694231e-03   4.072156e+04   0.000000e+00   1267s
   43583    7.2300129e-03   3.208461e+04   0.000000e+00   1285s
   44099    7.2878491e-03   3.318616e+04   0.000000e+00   1297s
   44589    7.3691275e-03   2.039204e+04   0.000000e+00   1310s
   44959    7.5765324e-03   2.141615e+04   0.000000e+00   1330s
   45362    7.7401168e-03   7.492216e+04   0.000000e+00   1349s
   45636    7.8441218e-03   8.020441e+04   0.000000e+00   1360s
   46153    7.9159838e-03   1.145635e+05   0.000000e+00   1374s
   46532    7.9668356e-03   4.669117e+05   0.000000e+00   1381s
   47213    8.1294329e-03   5.696816e+04   0.000000e+00   1415s
   47642    8.1783913e-03   2.427344e+04   0.000000e+00   1427s
   48118    8.2750748e-03   1.136857e+05   0.000000e+00   1445s
   48547    8.5053674e-03   1.261148e+05   0.000000e+00   1463s
   50587    8.6822144e-03   2.662894e+04   0.000000e+00   1581s
   51708    8.9712165e-03   6.370417e+04   0.000000e+00   1646s
   53198    9.1282545e-03   4.081106e+04   0.000000e+00   1732s
   53665    9.3856578e-03   1.959826e+05   0.000000e+00   1758s
   54337    9.4473996e-03   4.360476e+05   0.000000e+00   1790s
   54844    9.7307765e-03   3.853583e+04   0.000000e+00   1818s
