Rodando pra 1h

Optimize a model with 10129 rows, 14960 columns and 544469 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 8 rows and 8 columns
Presolve time: 2.93s
Presolved: 10121 rows, 14952 columns, 544453 nonzeros
Variable types: 9900 continuous, 5052 integer (5050 binary)
Found heuristic solution: objective 5290.0000000
Found heuristic solution: objective 4958.0000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    6102    5.3434437e-04   4.832456e+03   0.000000e+00      5s
   13017    2.5592368e+01   0.000000e+00   0.000000e+00      8s

Root relaxation: objective 2.559237e+01, 13017 iterations, 4.27 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   25.59237    0  129 4958.00000   25.59237  99.5%     -    7s
     0     0 1816.12688    0  159 4958.00000 1816.12688  63.4%     -   68s
H    0     0                    4757.0000000 1816.12688  61.8%     -   69s
     0     0 1889.15003    0  160 4757.00000 1889.15003  60.3%     -   82s
H    0     0                    4739.0000000 1889.15003  60.1%     -   83s
     0     0 1889.53201    0  156 4739.00000 1889.53201  60.1%     -   88s
     0     0 1890.04189    0  160 4739.00000 1890.04189  60.1%     -   93s
     0     0 1892.53379    0  166 4739.00000 1892.53379  60.1%     -  102s
     0     0 1893.33869    0  159 4739.00000 1893.33869  60.0%     -  110s
     0     0 1893.95507    0  161 4739.00000 1893.95507  60.0%     -  158s
     0     0 1894.49377    0  155 4739.00000 1894.49377  60.0%     -  165s
     0     0 1895.44716    0  158 4739.00000 1895.44716  60.0%     -  175s
     0     0 1897.26658    0  165 4739.00000 1897.26658  60.0%     -  196s
     0     0 1897.72070    0  164 4739.00000 1897.72070  60.0%     -  202s
     0     0 1897.87601    0  157 4739.00000 1897.87601  60.0%     -  209s
     0     0 1898.88405    0  162 4739.00000 1898.88405  59.9%     -  216s
     0     0 1899.04429    0  166 4739.00000 1899.04429  59.9%     -  224s
     0     0 1899.04429    0  166 4739.00000 1899.04429  59.9%     -  275s
     0     2 1903.26064    0  166 4739.00000 1903.26064  59.8%     -  307s
     2     4 2399.12133    2  135 4739.00000 2354.74680  50.3%  2282  313s
     3     5 2399.21116    3  134 4739.00000 2354.74680  50.3%  2757  316s
     5     7 2399.33108    5  134 4739.00000 2354.74680  50.3%  2788  321s
     8    10 2399.50041    8  133 4739.00000 2354.74680  50.3%  2671  326s
    10    12 2399.79586   10  130 4739.00000 2354.74680  50.3%  2640  330s
    12    14 2399.89978   12  128 4739.00000 2354.74680  50.3%  2782  335s
    14    16 2400.10583   14  133 4739.00000 2354.74680  50.3%  3120  342s
    16    18 2400.22752   16  127 4739.00000 2354.74680  50.3%  3003  345s
    18    20 2400.31655   18  130 4739.00000 2354.74680  50.3%  3093  351s
    20    22 2400.44678   20  133 4739.00000 2354.74680  50.3%  3109  356s
    23    25 2400.84407   23  131 4739.00000 2354.74680  50.3%  3115  364s
    25    27 2400.88135   25  131 4739.00000 2354.74680  50.3%  2940  365s
    27    29 2400.89662   26  129 4739.00000 2354.74680  50.3%  2905  370s
    30    32 2400.97943   27  131 4739.00000 2354.74680  50.3%  2837  377s
    33    35 2401.05322   29  130 4739.00000 2354.74680  50.3%  2693  381s
    35    37 2401.12968   30  130 4739.00000 2354.74680  50.3%  2684  386s
    37    39 2401.14636   31  130 4739.00000 2354.74680  50.3%  2651  390s
    39    41 2401.23837   33  130 4739.00000 2354.74680  50.3%  2697  395s
    41    43 2401.71513   35  127 4739.00000 2354.74680  50.3%  2848  402s
    42    44 2401.46548   35  132 4739.00000 2354.74680  50.3%  2875  406s
    43    45 2424.71297   36  131 4739.00000 2354.74680  50.3%  3039  412s
    45    47 2402.11215   37  131 4739.00000 2354.74680  50.3%  3068  417s
    47    49 2425.21096   38  123 4739.00000 2354.74680  50.3%  3037  421s
    49    51 2401.89390   39  132 4739.00000 2354.74680  50.3%  3067  426s
    51    53 2425.67625   40  129 4739.00000 2354.74680  50.3%  3116  433s
    52    54 2402.11458   41  129 4739.00000 2354.74680  50.3%  3092  435s
    54    56 2402.22194   43  126 4739.00000 2354.74680  50.3%  3104  440s
    56    58 2402.26218   44  128 4739.00000 2354.74680  50.3%  3092  445s
    58    60 2402.31657   45  128 4739.00000 2354.74680  50.3%  3095  450s
    60    62 2402.36998   47  127 4739.00000 2354.74680  50.3%  3094  456s
    62    64 2402.47163   49  129 4739.00000 2354.74680  50.3%  3123  461s
    64    66 2402.93975   50  130 4739.00000 2354.74680  50.3%  3115  465s
    66    68 2402.50843   51  124 4739.00000 2354.74680  50.3%  3115  470s
    68    70 2426.41124   52  122 4739.00000 2354.74680  50.3%  3326  485s
    71    73 2426.04857   55  129 4739.00000 2354.74680  50.3%  3338  493s
    72    74 2402.65260   55  125 4739.00000 2354.74680  50.3%  3318  495s
    74    76 2426.35424   56  125 4739.00000 2354.74680  50.3%  3361  501s
    76    78 2402.70109   58  124 4739.00000 2354.74680  50.3%  3342  505s
