Rodando pra 1h

Optimize a model with 229 rows, 245 columns and 5779 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 24 rows and 4 columns
Presolve time: 0.01s
Presolved: 205 rows, 241 columns, 4667 nonzeros
Variable types: 90 continuous, 151 integer (145 binary)
Found heuristic solution: objective 512.0010240
Found heuristic solution: objective 491.5009830

Root relaxation: objective 0.000000e+00, 63 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0   29  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   40  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   38  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   36  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   35  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   42  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   37  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   30  491.50098    0.00000   100%     -    0s
H    0     0                     452.6675720    0.00000   100%     -    0s
     0     0    0.00000    0   31  452.66757    0.00000   100%     -    0s
     0     0    0.00000    0   30  452.66757    0.00000   100%     -    0s
H    0     0                     413.1674930    0.00000   100%     -    0s
     0     0    0.00000    0   30  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   28  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   33  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   32  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   29  413.16749    0.00000   100%     -    0s
     0     2    0.00000    0   29  413.16749    0.00000   100%     -    0s
H  108   101                     410.8341550    0.00000   100%  24.0    0s
H  189   162                     400.3341340    0.00000   100%  19.5    0s
H  510   380                     392.6674520    0.00000   100%  14.2    0s
H  529   373                     390.6674480    0.00000   100%  13.7    1s
H  643   391                     386.5007730    0.33333   100%  30.9    1s
H  886   394                     375.5007510    0.66667   100%  28.8    1s
H 1470   515                     359.5007190    7.34816  98.0%  22.7    2s
H 3710  1862                     338.1673430   10.72224  96.8%  16.8    3s
  6430  3541  283.33390   53   22  338.16734   14.00003  95.9%  14.3    5s
 12394  7121   27.57555   32   44  338.16734   19.53708  94.2%  14.3   10s
 19365 10585     cutoff   47       338.16734   32.79165  90.3%  15.1   15s
 27928 15094   81.76855   28   43  338.16734   51.37047  84.8%  14.8   20s
 35590 18953  291.00058   35   18  338.16734   62.00012  81.7%  15.2   25s
 43446 22930     cutoff   55       338.16734   70.74088  79.1%  15.2   30s
 50692 26345  323.67025   49   26  338.16734   78.03719  76.9%  15.1   35s
 58311 30595  289.00058   57   17  338.16734   83.94345  75.2%  15.0   40s
 65858 35220  244.89772   46   19  338.16734   89.00271  73.7%  14.9   45s
 73730 40152  154.45490   33   28  338.16734   92.33352  72.7%  14.9   50s
 80829 44917  287.71169   50   14  338.16734   95.73876  71.7%  14.9   55s
 88849 50221   98.97960   29   38  338.16734   98.97960  70.7%  14.8   60s
 96485 55366  131.46384   34   37  338.16734  101.54363  70.0%  14.8   65s
 104115 60471  185.99492   33   28  338.16734  104.31953  69.2%  14.8   70s
 111696 65548  185.56551   37   27  338.16734  106.99554  68.4%  14.7   75s
 119110 70715  193.92065   29   19  338.16734  109.27337  67.7%  14.7   80s
 127228 76188  150.05616   29   31  338.16734  111.43203  67.0%  14.7   85s
 135032 81522  146.59358   34   28  338.16734  112.82967  66.6%  14.7   90s
 142671 86679  225.56306   48   27  338.16734  114.42422  66.2%  14.6   95s
 150006 91842  317.94126   44   19  338.16734  115.97505  65.7%  14.6  100s
 157812 97111  307.47800   51   18  338.16734  117.23747  65.3%  14.6  105s
 165441 102322  317.48212   54   19  338.16734  118.38705  65.0%  14.5  110s
 173311 107530  219.34595   47   27  338.16734  119.52067  64.7%  14.5  115s
 180945 112903  201.89753   40   27  338.16734  120.54094  64.4%  14.5  120s
 188724 118308  266.20064   50   19  338.16734  121.56269  64.1%  14.5  125s
 196210 123447  170.24795   43   30  338.16734  122.33718  63.8%  14.4  130s
 204201 129030  204.22695   42   25  338.16734  123.38914  63.5%  14.4  135s
 212021 134436     cutoff   65       338.16734  124.24349  63.3%  14.4  140s
 219694 139796  277.85241   55   18  338.16734  125.16425  63.0%  14.3  145s
 227439 145146  239.28331   37   29  338.16734  125.90759  62.8%  14.3  150s
 235195 150493  307.42483   64   16  338.16734  126.44470  62.6%  14.3  155s
 242998 155848  272.47288   53   22  338.16734  127.10514  62.4%  14.3  160s
 250848 161266  283.73238   52   17  338.16734  127.85237  62.2%  14.3  165s
 258053 166185  204.51801   30   16  338.16734  128.39848  62.0%  14.3  170s
 265403 171283  330.42216   43   16  338.16734  128.92741  61.9%  14.3  175s
 273246 176674  286.82048   35   21  338.16734  129.54646  61.7%  14.3  180s
 280644 181632  243.17654   48   18  338.16734  129.98680  61.6%  14.3  185s
 288099 186727  153.91053   40   30  338.16734  130.44502  61.4%  14.3  190s
 294930 191483  225.26638   40   16  338.16734  130.75666  61.3%  14.4  195s
 302458 196637  151.66091   32   30  338.16734  131.17438  61.2%  14.4  200s
 310210 201946  200.64632   37   25  338.16734  131.54102  61.1%  14.4  205s
 317522 206956  331.33400   41    4  338.16734  131.90391  61.0%  14.4  210s
 324696 211888  154.73749   30   27  338.16734  132.16962  60.9%  14.4  215s
 331565 216589     cutoff   62       338.16734  132.53908  60.8%  14.4  220s
 339637 222202  244.90090   47   18  338.16734  133.03572  60.7%  14.4  225s
 347160 227172  133.65183   28   39  338.16734  133.36792  60.6%  14.4  230s
 354465 232142  268.11484   57   16  338.16734  133.64854  60.5%  14.4  235s
 361868 237203  170.11627   30   25  338.16734  133.94055  60.4%  14.4  240s
 369193 242191  188.52166   35   30  338.16734  134.13933  60.3%  14.4  245s
 376757 247461  237.81484   41   19  338.16734  134.38739  60.3%  14.4  250s
 384208 252608  186.17788   46   23  338.16734  134.62897  60.2%  14.4  255s
 391821 257821  147.33327   34   31  338.16734  134.94985  60.1%  14.4  260s
 399215 262895  161.61984   26   26  338.16734  135.24483  60.0%  14.4  265s
 406466 267855  161.92795   26   25  338.16734  135.51791  59.9%  14.4  270s
