Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 90110 rows, 134660 columns and 4928271 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 3e+02]
Found heuristic solution: objective 17376
Presolve removed 81 rows and 18 columns (presolve time = 5s) ...
Presolve removed 81 rows and 18 columns
Presolve time: 6.51s
Presolved: 90029 rows, 134642 columns, 1344285 nonzeros
Variable types: 89700 continuous, 44942 integer (44940 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.035840e+02   0.000000e+00      8s
    1537    1.8032619e-04   1.387175e+03   0.000000e+00     12s
    2453    1.9332107e+01   1.009582e+04   0.000000e+00     16s
    7205    3.4148376e+01   1.889572e+03   0.000000e+00     22s
    7893    3.4418427e+01   2.074288e+03   0.000000e+00     26s
    9190    3.4418542e+01   3.065993e+03   0.000000e+00     33s
    9831    3.4418607e+01   2.441611e+03   0.000000e+00     37s
   11245    3.4418638e+01   1.157917e+03   0.000000e+00     40s
   13723    3.4418696e+01   8.884653e+02   0.000000e+00     46s
   14671    3.4418783e+01   2.833622e+03   0.000000e+00     54s
   15461    3.4418969e+01   2.207921e+03   0.000000e+00     62s
   16858    3.4419091e+01   3.140122e+03   0.000000e+00     68s
   17621    3.4419409e+01   2.215959e+03   0.000000e+00     76s
   18410    3.4419843e+01   3.254730e+03   0.000000e+00     83s
   19137    3.5031648e+01   2.347845e+03   0.000000e+00     86s
   20458    3.5031900e+01   2.852942e+03   0.000000e+00     91s
   21632    3.5032051e+01   3.665813e+03   0.000000e+00     98s
   22277    3.5032141e+01   3.315127e+03   0.000000e+00    102s
   22909    3.5032237e+01   3.989885e+03   0.000000e+00    106s
   24431    3.5141768e+01   3.095366e+03   0.000000e+00    118s
   25316    3.5177764e+01   2.898917e+03   0.000000e+00    123s
