Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 160110 rows, 239510 columns and 8767211 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 4e+02]
Found heuristic solution: objective 19934
Presolve removed 89 rows and 98 columns (presolve time = 5s) ...
Presolve removed 89 rows and 98 columns
Presolve time: 9.03s
Presolved: 160021 rows, 239412 columns, 2391433 nonzeros
Variable types: 159600 continuous, 79812 integer (79810 binary)
Optimize a model with 160021 rows, 239412 columns and 2391433 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 4e+06]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 4e+04]
  RHS range       [1e+00, 4e+02]
Presolved: 160021 rows, 239412 columns, 2391433 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.195779e+03   0.000000e+00     12s
    1651    7.8952150e-05   2.433698e+03   0.000000e+00     17s
    2777    2.2345075e-04   1.604260e+03   0.000000e+00     21s
    4111    4.1373947e-04   4.241107e+03   0.000000e+00     27s
    5513    5.2152853e-04   4.589526e+03   0.000000e+00     31s
    6295    7.5820353e-04   2.430681e+03   0.000000e+00     36s
    7110    1.0543444e-03   3.334498e+03   0.000000e+00     41s
    8026    1.3443148e-03   2.817131e+03   0.000000e+00     46s
    8878    1.8239012e-03   1.034059e+04   0.000000e+00     50s
   13834    2.3298517e+01   4.432131e+03   0.000000e+00     58s
   14979    2.3590782e+01   3.069002e+03   0.000000e+00     65s
   16033    2.3685615e+01   5.536086e+03   0.000000e+00     76s
   17313    2.3883058e+01   2.704069e+03   0.000000e+00     89s
   18466    2.3986779e+01   3.641067e+03   0.000000e+00     96s
   19880    2.4028786e+01   2.778369e+03   0.000000e+00    112s
   21349    2.4059958e+01   2.846202e+03   0.000000e+00    129s
   22862    2.4064519e+01   3.245379e+03   0.000000e+00    150s
   24513    2.4070780e+01   4.267708e+03   0.000000e+00    169s
   25947    2.4074552e+01   3.209461e+03   0.000000e+00    181s
   27158    2.4074756e+01   2.621450e+03   0.000000e+00    195s
   28535    2.4074867e+01   2.484879e+03   0.000000e+00    206s
   30006    2.4074987e+01   2.510779e+03   0.000000e+00    220s
   31516    2.4075083e+01   3.033186e+03   0.000000e+00    235s
   33163    2.4075127e+01   2.066160e+03   0.000000e+00    246s
   36934    2.4075138e+01   2.322672e+03   0.000000e+00    255s
   40762    2.4075246e+01   2.730096e+03   0.000000e+00    268s
   42437    2.4075438e+01   2.840511e+03   0.000000e+00    276s
   44160    2.4075505e+01   4.022684e+03   0.000000e+00    283s
   45984    2.4075855e+01   2.488296e+03   0.000000e+00    301s
   47726    2.4085138e+01   3.348828e+03   0.000000e+00    322s
   49430    2.4087498e+01   4.278037e+03   0.000000e+00    325s
   51182    2.4088406e+01   3.053727e+03   0.000000e+00    351s
   54484    2.4088625e+01   3.529142e+03   0.000000e+00    380s
