Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 90110 rows, 134660 columns and 4928691 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 3e+02]
Found heuristic solution: objective 17515
Presolve removed 89 rows and 98 columns
Presolve time: 4.90s
Presolved: 90021 rows, 134562 columns, 1344209 nonzeros
Variable types: 89700 continuous, 44862 integer (44860 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   8.955840e+02   0.000000e+00      6s
    3379    2.3111455e-04   4.433564e+03   0.000000e+00     11s
    4835    5.9698446e+00   1.553420e+04   0.000000e+00     17s
    5802    1.0220999e+01   1.851943e+03   0.000000e+00     20s
    8337    1.0653182e+01   3.173796e+03   0.000000e+00     27s
    9507    1.0689149e+01   1.416365e+03   0.000000e+00     30s
   10634    1.0689259e+01   2.241466e+03   0.000000e+00     35s
   11853    1.0689467e+01   2.331998e+03   0.000000e+00     42s
   12649    1.0689523e+01   2.400416e+03   0.000000e+00     46s
   13528    1.0689577e+01   2.322653e+03   0.000000e+00     50s
   14747    1.0689697e+01   1.886361e+03   0.000000e+00     58s
   16156    1.1494818e+01   2.624668e+03   0.000000e+00     69s
   17472    1.1808996e+01   2.209554e+03   0.000000e+00     78s
   18651    1.1829730e+01   2.355330e+03   0.000000e+00     82s
   19779    1.2114680e+01   1.466216e+03   0.000000e+00     86s
   21863    1.2442493e+01   2.306936e+03   0.000000e+00     93s
   22960    1.2503802e+01   1.895998e+03   0.000000e+00     98s
   24098    1.2503911e+01   1.655184e+03   0.000000e+00    106s
   25189    1.2504094e+01   1.838983e+03   0.000000e+00    112s
   26244    1.2504347e+01   2.676744e+03   0.000000e+00    121s
   27374    1.2504819e+01   2.503117e+03   0.000000e+00    131s
   28688    1.3090154e+01   2.201937e+03   0.000000e+00    136s
   30438    1.3090327e+01   2.865034e+03   0.000000e+00    144s
   31243    1.3090416e+01   3.729746e+03   0.000000e+00    147s
   31956    1.3090525e+01   3.584696e+03   0.000000e+00    151s
   33391    1.3090811e+01   5.451976e+03   0.000000e+00    161s
   34120    1.3090940e+01   4.333138e+03   0.000000e+00    167s
   34876    1.3091020e+01   2.900638e+03   0.000000e+00    174s
   35876    1.3091073e+01   2.752372e+03   0.000000e+00    175s
   38034    1.3091183e+01   2.544724e+03   0.000000e+00    182s
   39148    1.3091250e+01   1.907130e+03   0.000000e+00    187s
   40149    1.3193047e+01   2.777271e+03   0.000000e+00    190s
   42395    1.3195549e+01   2.705073e+03   0.000000e+00    197s
   43508    1.3195622e+01   3.206370e+03   0.000000e+00    202s
   44705    1.3195685e+01   3.480963e+03   0.000000e+00    206s
   46053    1.3195866e+01   1.530576e+03   0.000000e+00    219s
   47475    1.3196042e+01   2.902160e+03   0.000000e+00    233s
   48726    1.3196181e+01   2.727490e+03   0.000000e+00    245s
   50090    1.3196365e+01   4.209073e+03   0.000000e+00    257s
   51704    1.3196545e+01   4.634799e+03   0.000000e+00    273s
   53157    1.3197030e+01   6.617419e+03   0.000000e+00    280s
   54785    1.3199984e+01   5.114281e+03   0.000000e+00    296s
   56446    1.3802518e+01   3.291178e+03   0.000000e+00    309s
   58107    1.4322691e+01   2.699290e+03   0.000000e+00    321s
   59768    1.4346662e+01   2.685830e+03   0.000000e+00    330s
   61371    1.4358854e+01   3.997361e+03   0.000000e+00    337s
   63019    1.4533215e+01   2.769155e+03   0.000000e+00    345s
   64680    1.4561734e+01   2.935762e+03   0.000000e+00    362s
   66233    1.4591879e+01   2.176654e+03   0.000000e+00    372s
   67792    1.4592020e+01   2.177172e+03   0.000000e+00    389s
   69324    1.4603098e+01   3.517460e+03   0.000000e+00    405s
   70900    1.4603410e+01   2.307362e+03   0.000000e+00    423s
   72455    1.4608347e+01   2.633198e+03   0.000000e+00    431s
   74116    1.4608435e+01   2.487204e+03   0.000000e+00    438s
   75755    1.4608495e+01   2.442980e+03   0.000000e+00    443s
   77416    1.4608581e+01   2.564743e+03   0.000000e+00    449s
   79077    1.4608649e+01   2.042036e+03   0.000000e+00    456s
   80738    1.4608723e+01   2.045742e+03   0.000000e+00    461s
   82399    1.4608893e+01   3.001972e+03   0.000000e+00    480s
   84060    1.4609059e+01   3.500961e+03   0.000000e+00    499s
   85721    1.4609285e+01   3.194643e+03   0.000000e+00    518s
   87382    1.4609422e+01   2.006007e+03   0.000000e+00    527s
   89043    1.4609481e+01   2.099847e+03   0.000000e+00    532s
   90704    1.4609581e+01   2.166930e+03   0.000000e+00    543s
   92365    1.4609651e+01   2.317706e+03   0.000000e+00    550s
   94026    1.4609825e+01   2.164115e+03   0.000000e+00    562s
   95687    1.4609986e+01   3.539766e+03   0.000000e+00    578s
   97348    1.4610123e+01   3.143587e+03   0.000000e+00    593s
   99009    1.4610304e+01   2.993614e+03   0.000000e+00    608s
  100670    1.4610464e+01   2.270935e+03   0.000000e+00    621s
  102331    1.4610585e+01   2.511213e+03   0.000000e+00    637s
  103992    1.4610829e+01   2.463861e+03   0.000000e+00    653s
  105653    1.4611208e+01   2.874319e+03   0.000000e+00    677s
  107314    1.4645893e+01   3.775197e+03   0.000000e+00    701s
  108975    1.4889803e+01   1.482424e+03   0.000000e+00    713s
  110636    1.4890474e+01   1.562955e+03   0.000000e+00    739s
  112297    1.4955632e+01   3.795935e+03   0.000000e+00    768s
  113958    1.5032496e+01   2.780777e+03   0.000000e+00    803s
  115619    1.5037274e+01   3.368975e+03   0.000000e+00    841s
  117280    1.5358155e+01   2.751402e+03   0.000000e+00    866s
  118941    1.5504957e+01   2.251740e+03   0.000000e+00    885s
  120602    1.5524568e+01   1.513679e+03   0.000000e+00    911s
  122263    1.5616005e+01   2.743127e+03   0.000000e+00    919s
  123924    1.5616170e+01   2.910771e+03   0.000000e+00    934s
  125585    1.5616427e+01   2.844389e+03   0.000000e+00    962s
  127246    1.5616625e+01   2.860593e+03   0.000000e+00    989s
  128907    1.5616724e+01   2.897746e+03   0.000000e+00   1002s
  130568    1.5616824e+01   2.905831e+03   0.000000e+00   1017s
  132229    1.5616933e+01   4.024992e+03   0.000000e+00   1026s
  133890    1.5617106e+01   3.350556e+03   0.000000e+00   1040s
  135551    1.5620012e+01   2.767772e+03   0.000000e+00   1050s
  137212    1.5676619e+01   3.353669e+03   0.000000e+00   1060s
  138873    1.5676809e+01   4.749959e+03   0.000000e+00   1074s
  140534    1.5682081e+01   2.414239e+03   0.000000e+00   1085s
  142195    1.5682799e+01   2.769467e+03   0.000000e+00   1096s
  143856    1.5803604e+01   3.500502e+03   0.000000e+00   1109s
  145517    1.5804210e+01   4.192043e+03   0.000000e+00   1131s
  147178    1.5804914e+01   2.978551e+03   0.000000e+00   1148s
  148839    1.5805143e+01   4.703343e+03   0.000000e+00   1166s
  150500    1.5805377e+01   2.461656e+03   0.000000e+00   1184s
  152161    1.5805606e+01   4.024403e+03   0.000000e+00   1202s
  153822    1.5805785e+01   1.679002e+03   0.000000e+00   1220s
  155483    1.5805970e+01   1.767065e+03   0.000000e+00   1238s
  157144    1.5806160e+01   2.950544e+03   0.000000e+00   1257s
  158805    1.5806443e+01   3.830018e+03   0.000000e+00   1274s
  160466    1.6018098e+01   6.386474e+03   0.000000e+00   1293s
  162127    1.6032373e+01   4.661603e+03   0.000000e+00   1309s
  163788    1.6036440e+01   5.290886e+03   0.000000e+00   1330s
  165449    1.6060032e+01   2.296078e+03   0.000000e+00   1351s
  167110    1.6062172e+01   4.818016e+03   0.000000e+00   1369s
  168771    1.6078285e+01   2.709142e+03   0.000000e+00   1381s
  170432    1.6078500e+01   1.995080e+03   0.000000e+00   1398s
  172093    1.6078774e+01   2.573442e+03   0.000000e+00   1411s
