Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 160110 rows, 239510 columns and 8768071 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 4e+02]
Found heuristic solution: objective 20488
Presolve removed 89 rows and 98 columns (presolve time = 5s) ...
Presolve removed 89 rows and 98 columns
Presolve time: 7.54s
Presolved: 160021 rows, 239412 columns, 2391605 nonzeros
Variable types: 159600 continuous, 79812 integer (79810 binary)
Optimize a model with 160021 rows, 239412 columns and 2391605 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 4e+06]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 4e+04]
  RHS range       [1e+00, 4e+02]
Presolved: 160021 rows, 239412 columns, 2391605 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.195779e+03   0.000000e+00     10s
     863    0.0000000e+00   4.636815e+03   0.000000e+00     10s
    2199    3.8073758e-04   3.421594e+03   0.000000e+00     16s
    3958    7.3913087e-04   4.587072e+03   0.000000e+00     22s
    5275    7.7510516e+00   5.049699e+03   0.000000e+00     25s
    8256    1.4188674e+01   3.266015e+03   0.000000e+00     32s
    9093    1.4226439e+01   2.506332e+03   0.000000e+00     36s
    9865    1.4226584e+01   6.716740e+03   0.000000e+00     40s
   11328    1.4226791e+01   3.365950e+03   0.000000e+00     49s
   12088    1.4226840e+01   2.757487e+03   0.000000e+00     54s
   12884    1.4226870e+01   2.571389e+03   0.000000e+00     59s
   13701    1.4226914e+01   2.658241e+03   0.000000e+00     63s
   15523    1.4226922e+01   1.382303e+03   0.000000e+00     65s
   17285    1.4486862e+01   4.673789e+03   0.000000e+00     73s
   18195    1.4690313e+01   1.923186e+03   0.000000e+00     78s
   18963    1.4690365e+01   2.548082e+03   0.000000e+00     80s
   22224    1.4690568e+01   3.081545e+03   0.000000e+00     87s
   25046    1.4690687e+01   2.072190e+03   0.000000e+00     91s
   28478    1.4690917e+01   1.314577e+03   0.000000e+00     99s
   29581    1.4690992e+01   1.656882e+03   0.000000e+00    103s
   30699    1.4691366e+01   3.027322e+03   0.000000e+00    113s
   31749    1.4990695e+01   3.422901e+03   0.000000e+00    121s
   32726    1.4990906e+01   2.271224e+03   0.000000e+00    130s
   34848    1.4991178e+01   2.845561e+03   0.000000e+00    144s
   35903    1.5440542e+01   5.605144e+03   0.000000e+00    150s
   36784    1.5440591e+01   4.515261e+03   0.000000e+00    154s
   37592    1.5440663e+01   7.598222e+03   0.000000e+00    159s
   38562    1.5440698e+01   7.706536e+03   0.000000e+00    161s
   42102    1.5440794e+01   6.335672e+03   0.000000e+00    168s
   43327    1.5440894e+01   6.043277e+03   0.000000e+00    181s
   45950    1.5440972e+01   5.088036e+03   0.000000e+00    186s
   48749    1.5441081e+01   5.345342e+03   0.000000e+00    194s
   50287    1.5441153e+01   4.037965e+03   0.000000e+00    200s
   51861    1.5441193e+01   4.504596e+03   0.000000e+00    203s
   53505    1.5441348e+01   4.047010e+03   0.000000e+00    223s
   55108    1.5441386e+01   3.239595e+03   0.000000e+00    227s
   56597    1.5441439e+01   3.876098e+03   0.000000e+00    233s
   58083    1.5441494e+01   4.733704e+03   0.000000e+00    237s
   59818    1.5441675e+01   3.180797e+03   0.000000e+00    258s
   61510    1.5441726e+01   2.584630e+03   0.000000e+00    263s
   63289    1.5441775e+01   2.961756e+03   0.000000e+00    267s
   65013    1.5441859e+01   3.712379e+03   0.000000e+00    275s
   66935    1.5446402e+01   2.972152e+03   0.000000e+00    291s
   68636    1.5554271e+01   2.577533e+03   0.000000e+00    297s
   70357    1.5714674e+01   6.834860e+03   0.000000e+00    314s
   72105    1.5842956e+01   3.865010e+03   0.000000e+00    332s
   73807    1.5843191e+01   3.211481e+03   0.000000e+00    348s
   75501    1.5894738e+01   8.408444e+03   0.000000e+00    366s
   77129    1.5932028e+01   4.616235e+03   0.000000e+00    371s
   80370    1.5947598e+01   4.468318e+03   0.000000e+00    392s
   82079    1.5947720e+01   5.311706e+03   0.000000e+00    410s
   83634    1.5947892e+01   5.689023e+03   0.000000e+00    426s
   85214    1.5948047e+01   4.922728e+03   0.000000e+00    443s
   86708    1.5948270e+01   6.481762e+03   0.000000e+00    458s
   88265    1.6041922e+01   5.007812e+03   0.000000e+00    470s
   89902    1.6042270e+01   5.116779e+03   0.000000e+00    488s
   91580    1.6042680e+01   4.791036e+03   0.000000e+00    507s
   93199    1.6269156e+01   5.165239e+03   0.000000e+00    524s
   94836    1.6269461e+01   9.598546e+03   0.000000e+00    542s
   96391    1.6269848e+01   8.327741e+03   0.000000e+00    559s
   97870    1.6270117e+01   9.300318e+03   0.000000e+00    575s
   99106    1.6270457e+01   6.846809e+03   0.000000e+00    589s
  100768    1.6270828e+01   5.169181e+03   0.000000e+00    608s
  102763    1.6271001e+01   6.369311e+03   0.000000e+00    632s
  105177    1.6271114e+01   8.844575e+03   0.000000e+00    664s
