Executando Fernandes MODIFICADO
TRABALHO 2 : Rodando pra 1h
Optimize a model with 10110 rows, 14960 columns and 544251 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 5326
Presolve removed 85 rows and 58 columns
Presolve time: 0.54s
Presolved: 10025 rows, 14902 columns, 148401 nonzeros
Variable types: 9900 continuous, 5002 integer (5000 binary)

Root relaxation: objective 0.000000e+00, 217 iterations, 0.02 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0    7 5326.00000    0.00000   100%     -    1s
H    0     0                    4119.0000000    0.00000   100%     -    3s
     0     0    0.00000    0   58 4119.00000    0.00000   100%     -    3s
H    0     0                    3777.0000000    0.00000   100%     -    3s
     0     0    0.00000    0   48 3777.00000    0.00000   100%     -    4s
     0     0    0.00000    0   42 3777.00000    0.00000   100%     -    4s
     0     0    0.00000    0   79 3777.00000    0.00000   100%     -    5s
H    0     0                    2776.0000000    0.00000   100%     -    6s
     0     0    0.00000    0   21 2776.00000    0.00000   100%     -    6s
     0     0    0.00000    0   13 2776.00000    0.00000   100%     -    8s
     0     0    0.00000    0   75 2776.00000    0.00000   100%     -    9s
     0     0    0.00000    0   15 2776.00000    0.00000   100%     -   10s
     0     0    0.00000    0   14 2776.00000    0.00000   100%     -   12s
     0     0    0.00000    0   15 2776.00000    0.00000   100%     -   13s
     0     0    0.00000    0   15 2776.00000    0.00000   100%     -   13s
H    0     0                    2132.5000000    0.00000   100%     -   15s
     0     2    0.00000    0   15 2132.50000    0.00000   100%     -   15s
     2     4    8.09091    2  109 2132.50000    0.00000   100% 23325   31s
     4     6    6.77778    3  108 2132.50000    0.00000   100% 21400   45s
     6     8    9.72222    4  108 2132.50000    0.00000   100% 20312   57s
     7     9   10.62888    4  109 2132.50000    0.00000   100% 23241   70s
H    8     8                    1652.0000000    0.00000   100% 20336   79s
    15    17   11.94949   11  107 1652.00000    0.00000   100% 11302   80s
H  216   216                    1591.0000000    0.00000   100%   889   84s
   247   249   24.36364  242  105 1591.00000    0.00000   100%   799   85s
H  270   270                    1584.0000000    0.00000   100%   736   85s
H  351   351                    1513.0000000    0.00000   100%   575   86s
   573   575   35.71212  566  103 1513.00000    0.00000   100%   381   90s
H  702   702                    1449.0000000    0.00000   100%   326   92s
H  729   729                    1441.0000000    0.00000   100%   317   92s
   878   880   50.13636  869  100 1441.00000    0.00000   100%   273   95s
H 1026  1026                    1282.0000000    0.00000   100%   237   96s
H 1134  1134                    1271.0000000    0.00000   100%   216   98s
H 1188  1188                    1265.5000000    0.00000   100%   207   99s
  1228  1230   63.57576 1217   95 1265.50000    0.00000   100%   206  100s
H 1242  1242                    1257.0000000    0.00000   100%   204  100s
  1621  1623   72.78788 1609   94 1257.00000    0.00000   100%   163  105s
H 1728  1728                    1251.5000000    0.00000   100%   153  107s
H 1755  1755                    1152.5000000    0.00000   100%   151  107s
  1809  1811   75.09596 1797   94 1152.50000    0.00000   100%   147  110s
  1971  1973   76.68182 1959   94 1152.50000    0.00000   100%   136  116s
  2079  2081   77.93939 2067   94 1152.50000    0.00000   100%   130  120s
  2207  2209   79.38384 2195   94 1152.50000    0.00000   100%   123  125s
  2349  2351   81.08586 2337   94 1152.50000    0.00000   100%   117  131s
  2457  2459   82.74242 2445   94 1152.50000    0.00000   100%   112  135s
  2565  2567   84.74747 2553   94 1152.50000    0.00000   100%   109  140s
H 2673  2673                    1098.0000000    0.00000   100%   106  145s
H 2700  2700                    1022.0000000    0.00000   100%   106  145s
  2762  2763  122.40404 2749   90 1022.00000    0.00000   100%   107  150s
H 2881  2880                    1012.0000000    0.00000   100%   105  152s
  2935  2936  138.25758 2919   87 1012.00000    0.00000   100%   104  155s
H 3146  3145                    1011.0000000    0.00000   100%  99.4  158s
  3254  3255  150.41919 3237   86 1011.00000    0.00000   100%  96.7  161s
  3438  3438  200.12626 3421   85 1011.00000    0.00000   100%  95.8  165s
H 3495  3492                     962.0000000    0.00000   100%  96.6  167s
  3549  3548  253.55556 3527   78  962.00000    0.00000   100%  96.0  170s
  3725  3724  265.75758 3703   78  962.00000    0.00000   100%  93.1  175s
  4025  4019  439.39394 4001   72  962.00000    0.00000   100%  87.9  180s
  4302  4280    0.84343    1   99  962.00000    0.84343   100%  90.9  194s
  4304  4281   74.89394 1775   15  962.00000    0.84343   100%  90.9  196s
  4309  4284   32.78788  473    7  962.00000    0.84343   100%  90.8  200s
  4310  4286    6.77778   11  108  962.00000    0.84343   100%  97.4  207s
  4312  4286    9.34343   12  108  962.00000    0.84343   100%   105  222s
  4314  4288    6.58081   13  108  962.00000    0.84343   100%   114  239s
  4316  4289   26.00000   14  105  962.00000    1.50000   100%   124  256s
  4317  4290    8.09596   14  108  962.00000    6.60606  99.3%   127  263s
  4318  4290    8.15152   15  108  962.00000    6.60606  99.3%   127  266s
  4325  4293   49.84343   19  106  962.00000    6.60606  99.3%   139  285s
  4326  4293   10.84213   19  109  962.00000    6.60606  99.3%   144  296s
  4328  4293   21.84213   21  103  962.00000    6.60606  99.3%   147  303s
  4329  4294   20.59904   21  108  962.00000    6.60606  99.3%   152  310s
  4334  4292   22.34213   24  103  962.00000    6.60606  99.3%   155  316s
  4335  4293   21.06657   24  107  962.00000    6.60606  99.3%   158  323s
  4338  4293   22.18667   26  105  962.00000    6.60606  99.3%   163  331s
  4339  4293   21.82069   26  107  962.00000    6.60606  99.3%   166  337s
  4342  4293   22.09097   28  105  962.00000    6.60606  99.3%   171  346s
  4343  4293   22.26086   28  104  962.00000    6.60606  99.3%   174  352s
  4346  4295   30.90870   30  103  962.00000    6.60606  99.3%   182  365s
  4347  4296   22.71448   31  106  962.00000    6.60606  99.3%   184  371s
  4348  4296   30.30556   31  102  962.00000    6.60606  99.3%   189  382s
  4351  4296   23.94281   33  104  962.00000    6.60606  99.3%   194  391s
  4352  4297   27.71790   33  102  962.00000    6.60606  99.3%   200  404s
  4356  4296 infeasible   35       962.00000    6.60606  99.3%   200  405s
  4359  4297   24.84473   37  105  962.00000    6.60606  99.3%   202  410s
  4362  4297   26.20703   39  105  962.00000    6.60606  99.3%   205  417s
  4363  4297   32.05795   39  101  962.00000    6.60606  99.3%   211  430s
  4368  4297   27.08176   42  107  962.00000    6.60606  99.3%   214  438s
  4369  4297   33.99711   42  103  962.00000    6.60606  99.3%   219  447s
  4372  4296   27.89519   44  105  962.00000    6.60606  99.3%   223  454s
  4373  4297   37.13654   44  104  962.00000    6.60606  99.3%   229  465s
  4376  4299   44.51010   46  102  962.00000    6.60606  99.3%   232  471s
  4379  4299   29.36529   48  105  962.00000    6.60606  99.3%   236  479s
  4380  4300   35.06788   48  102  962.00000    6.60606  99.3%   240  487s
  4384  4299   30.20388   51  105  962.00000    6.60606  99.3%   242  493s
  4385  4300   40.58514   51  103  962.00000    6.60606  99.3%   248  503s
  4390  4299   31.03666   54  104  962.00000    6.60606  99.3%   251  509s
  4391  4300   37.96554   54  103  962.00000    6.60606  99.3%   257  520s
  4394  4300   31.74704   56  103  962.00000    6.60606  99.3%   260  528s
  4395  4301   42.37742   56  102  962.00000    6.60606  99.3%   265  537s
  4398  4301   32.37570   58  104  962.00000    6.60606  99.3%   268  544s
  4399  4301   42.97854   58  101  962.00000    6.60606  99.3%   273  551s
  4404  4301   40.80278   61  102  962.00000    6.60606  99.3%   279  564s
  4405  4301   33.34167   62  104  962.00000    6.60606  99.3%   281  568s
  4406  4302   46.08614   62  103  962.00000    6.60606  99.3%   286  578s
  4410  4302   41.90115   65  102  962.00000    6.60606  99.3%   291  589s
  4411  4302   34.17514   65  103  962.00000    6.60606  99.3%   295  595s
  4416  4302   35.44439   68  104  962.00000    6.60606  99.3%   299  605s
  4417  4302   43.43157   68  103  962.00000    6.60606  99.3%   303  613s
  4421  4302   36.00000   71  105  962.00000    6.60606  99.3%   304  617s
  4422  4303   45.94193   71  104  962.00000    6.60606  99.3%   311  628s
  4423  4303   36.95167   72  105  962.00000    6.60606  99.3%   312  630s
  4424  4304   45.70595   72  102  962.00000    6.60606  99.3%   315  635s
  4429  4303   49.12963   75  102  962.00000    6.60606  99.3%   318  643s
  4434  4304   39.03191   78  105  962.00000    6.60606  99.3%   320  650s
  4435  4304   45.87054   78  103  962.00000    6.60606  99.3%   324  659s
  4436  4305   39.51595   79  104  962.00000    6.60606  99.3%   324  660s
  4440  4304   40.53702   81  105  962.00000    6.60606  99.3%   326  667s
  4441  4304   47.48310   81  102  962.00000    6.60606  99.3%   329  676s
  4445  4304   42.90401   84  105  962.00000    6.60606  99.3%   332  683s
  4446  4305   50.11394   84  101  962.00000    6.60606  99.3%   336  692s
