Rodando pra 1h
Optimize a model with 160139 rows, 239600 columns and 1595177 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 4e+02]
Presolve time: 2.85s
Presolved: 160139 rows, 239600 columns, 1595177 nonzeros
Variable types: 159700 continuous, 79900 integer (79900 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.214779e+03   0.000000e+00     10s
     921    0.0000000e+00   8.407318e+03   0.000000e+00     10s
    2185    1.0527392e-03   4.570392e+04   0.000000e+00     17s
    2806    5.9621378e-03   1.545413e+05   0.000000e+00     20s
    4344    1.2522689e+01   2.314039e+03   0.000000e+00     27s
    5233    1.2523055e+01   2.716358e+03   0.000000e+00     31s
    7003    1.2523729e+01   3.127924e+03   0.000000e+00     37s
    8979    1.2677509e+01   2.967366e+03   0.000000e+00     43s
   10017    1.2831265e+01   2.993446e+03   0.000000e+00     47s
   11178    1.3137545e+01   3.273237e+03   0.000000e+00     51s
   12428    1.3138196e+01   3.726719e+03   0.000000e+00     56s
   13606    1.3138961e+01   2.879882e+03   0.000000e+00     61s
   14822    1.3291707e+01   3.037338e+03   0.000000e+00     67s
   16146    1.3292922e+01   2.778496e+03   0.000000e+00     73s
   17603    1.3743774e+01   3.011279e+03   0.000000e+00     80s
   18939    1.3969851e+01   3.675578e+03   0.000000e+00     87s
   20276    1.4044853e+01   4.042724e+03   0.000000e+00     94s
   22103    1.4488428e+01   4.036349e+03   0.000000e+00    106s
   24118    1.5800195e+01   3.606622e+03   0.000000e+00    119s
   25657    1.5802613e+01   2.911918e+03   0.000000e+00    131s
   27844    1.6231534e+01   4.760021e+03   0.000000e+00    148s
   30017    1.6234854e+01   2.214680e+03   0.000000e+00    169s
   32402    1.6801240e+01   2.636810e+03   0.000000e+00    189s
   34396    1.6870248e+01   2.876393e+03   0.000000e+00    208s
   36612    1.6938907e+01   2.571451e+03   0.000000e+00    230s
   39028    1.7352735e+01   3.676431e+03   0.000000e+00    253s
   41444    1.7556714e+01   3.210410e+03   0.000000e+00    264s
   43860    1.7557705e+01   5.788404e+03   0.000000e+00    292s
   46276    1.7558802e+01   5.564215e+03   0.000000e+00    321s
   48512    1.7691557e+01   3.828873e+03   0.000000e+00    336s
   50735    1.7692248e+01   5.133011e+03   0.000000e+00    361s
   52768    1.7692851e+01   4.894255e+03   0.000000e+00    382s
   54867    1.7693698e+01   5.970816e+03   0.000000e+00    401s
   57124    1.7694517e+01   4.393005e+03   0.000000e+00    428s
   59508    1.7695688e+01   5.535363e+03   0.000000e+00    455s
   61604    1.7827593e+01   4.304094e+03   0.000000e+00    462s
   63761    1.7828502e+01   3.923369e+03   0.000000e+00    486s
   66152    1.7829300e+01   5.291350e+03   0.000000e+00    515s
   68509    1.7830151e+01   4.779112e+03   0.000000e+00    544s
   70925    1.7896684e+01   5.746799e+03   0.000000e+00    572s
   73341    1.7898383e+01   5.447063e+03   0.000000e+00    602s
   75757    1.8165203e+01   6.402232e+03   0.000000e+00    632s
   78173    1.8166879e+01   4.573076e+03   0.000000e+00    662s
   80589    1.8233740e+01   4.562927e+03   0.000000e+00    691s
   83005    1.8563221e+01   4.928105e+03   0.000000e+00    721s
   85421    1.8628723e+01   3.909994e+03   0.000000e+00    754s
