Rodando pra 1h
Optimize a model with 90139 rows, 134750 columns and 896814 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 3e+02]
Presolve time: 1.48s
Presolved: 90139 rows, 134750 columns, 896814 nonzeros
Variable types: 89800 continuous, 44950 integer (44950 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.145840e+02   0.000000e+00      6s
    2633    3.7473220e-04   3.638800e+03   0.000000e+00     10s
    5309    2.1239779e+01   3.265372e+03   0.000000e+00     15s
    8003    2.3708018e+01   3.530362e+03   0.000000e+00     20s
   10665    2.3709944e+01   3.047723e+03   0.000000e+00     26s
   12712    2.4495340e+01   2.767898e+03   0.000000e+00     31s
   14982    2.7929085e+01   2.714720e+03   0.000000e+00     36s
   16947    2.9681669e+01   3.492332e+03   0.000000e+00     43s
   17985    3.0009320e+01   3.474290e+03   0.000000e+00     47s
   18920    3.0010068e+01   3.807645e+03   0.000000e+00     51s
   20685    3.0011310e+01   3.641886e+03   0.000000e+00     58s
   21995    3.0490623e+01   4.164341e+03   0.000000e+00     64s
   23096    3.0492423e+01   2.429901e+03   0.000000e+00     69s
   24667    3.0808557e+01   3.298369e+03   0.000000e+00     76s
   26308    3.1667861e+01   2.620600e+03   0.000000e+00     84s
   27971    3.1897940e+01   3.160521e+03   0.000000e+00     93s
   29634    3.2651140e+01   2.630088e+03   0.000000e+00    102s
   31297    3.3012103e+01   1.612897e+03   0.000000e+00    112s
   32960    3.3293906e+01   1.988041e+03   0.000000e+00    123s
   34623    3.3364575e+01   2.406599e+03   0.000000e+00    133s
   36286    3.3502910e+01   1.691228e+03   0.000000e+00    143s
   37949    3.3777154e+01   2.312083e+03   0.000000e+00    154s
   39612    3.3909465e+01   4.153131e+03   0.000000e+00    163s
   41218    3.3909944e+01   2.847280e+03   0.000000e+00    174s
   42881    3.3910664e+01   2.011643e+03   0.000000e+00    186s
   44544    3.3975751e+01   2.845140e+03   0.000000e+00    197s
   46207    3.3976265e+01   2.531710e+03   0.000000e+00    210s
   47870    3.3976724e+01   2.180985e+03   0.000000e+00    222s
   49533    3.3977036e+01   2.341625e+03   0.000000e+00    234s
   51196    3.3977104e+01   1.914108e+03   0.000000e+00    240s
   52859    3.3977340e+01   3.525521e+03   0.000000e+00    246s
   54522    3.4043275e+01   2.617205e+03   0.000000e+00    259s
   56185    3.4304623e+01   2.814685e+03   0.000000e+00    271s
   57848    3.4305089e+01   1.603698e+03   0.000000e+00    283s
   59511    3.4305456e+01   2.981655e+03   0.000000e+00    296s
   61174    3.4305971e+01   1.759188e+03   0.000000e+00    308s
   62837    3.4499415e+01   2.498719e+03   0.000000e+00    321s
