Rodando pra 1h
Optimize a model with 160139 rows, 239600 columns and 1595230 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 4e+02]
Presolve time: 3.16s
Presolved: 160139 rows, 239600 columns, 1595230 nonzeros
Variable types: 159700 continuous, 79900 integer (79900 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.214779e+03   0.000000e+00     11s
    1379    1.1054502e-04   1.401252e+03   0.000000e+00     17s
    2494    3.2063660e-03   9.214352e+04   0.000000e+00     23s
    3330    3.2400335e+01   1.326035e+03   0.000000e+00     26s
    4211    3.2400735e+01   2.710141e+03   0.000000e+00     31s
    6007    3.2799736e+01   3.281754e+03   0.000000e+00     39s
    7083    3.2800211e+01   2.996596e+03   0.000000e+00     44s
    8278    3.5278018e+01   2.810558e+03   0.000000e+00     49s
    9629    3.6162128e+01   2.717537e+03   0.000000e+00     55s
   11253    3.7525107e+01   2.566993e+03   0.000000e+00     65s
   12977    3.7815258e+01   2.994514e+03   0.000000e+00     73s
   14834    3.7816026e+01   2.580948e+03   0.000000e+00     89s
   16782    3.8293993e+01   2.992538e+03   0.000000e+00    103s
   18880    3.8580401e+01   3.776618e+03   0.000000e+00    121s
   20948    3.8769553e+01   3.359581e+03   0.000000e+00    140s
   22791    3.8863441e+01   2.305903e+03   0.000000e+00    156s
   24675    3.9047513e+01   2.602221e+03   0.000000e+00    170s
   26951    3.9232643e+01   2.736308e+03   0.000000e+00    193s
   29367    3.9504785e+01   2.970225e+03   0.000000e+00    221s
   31783    3.9505508e+01   5.441433e+03   0.000000e+00    250s
   34199    3.9506057e+01   2.309204e+03   0.000000e+00    283s
   36615    3.9685481e+01   2.571495e+03   0.000000e+00    314s
   39031    3.9687791e+01   2.008797e+03   0.000000e+00    347s
   41447    3.9779005e+01   2.247313e+03   0.000000e+00    378s
   43863    4.0400564e+01   3.203286e+03   0.000000e+00    404s
   46279    4.0753397e+01   3.171770e+03   0.000000e+00    432s
   48695    4.1015153e+01   5.013119e+03   0.000000e+00    463s
   51111    4.1101199e+01   3.211924e+03   0.000000e+00    495s
   53527    4.1105214e+01   2.589338e+03   0.000000e+00    528s
   55943    4.1191617e+01   2.755333e+03   0.000000e+00    561s
   58359    4.1273090e+01   5.043646e+03   0.000000e+00    591s
   60775    4.1273508e+01   3.842590e+03   0.000000e+00    609s
   63191    4.1274360e+01   5.241078e+03   0.000000e+00    646s
   65577    4.1275204e+01   3.182204e+03   0.000000e+00    683s
   67993    4.1275885e+01   4.411102e+03   0.000000e+00    723s
   70409    4.1276572e+01   3.272141e+03   0.000000e+00    762s
   72825    4.1358563e+01   4.135165e+03   0.000000e+00    799s
   75241    4.1360566e+01   4.976977e+03   0.000000e+00    838s
   77657    4.1442739e+01   3.928800e+03   0.000000e+00    876s
   80073    4.1444674e+01   3.616249e+03   0.000000e+00    914s
   82489    4.1527177e+01   3.233377e+03   0.000000e+00    950s
   84905    4.1774437e+01   4.108279e+03   0.000000e+00    984s
   87321    4.2021968e+01   3.436542e+03   0.000000e+00   1022s
   89737    4.2583775e+01   4.799487e+03   0.000000e+00   1060s
   92153    4.2814343e+01   3.754425e+03   0.000000e+00   1101s
   94569    4.3194085e+01   3.300645e+03   0.000000e+00   1128s
   96985    4.3267879e+01   3.500693e+03   0.000000e+00   1159s
   99401    4.3487184e+01   3.073163e+03   0.000000e+00   1188s
  101817    4.3628374e+01   3.297649e+03   0.000000e+00   1220s
  104233    4.3700383e+01   3.392598e+03   0.000000e+00   1252s
  106649    4.3837855e+01   3.431707e+03   0.000000e+00   1281s
  109065    4.4108877e+01   5.819947e+03   0.000000e+00   1310s
  111481    4.4243119e+01   3.544262e+03   0.000000e+00   1340s
  113897    4.4310357e+01   3.515714e+03   0.000000e+00   1369s
