Rodando pra 1h
Optimize a model with 250139 rows, 374450 columns and 2493474 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 5e+02]
Presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Presolve time: 5.24s
Presolved: 250139 rows, 374450 columns, 2493474 nonzeros
Variable types: 249600 continuous, 124850 integer (124850 binary)
Optimize a model with 250139 rows, 374450 columns and 2493474 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 5e+02]
Presolved: 250139 rows, 374450 columns, 2493474 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.514975e+03   0.000000e+00     19s
    1120    0.0000000e+00   5.884325e+02   0.000000e+00     21s
    1642    2.3038898e-04   3.939257e+03   0.000000e+00     29s
    2210    5.3975870e-04   3.693542e+03   0.000000e+00     37s
    4145    6.2118982e-04   4.627192e+03   0.000000e+00     40s
    6558    6.7686585e-04   4.338115e+03   0.000000e+00     47s
    7593    7.7266842e-04   2.183219e+04   0.000000e+00     54s
    8244    7.9887181e-04   3.183183e+04   0.000000e+00     56s
   12894    9.2813150e-04   7.758916e+03   0.000000e+00     66s
   15226    9.9277407e-04   1.127504e+04   0.000000e+00     73s
   18113    1.0673225e-03   5.919982e+03   0.000000e+00     86s
   23863    1.1539794e-03   1.177510e+04   0.000000e+00     90s
   26382    1.1869336e-03   1.374202e+04   0.000000e+00     95s
   29366    1.2592740e-03   1.210784e+04   0.000000e+00    116s
   31181    1.3862395e-03   2.958308e+04   0.000000e+00    132s
   31911    1.5640374e-03   5.355669e+03   0.000000e+00    145s
   36070    1.6530219e-03   4.607879e+03   0.000000e+00    152s
   36992    1.8418806e-03   6.394787e+03   0.000000e+00    173s
   38940    1.8979568e-03   7.315244e+03   0.000000e+00    176s
   39961    1.9425579e-03   9.745857e+03   0.000000e+00    180s
   42030    1.9977614e-03   9.406033e+03   0.000000e+00    186s
   44182    2.0382406e-03   7.289311e+03   0.000000e+00    191s
   46922    2.0825862e-03   6.304754e+03   0.000000e+00    196s
   47906    2.2984737e-03   8.046813e+03   0.000000e+00    216s
   49508    2.6202239e-03   5.005812e+03   0.000000e+00    248s
   51575    3.1830568e-03   7.128022e+03   0.000000e+00    287s
   55328    1.6699332e+00   1.541370e+04   0.000000e+00    294s
   57261    1.7115789e+00   5.487116e+03   0.000000e+00    300s
   58911    4.9980146e+00   5.807263e+03   0.000000e+00    309s
   60168    4.9980393e+00   5.259929e+03   0.000000e+00    312s
   62032    4.9984909e+00   7.557672e+03   0.000000e+00    339s
   63934    4.9985694e+00   8.416410e+03   0.000000e+00    350s
   65804    4.9986013e+00   7.571980e+03   0.000000e+00    359s
   67815    4.9986056e+00   4.965402e+03   0.000000e+00    362s
   69527    4.9987218e+00   4.215838e+03   0.000000e+00    385s
   71332    4.9988319e+00   4.050641e+03   0.000000e+00    410s
   73222    4.9989341e+00   6.004074e+03   0.000000e+00    441s
   75264    4.9989738e+00   3.403967e+03   0.000000e+00    452s
   77469    4.9989889e+00   3.578521e+03   0.000000e+00    460s
   82447    4.9990187e+00   4.677828e+03   0.000000e+00    470s
   85233    4.9992576e+00   7.852764e+03   0.000000e+00    501s
   87765    4.9992814e+00   7.802811e+03   0.000000e+00    508s
   89966    4.9993358e+00   7.340803e+03   0.000000e+00    523s
   92055    4.9994325e+00   9.448521e+03   0.000000e+00    533s
   94041    4.9995264e+00   9.838918e+03   0.000000e+00    546s
   98585    4.9996796e+00   9.748937e+03   0.000000e+00    561s
  101064    4.9997167e+00   9.514695e+03   0.000000e+00    565s
  103372    4.9998076e+00   9.510998e+03   0.000000e+00    576s
  105913    4.9999029e+00   8.386133e+03   0.000000e+00    593s
  108594    4.9999508e+00   7.967611e+03   0.000000e+00    599s
  111458    4.9999961e+00   9.154504e+03   0.000000e+00    606s
  114229    5.0000851e+00   8.788656e+03   0.000000e+00    622s
  117102    5.0001602e+00   9.324809e+03   0.000000e+00    635s
  120128    5.0002230e+00   9.044760e+03   0.000000e+00    648s
  123215    5.0003424e+00   9.154857e+03   0.000000e+00    676s
  126443    5.0004596e+00   9.316656e+03   0.000000e+00    705s
  129671    5.0004971e+00   9.208713e+03   0.000000e+00    718s
  132899    5.0005277e+00   8.055797e+03   0.000000e+00    728s
  136127    5.0005884e+00   8.196070e+03   0.000000e+00    738s
  139355    5.0006528e+00   7.361057e+03   0.000000e+00    754s
  142583    5.0008968e+00   1.032586e+04   0.000000e+00    831s
  145811    5.0011570e+00   1.004359e+04   0.000000e+00    887s
  149039    5.0013525e+00   1.042572e+04   0.000000e+00    951s
  152267    5.0014924e+00   7.184723e+03   0.000000e+00   1016s
  155495    5.0016135e+00   8.872426e+03   0.000000e+00   1049s
  158723    5.0016832e+00   9.478904e+03   0.000000e+00   1070s
  161951    5.0017601e+00   7.897465e+03   0.000000e+00   1089s
  165179    5.0020649e+00   4.770362e+03   0.000000e+00   1204s
  168407    5.0027458e+00   7.338934e+03   0.000000e+00   1300s
  171635    5.0034464e+00   4.671123e+03   0.000000e+00   1392s
  174863    5.0041953e+00   5.148856e+03   0.000000e+00   1491s
  178091    5.0048450e+00   7.714933e+03   0.000000e+00   1583s
  181319    5.0052979e+00   4.859532e+03   0.000000e+00   1674s
  184547    5.0061486e+00   5.875784e+03   0.000000e+00   1762s
  187775    5.0067096e+00   7.005000e+03   0.000000e+00   1861s
  190431    5.0075730e+00   5.432935e+03   0.000000e+00   1937s
  192903    5.0084058e+00   6.067332e+03   0.000000e+00   2010s
  196100    5.0106039e+00   9.083682e+03   0.000000e+00   2072s
  199328    5.5024952e+00   7.407520e+03   0.000000e+00   2134s
  202556    7.2727420e+00   1.131935e+04   0.000000e+00   2167s
  205784    7.2750687e+00   1.015588e+04   0.000000e+00   2229s
  209012    7.2771483e+00   8.301156e+03   0.000000e+00   2293s
  212240    7.6722196e+00   1.154644e+04   0.000000e+00   2354s
  215468    9.1312803e+00   1.000035e+04   0.000000e+00   2405s
  218696    9.7017309e+00   5.658861e+03   0.000000e+00   2468s
  221924    9.9008304e+00   7.558145e+03   0.000000e+00   2532s
  225152    9.9945335e+00   1.007755e+04   0.000000e+00   2598s
  228380    1.0544115e+01   5.167535e+03   0.000000e+00   2663s
