5.1,176.00,4.66,176,2.71,176,1.10,176,192.25,4.79,192.25,10.99,192.25,112.41,192.25
5.2,149.00,7.44,149,1.18,149,0.03,149,205.98,34.50,206,2.59,206,2.62,206
5.3,82.44,52.42,82.44,12.78,82.44,175.05,82.44,200.49,9.41,200.5,0.82,200.5,0.05,200.5
7.1,213.22_{1},14.16,213.22,0 %,213.22,0 %,213.22,292.98,1258.43,293,6.93,293,1.99,293
7.2,181.12,63.90,181.12,105.53,181.12,1878.64,181.12,226.87_{12},13.16,226.89,264.00,226.89,0.500 %,228
7.3,163.40,104.75,163.4,7.45,163.4,4.94,163.4,188.36,450.77,188.38,350.83,188.38,770.37,188.38
10.1,292.00_{2},29.6600 %,378.6,29.1800 %,377.2,27.8100 %,373.2,332.61_{1},20.0700 %,399.38,15.7500 %,385,16.7600 %,388.38
10.2,298.50_{23},9.0500 %,325.5,49.05,298.5,33.44,298.5,316.54_{1},31.6100 %,416.6,27.2500 %,402.8,27.3200 %,403
10.3,116.11,127.58,116.11,253.12,116.11,2478.21,116.11,362.50_{3},24.6900 %,452,22.4800 %,444,22.4800 %,444
15.1,337.91_{1},63.5900 %,552.8,52.5800 %,515.6,52.2900 %,514.6,377.05_{1},66.7200 %,628.6,58.500 %,597.6,55.8400 %,587.6
15.2,287.71_{1},36.7500 %,393.44,24.6200 %,358.56,24.6200 %,358.56,418.00_{2},63.2800 %,682.5,57.300 %,657.5,55.8600 %,651.5
15.3,206.98_{1},790.69,207,0.0100 %,207,0.0100 %,207,266.93_{1},17.300 %,313.11,13.8100 %,303.78,13.8100 %,303.78
20.1,481.00_{3},66.8400 %,802.5,46.5700 %,705,46.4700 %,704.5,463.49_{1},78.5600 %,827.6,64.1900 %,761,64.1900 %,761
20.2,359.50_{1},63.1600 %,586.55,43.2300 %,514.89,43.6900 %,516.56,518.50_{3},76.7600 %,916.5,69.5300 %,879,70.0100 %,881.5
20.3,201.62_{1},13.1400 %,228.12,11.3500 %,224.5,11.3500 %,224.5,295.24_{1},34.7700 %,397.89,28.7800 %,380.22,28.4500 %,379.22
25.1,556.50_{2},67.4800 %,932,52.1100 %,846.5,52.1100 %,846.5,558.11_{1},74.6600 %,974.8,62.6900 %,908,65.700 %,924.8
25.2,423.90_{1},49.8800 %,635.33,43.1400 %,606.78,42.8300 %,605.44,623.50_{3},84.2800 %,1 149,75.7800 %,1 096,74.1800 %,1 086
25.3,225.72_{1},22.0500 %,275.5,17.2900 %,264.75,17.1200 %,264.38,350.84_{1},37.4800 %,482.33,37.2600 %,481.56,37.0400 %,480.78
30.1,626.00_{2},70.6100 %,1 068,54.3100 %,966,55.2700 %,972,688.50_{3},93.6800 %,1 333.5,69.2100 %,1 165,70.0100 %,1 170.5
30.2,466.72_{1},54.200 %,719.67,50.0500 %,700.33,50.9800 %,704.67,598.10_{1},60.5400 %,960.22,57.00 %,939,57.6100 %,942.67
30.3,228.99_{1},30.300 %,298.38,26.700 %,290.12,26.7500 %,290.25,406.23_{1},52.9900 %,621.5,51.1500 %,614,50.500 %,611.38
35.1,652.82_{1},68.1800 %,1 097.89,56.9400 %,1 024.55,57.8800 %,1 030.67,778.00_{2},88.4300 %,1 466,73.0100 %,1 346,74.2900 %,1 356
35.2,509.81_{1},56.0900 %,795.75,52.6800 %,778.38,51.600 %,772.88,687.43_{1},63.5100 %,1 124,59.3700 %,1 095.55,59.2200 %,1 094.55
35.3,270.19_{1},45.900 %,394.2,33.9800 %,362,33.5300 %,360.8,438.05_{1},59.400 %,698.25,58.200 %,693,57.3700 %,689.38
40.1,769.66_{1},75.7800 %,1 352.89,58.7700 %,1 222,58.8100 %,1 222.33,861.97_{1},75.2100 %,1 510.22,77.00 %,1 525.67,69.2400 %,1 458.78
40.2,563.07_{1},76.8900 %,996,60.4600 %,903.5,60.3300 %,902.75,742.26_{1},79.1600 %,1 329.88,72.3300 %,1 279.12,69.7500 %,1 260
40.3,303.00_{3},30.8600 %,396.5,27.0600 %,385,26.7300 %,384,616.40_{2},70.8300 %,1 053,68.7200 %,1 040,69.500 %,1 044.8
