Executando Fernandes MODIFICADO
Optimize a model with 237 rows, 327 columns and 2008 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 3e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+01]
Found heuristic solution: objective 834.999
Presolve removed 1 rows and 3 columns
Presolve time: 0.00s
Presolved: 236 rows, 324 columns, 2005 nonzeros
Variable types: 210 continuous, 114 integer (111 binary)

Root relaxation: objective 1.707838e+01, 268 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   17.07838    0   20  834.99916   17.07838  98.0%     -    0s
H    0     0                     682.3326510   17.07838  97.5%     -    0s
     0     0   66.73208    0   22  682.33265   66.73208  90.2%     -    0s
     0     0   66.93129    0   24  682.33265   66.93129  90.2%     -    0s
     0     0   70.72493    0   26  682.33265   70.72493  89.6%     -    0s
     0     0   71.41315    0   25  682.33265   71.41315  89.5%     -    0s
     0     0   74.20780    0   25  682.33265   74.20780  89.1%     -    0s
     0     0   75.59051    0   26  682.33265   75.59051  88.9%     -    0s
     0     0   75.78883    0   28  682.33265   75.78883  88.9%     -    0s
H    0     0                     520.6661460   75.78883  85.4%     -    0s
     0     0   75.80483    0   29  520.66615   75.80483  85.4%     -    0s
     0     0   78.70185    0   30  520.66615   78.70185  84.9%     -    0s
H    0     0                     482.6661840   78.70185  83.7%     -    0s
     0     0   79.78001    0   28  482.66618   79.78001  83.5%     -    0s
     0     0   81.67060    0   29  482.66618   81.67060  83.1%     -    0s
     0     0   81.77032    0   33  482.66618   81.77032  83.1%     -    0s
     0     0   82.50725    0   33  482.66618   82.50725  82.9%     -    0s
     0     0   82.91971    0   35  482.66618   82.91971  82.8%     -    0s
     0     0   83.23331    0   34  482.66618   83.23331  82.8%     -    0s
     0     0   83.23331    0   33  482.66618   83.23331  82.8%     -    0s
H    0     0                     452.6662140   83.23331  81.6%     -    0s
     0     2   83.23511    0   31  452.66621   83.23511  81.6%     -    0s
H  108   100                     450.3328830   83.67733  81.4%  36.9    0s
H  243   216                     425.3329080   84.32933  80.2%  28.1    0s
H  270   242                     424.9995750   84.32933  80.2%  25.6    0s
H  297   256                     395.3329380   84.34313  78.7%  33.3    0s
H  408   350                     391.9996080   84.68861  78.4%  33.9    1s
H  527   434                     373.6662930  126.26886  66.2%  28.7    1s
H  537   418                     367.6662990  129.65062  64.7%  28.2    1s
H  555   408                     355.6663110  132.61679  62.7%  27.3    2s
H  567   394                     352.6663140  133.92280  62.0%  26.7    2s
   648   448  136.61069   25   44  352.66631  136.61069  61.3%  23.4    5s
H  649   424                     351.3329820  136.81287  61.1%  23.3    5s
  1233   695  269.38978   31   22  351.33298  263.41785  25.0%  51.4   10s
  4002  2491  342.04001   70   16  351.33298  273.23086  22.2%  43.0   15s
  6605  4411  326.39452   49   18  351.33298  276.98218  21.2%  42.7   20s
  9140  6233  294.46577   36   18  351.33298  279.31407  20.5%  42.9   25s
 11013  7596  315.00260   37   14  351.33298  280.89430  20.0%  43.5   30s
 13500  9294  306.54680   37   21  351.33298  282.23186  19.7%  44.3   35s
 15944 10857     cutoff   52       351.33298  283.62096  19.3%  45.2   40s
 18360 12442  322.90812   43   17  351.33298  284.92137  18.9%  45.7   45s
 20669 13930  327.60163   48   13  351.33298  285.78132  18.7%  46.3   50s
 23076 15404     cutoff   41       351.33298  286.63767  18.4%  46.5   55s
 25173 16697  345.93362   47   16  351.33298  287.31745  18.2%  46.7   60s
 27531 18122  298.80419   34   18  351.33298  288.06431  18.0%  46.8   65s
 29659 19380  321.12666   47   11  351.33298  288.76129  17.8%  47.1   70s
H31272 20325                     350.3329830  289.14300  17.5%  47.2   73s
 31484 20472  311.24394   43   17  350.33298  289.20147  17.4%  47.2   75s
 32986 21370  316.72475   44   13  350.33298  289.60107  17.3%  47.3   80s
 34987 22473  309.48521   38   20  350.33298  290.17299  17.2%  47.4   85s
 37169 23817  305.94894   35   19  350.33298  290.74458  17.0%  47.6   90s
 39325 25091  300.20365   38   20  350.33298  291.37356  16.8%  47.6   95s
 41522 26306  347.83898   54    8  350.33298  291.88834  16.7%  47.5  100s
 43818 27618  298.52717   36   15  350.33298  292.41228  16.5%  47.3  105s
 46224 29018  304.08469   40   20  350.33298  292.82967  16.4%  47.1  110s
 48631 30352  337.44323   57   12  350.33298  293.24593  16.3%  47.0  115s
 51010 31738  323.82123   50   16  350.33298  293.59553  16.2%  46.8  120s
 53278 33027  348.72423   47   14  350.33298  293.99582  16.1%  46.6  125s
 55397 34268  314.73935   32   16  350.33298  294.30365  16.0%  46.6  130s
 57630 35446  326.74077   39   17  350.33298  294.67424  15.9%  46.5  135s
 59742 36618  329.59817   46   14  350.33298  295.02447  15.8%  46.5  140s
 61827 37768  309.52276   38   15  350.33298  295.27440  15.7%  46.4  145s
 64058 38993  312.53126   38   18  350.33298  295.56279  15.6%  46.2  150s
 65974 40000  318.73077   44   15  350.33298  295.78413  15.6%  46.2  155s
 68079 41195  348.88915   65   16  350.33298  296.01091  15.5%  46.2  160s
 70162 42370  329.82705   49   16  350.33298  296.19415  15.5%  46.1  165s
 72010 43281  310.06299   37   18  350.33298  296.44541  15.4%  46.1  170s
 74310 44518  338.57109   49   10  350.33298  296.65163  15.3%  45.9  175s
 76234 45583  315.15514   37   17  350.33298  296.88149  15.3%  45.8  180s
 78480 46828  344.31930   51   15  350.33298  297.11770  15.2%  45.7  185s
 80509 47884  328.13377   43   17  350.33298  297.32023  15.1%  45.7  190s
 82331 48868  312.69985   39   16  350.33298  297.52154  15.1%  45.7  195s
 84476 50016  340.92870   47   18  350.33298  297.73322  15.0%  45.6  200s
 86401 51000  314.72516   44   14  350.33298  297.95712  15.0%  45.6  205s
 88541 52192  343.59911   44   18  350.33298  298.15543  14.9%  45.5  210s
 90763 53347  309.17042   45   15  350.33298  298.38310  14.8%  45.4  215s
 92829 54392     cutoff   51       350.33298  298.59454  14.8%  45.3  220s
 94788 55429  307.39109   39   22  350.33298  298.78972  14.7%  45.3  225s
 96616 56369  316.96002   38   18  350.33298  298.94384  14.7%  45.3  230s
 98736 57455  314.94748   40   13  350.33298  299.11071  14.6%  45.2  235s
 100621 58434  318.03482   34   16  350.33298  299.28085  14.6%  45.2  240s
 102583 59482  320.63126   47   13  350.33298  299.41450  14.5%  45.1  245s
 104718 60594  343.49966   54   12  350.33298  299.57715  14.5%  45.1  250s
