Rodando pra 1h

Optimize a model with 652 rows, 920 columns and 7858 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 2 rows and 2 columns
Presolve time: 0.01s
Presolved: 650 rows, 918 columns, 7854 nonzeros
Variable types: 600 continuous, 318 integer (316 binary)
Found heuristic solution: objective 1060.9000000
Found heuristic solution: objective 940.1000000

Root relaxation: objective 1.716301e+01, 785 iterations, 0.02 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   17.16301    0   31  940.10000   17.16301  98.2%     -    0s
H    0     0                     360.1000000   17.16301  95.2%     -    0s
     0     0   75.81905    0   34  360.10000   75.81905  78.9%     -    0s
H    0     0                     336.3000000   75.81905  77.5%     -    0s
     0     0   76.25845    0   36  336.30000   76.25845  77.3%     -    0s
     0     0   87.56562    0   36  336.30000   87.56562  74.0%     -    0s
H    0     0                     289.9000000   87.56562  69.8%     -    0s
     0     0   94.57010    0   38  289.90000   94.57010  67.4%     -    0s
     0     0   96.65725    0   39  289.90000   96.65725  66.7%     -    0s
     0     0  101.51565    0   35  289.90000  101.51565  65.0%     -    0s
     0     0  104.21603    0   30  289.90000  104.21603  64.1%     -    0s
     0     0  106.84257    0   36  289.90000  106.84257  63.1%     -    0s
     0     0  107.14772    0   36  289.90000  107.14772  63.0%     -    0s
     0     0  107.28153    0   36  289.90000  107.28153  63.0%     -    0s
     0     0  107.48936    0   38  289.90000  107.48936  62.9%     -    0s
     0     0  107.80000    0   37  289.90000  107.80000  62.8%     -    0s
     0     0  107.80000    0   37  289.90000  107.80000  62.8%     -    0s
H    0     0                     229.4000000  107.80000  53.0%     -    0s
     0     2  107.80000    0   37  229.40000  107.80000  53.0%     -    0s
H   27    13                     208.2000000  109.20000  47.6%   425    1s
H   54    26                     206.5000000  109.20000  47.1%   356    2s
H  189   125                     206.0000000  109.20000  47.0%   166    2s
H  351   229                     203.7000000  109.85003  46.1%   138    4s
H  510   337                     202.8000000  109.85003  45.8%   115    5s
H  529   332                     196.2000000  118.30719  39.7%   110    6s
H  531   316                     195.0000000  121.53337  37.7%   110    7s
H  533   301                     194.4000000  123.01487  36.7%   110    7s
H  535   287                     192.0000000  123.90583  35.5%   109    7s
H  539   275                     191.2000000  126.14081  34.0%   108    7s
H  555   270                     188.7000000  128.91877  31.7%   105    8s
   574   283  148.40000  140   53  188.70000  130.13098  31.0%   102   10s
H  621   296                     187.4000000  132.67410  29.2%  94.1   12s
   654   318  148.40000  140   55  187.40000  133.47518  28.8%  89.3   15s
H  681   317                     185.8000000  134.56185  27.6%  85.8   16s
H  689   304                     185.2000000  134.83980  27.2%  84.8   17s
   715   322  140.55929   77   37  185.20000  140.55929  24.1%   122   20s
H  723   310                     184.7000000  140.55929  23.9%   121   20s
   788   354  140.55929  104   53  184.70000  140.55929  23.9%   111   25s
  1537   571  159.18990   32   29  184.70000  153.14878  17.1%  95.7   30s
  2608  1262  176.15224   38   20  184.70000  154.71364  16.2%  76.8   35s
  3657  2037  156.84389   37   20  184.70000  155.34773  15.9%  70.0   40s
  4609  2757  172.94298   54   24  184.70000  155.75030  15.7%  67.6   45s
  5491  3420  184.59100   59   14  184.70000  156.16522  15.4%  66.2   50s
  6330  4018  181.73056   49   19  184.70000  156.45847  15.3%  65.5   55s
  7268  4676  172.88391   48   22  184.70000  156.80210  15.1%  64.4   60s
  8210  5331  163.30710   35   22  184.70000  157.05277  15.0%  63.1   65s
  9173  6023  170.77521   41   20  184.70000  157.24054  14.9%  62.3   70s
 10203  6758  174.03857   42   37  184.70000  157.42008  14.8%  61.1   83s
 10217  6767  161.45265   37   46  184.70000  157.42008  14.8%  61.0   85s
 10249  6789  171.66967   56   54  184.70000  157.42008  14.8%  60.8   90s
 10284  6812  161.78258   47   55  184.70000  157.42008  14.8%  60.6   95s
 10316  6833  162.65320   40   56  184.70000  157.42008  14.8%  60.4  100s
 10638  6979  163.55481   87   25  184.70000  157.42008  14.8%  62.3  105s
 11913  7492  157.84331   47   26  184.70000  157.42008  14.8%  59.8  110s
 14019  8409  166.17121   65   14  184.70000  157.42008  14.8%  56.5  115s
 16479  9507  161.75419   54   25  184.70000  157.42008  14.8%  53.6  120s
 19360 10783     cutoff   64       184.70000  157.42008  14.8%  51.2  125s
 22412 12147  167.09167   79   15  184.70000  157.42008  14.8%  48.8  130s
 25458 13439  171.41667   72   16  184.70000  157.61146  14.7%  47.0  135s
 28333 14648  161.86520   57   16  184.70000  157.83232  14.5%  45.8  140s
 31338 16129  172.44330   68   19  184.70000  158.04417  14.4%  44.7  145s
 34219 18306  160.59365   50   22  184.70000  158.26463  14.3%  43.8  150s
 37259 20597  162.31838   52   26  184.70000  158.44156  14.2%  43.0  155s
 40125 22787  161.42379   44   19  184.70000  158.63703  14.1%  42.5  160s
 42983 24991  176.05840   65   17  184.70000  158.80479  14.0%  41.9  165s
 45670 27001  181.61493   52   20  184.70000  158.93919  13.9%  41.6  170s
 48746 29404  176.70278   83   17  184.70000  159.08531  13.9%  41.1  175s
 51795 31705  180.21250   71   12  184.70000  159.23861  13.8%  40.6  180s
 54636 33827  179.06121   51   16  184.70000  159.35183  13.7%  40.4  185s
 57604 36072  165.61299   46   23  184.70000  159.47639  13.7%  40.0  190s
 60428 38188  175.89186   80   15  184.70000  159.59030  13.6%  39.8  195s
 63429 40473  181.18207   65   14  184.70000  159.74894  13.5%  39.5  200s
 66398 42690     cutoff   80       184.70000  159.85365  13.5%  39.2  205s
 69420 44909  180.51042   71   13  184.70000  159.94201  13.4%  39.0  210s
 72339 47029  181.55568   59   17  184.70000  160.03463  13.4%  38.9  215s
 75296 49242  177.86111   81   10  184.70000  160.12083  13.3%  38.7  220s
 78293 51465  168.34140   53   13  184.70000  160.21294  13.3%  38.5  225s
 81404 53817  175.68999   64   13  184.70000  160.30625  13.2%  38.3  230s
 84392 55987  166.14271   51   15  184.70000  160.39630  13.2%  38.1  235s
 87397 58193  179.64896   71   18  184.70000  160.47819  13.1%  38.0  240s
 90386 60318  164.55290   50   19  184.70000  160.56269  13.1%  37.8  245s
 93531 62596  170.88595   66   14  184.70000  160.64223  13.0%  37.7  250s
 96560 64800  178.98194   68   17  184.70000  160.71569  13.0%  37.5  255s
 99550 66962  174.31792   78   12  184.70000  160.78814  12.9%  37.4  260s
 102626 69190  174.38550   60   17  184.70000  160.85731  12.9%  37.3  265s
 105621 71381  171.90412   63   18  184.70000  160.93860  12.9%  37.2  270s
 108775 73635  168.65443   52   20  184.70000  161.00091  12.8%  37.1  275s
 111744 75763  180.59028   61   15  184.70000  161.06038  12.8%  37.0  280s
 114834 77914  177.62500   79   16  184.70000  161.12272  12.8%  36.9  285s
 117725 79973  170.78192   59   19  184.70000  161.18308  12.7%  36.8  290s
 120823 82198  169.78822   52   15  184.70000  161.24122  12.7%  36.7  295s
 123902 84321     cutoff   72       184.70000  161.31081  12.7%  36.7  300s
 126748 86393  177.20000   76    8  184.70000  161.35727  12.6%  36.6  305s
 129700 88499  176.76667   75   14  184.70000  161.41061  12.6%  36.6  310s
 132759 90690  175.27914   85   14  184.70000  161.46198  12.6%  36.5  315s
 135729 92839  178.81034   62   15  184.70000  161.52500  12.5%  36.5  320s
 138983 95131  177.94802   92   13  184.70000  161.58333  12.5%  36.4  325s
 142110 97381  172.95455   55   19  184.70000  161.63185  12.5%  36.3  330s
 145260 99646  177.27564   79   19  184.70000  161.68361  12.5%  36.2  335s
 148311 101752  175.21250   87   15  184.70000  161.73417  12.4%  36.1  340s
 151504 103999  172.71875   57   15  184.70000  161.78906  12.4%  36.1  345s
 154698 106203  170.78696   75   11  184.70000  161.84325  12.4%  35.9  350s
 157945 108452  172.44814   62   24  184.70000  161.89375  12.3%  35.9  355s
 160920 110512  174.99880   55   22  184.70000  161.93058  12.3%  35.8  360s
 164263 112884  174.45580   83   14  184.70000  161.98229  12.3%  35.7  365s
 167194 114884  166.74223   54   19  184.70000  162.02519  12.3%  35.6  370s
 170270 117006  176.22083   62   16  184.70000  162.07222  12.3%  35.6  375s
 173488 119248  180.58343   59   18  184.70000  162.10972  12.2%  35.5  380s
 176505 121320     cutoff   66       184.70000  162.15301  12.2%  35.5  385s
 179395 123288  168.18924   55   23  184.70000  162.18720  12.2%  35.5  390s
 182657 125554  170.20104   58   11  184.70000  162.22612  12.2%  35.4  395s
 185648 127638  174.27841   74   21  184.70000  162.26784  12.1%  35.4  400s
 188668 129761  181.38115   66   18  184.70000  162.30527  12.1%  35.4  405s
 191924 131989  174.77500   70   13  184.70000  162.34549  12.1%  35.3  410s
 194965 134031  178.96111   68   18  184.70000  162.38333  12.1%  35.3  415s
 198128 136282  166.51875   56   18  184.70000  162.42620  12.1%  35.3  420s
