Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Bet LB,GS,,FER1,,FER2,
,,t()/gap(\%),z,t()/gap(\%),z,t()/gap(\%),z,,t()/gap(\%),z,t()/gap(\%),z,t()/gap(\%),z
5.1,108.60_{123},0.48,108.60,0.04,108.60,0.05,108.60,185.00_{123},0.16,185.00,0.05,185.00,0.04,185.00
5.2,135.40_{123},0.08,135.40,0.04,135.40,0.04,135.40,123.80_{123},0.48,123.80,0.04,123.80,0.07,123.80
5.3,101.50_{123},0.05,101.50,0.01,101.50,0.01,101.50,144.50_{123},0.62,144.50,0.06,144.50,0.07,144.50
7.1,154.80_{123},1.15,154.80,0.43,154.80,0.48,154.80,238.60_{123},1.42,238.60,0.81,238.60,1.26,238.60
7.2,161.40_{123},0.97,161.40,0.55,161.40,0.68,161.40,157.00_{123},1.11,157.00,0.88,157.00,0.95,157.00
7.3,150.40_{123},0.10,150.40,0.11,150.40,0.13,150.40,216.60_{123},4.61,216.60,2.48,216.60,1.73,216.60
10.1,196.80_{123},9.05,196.80,2.00,196.80,2.03,196.80,359.16_{123},579.08,359.20,208.61,359.20,328.89,359.20
10.2,293.18_{123},125.89,293.20,14.69,293.20,17.46,293.20,184.80_{123},16.46,184.80,8.66,184.80,7.01,184.80
10.3,132.50_{123},1.30,132.50,1.00,132.50,5.03,132.50,304.67_{123},1672.48,304.70,915.16,304.70,706.18,304.70
15.1,271.17_{123},1614.54,271.20,615.79,271.20,273.18,271.20,393.28_{1},35.07 %,531.20,32.32 %,520.40,34.05 %,527.20
15.2,311.00_{23},0.00 %,311.00,1033.64,311.00,763.53,311.00,307.80_{23},0.00 %,307.80,2509.44,307.80,1802.96,307.80
15.3,223.68_{123},365.11,223.70,52.91,223.70,130.92,223.70,343.60_{2},27.88 %,439.40,27.88 %,439.40,27.88 %,439.40
20.1,315.40_{3},11.48 %,351.60,11.16 %,350.60,11.16 %,350.60,443.81_{1},47.31 %,653.80,45.20 %,644.40,44.61 %,641.80
20.2,284.80_{2},16.01 %,330.40,16.01 %,330.40,16.01 %,330.40,272.60_{2},32.65 %,361.60,32.65 %,361.60,32.65 %,361.60
20.3,207.20_{3},3.86 %,215.20,3.86 %,215.20,3.86 %,215.20,390.80_{2},47.67 %,577.10,47.67 %,577.10,47.67 %,577.10
25.1,403.81_{1},31.60 %,531.40,30.01 %,525.00,30.01 %,525.00,278.00_{2},36.47 %,379.40,36.40 %,379.20,36.40 %,379.20
25.2,342.50_{3},28.67 %,440.70,28.47 %,440.00,28.47 %,440.00,409.30_{3},46.52 %,599.70,48.33 %,607.10,46.37 %,599.10
25.3,222.60_{2},2.96 %,229.20,2.96 %,229.20,2.96 %,229.20,540.00_{2},67.37 %,903.80,67.41 %,904.00,67.96 %,907.00
30.1,459.45_{1},41.30 %,649.20,38.08 %,634.40,38.78 %,637.60,306.40_{3},85.57 %,568.60,42.75 %,437.40,43.21 %,438.80
30.2,386.84_{1},34.14 %,518.90,32.97 %,514.40,34.01 %,518.40,458.10_{2},55.36 %,711.70,56.10 %,715.10,58.02 %,723.90
30.3,225.80_{2},13.20 %,255.60,13.20 %,255.60,13.20 %,255.60,606.40_{2},83.58 %,1113.20,77.31 %,1075.20,80.47 %,1094.40
35.1,496.32_{1},44.54 %,717.40,44.10 %,715.20,42.65 %,708.00,307.00_{2},100.26 %,614.80,56.68 %,481.00,58.05 %,485.20
35.2,445.31_{1},37.97 %,614.40,37.14 %,610.70,37.70 %,613.20,451.10_{3},71.43 %,773.30,72.25 %,777.00,71.05 %,771.60
35.3,238.20_{2},21.49 %,289.40,21.41 %,289.20,21.41 %,289.20,699.40_{2},82.59 %,1277.00,82.04 %,1273.20,86.82 %,1306.60
40.1,598.08_{1},44.33 %,863.20,38.98 %,831.20,40.35 %,839.40,333.30_{2},128.47 %,761.50,130.48 %,768.20,128.41 %,761.30
40.2,524.52_{1},38.26 %,725.20,37.34 %,720.40,37.50 %,721.20,432.80_{2},169.27 %,1165.40,177.45 %,1200.80,170.29 %,1169.80
40.3,145.20_{3},11.16 %,161.40,11.16 %,161.40,11.16 %,161.40,773.19_{1},135.62 %,1821.80,137.51 %,1836.40,137.54 %,1836.60
45.1,615.23_{1},43.51 %,882.90,43.25 %,881.30,43.30 %,881.60,360.40_{2},147.95 %,893.60,122.61 %,802.30,122.53 %,802.00
45.2,547.18_{1},36.34 %,746.00,35.68 %,742.40,35.79 %,743.00,739.40_{2},80.17 %,1332.20,82.09 %,1346.40,81.99 %,1345.60
45.3,154.60_{3},15.39 %,178.40,15.39 %,178.40,15.39 %,178.40,1078.00_{2},90.95 %,2058.40,91.41 %,2063.40,92.37 %,2073.80
50.1,774.90_{1},47.48 %,1142.80,45.77 %,1129.60,46.21 %,1133.00,478.32_{1},162.71 %,1256.60,137.75 %,1137.20,130.26 %,1101.40
50.2,220.62_{1},33.53 %,294.60,33.89 %,295.40,35.71 %,299.40,1036.80_{2},90.47 %,1974.80,87.44 %,1943.40,88.27 %,1952.00
50.3,166.60_{2},22.45 %,204.00,22.09 %,203.40,22.27 %,203.70,1203.70_{2},92.94 %,2322.40,93.15 %,2324.90,93.52 %,2329.40
100.1,1285.96_{1},59.03 %,2045.00,59.15 %,2046.60,64.25 %,2112.20,1292.56_{1},134.36 %,3029.20,118.98 %,2830.40,126.50 %,2927.60
100.2,246.21_{1},139.39 %,589.40,126.15 %,556.80,153.53 %,624.20,1680.70_{2},166.94 %,4486.50,128.33 %,3837.50,132.01 %,3899.40
100.3,169.48_{1},87.57 %,317.90,82.55 %,309.40,82.26 %,308.90,1899.40_{2},163.80 %,5010.60,145.93 %,4671.20,146.72 %,4686.20
200.1,430.07_{1},698.53 %,3434.20,396.11 %,2133.60,606.96 %,3040.40,2726.48_{1},124.80 %,6129.20,105.98 %,5616.00,106.36 %,5626.40
200.2,454.80_{2},675.70 %,3527.90,204.95 %,1386.90,253.36 %,1607.10,764.00_{2},--,--,652.70 %,5750.60,646.62 %,5704.20
200.3,394.20_{1},804.26 %,3564.60,119.99 %,867.20,2484.47 %,10188.00,1866.20_{2},354.52 %,8482.20,412.67 %,9567.40,377.19 %,8905.40
300.1,1001.77_{1},1237.79 %,13401.60,337.03 %,4378.00,1687.53 %,17907.00,1401.60_{3},--,--,--,--,1127.17 %,17200.00
300.2,987.47_{1},323.10 %,4178.00,294.72 %,3897.80,1583.29 %,16622.00,697.70_{12},1980.17 %,14513.40,--,--,1957.58 %,14355.80
300.3,205.60_{2},288.13 %,798.00,248.30 %,716.10,8169.46 %,17002.00,1961.80_{3},--,--,--,--,565.88 %,13063.20
400.1,--,--,--,--,--,--,20091.00,24.87_{12},31046.01 %,7745.60,--,--,86599.44 %,21561.00
400.2,16.98_{12},21121.59 %,3604.00,--,--,116088.78 %,19732.00,--,--,--,--,--,--,19764.00
400.3,14.56_{1},13751.86 %,2016.40,13547.14 %,1986.60,137882.75 %,20086.00,--,--,--,--,--,--,20227.00
500.1,--,--,--,--,--,--,24685.60,--,--,--,--,--,--,24263.80
500.2,--,--,--,--,--,--,25011.40,--,--,--,--,--,--,24838.50
500.3,--,--,--,--,--,--,23584.80,--,--,--,--,--,--,24523.80
600.1,--,--,30134.00,--,--,--,30276.00,--,--,--,--,--,--,30654.00
600.2,--,--,--,--,--,--,31805.00,--,--,29133.40,--,--,--,30175.00
600.3,--,--,--,--,--,--,30253.00,--,--,--,--,--,--,29997.00
700.1,--,--,--,--,--,--,35860.00,--,--,--,--,--,--,36172.00
700.2,--,--,--,--,--,--,35139.00,--,--,34291.60,--,--,--,35499.00
700.3,--,--,--,--,--,--,34544.00,--,--,34566.00,--,--,--,35372.00
