Instance,correlated,,,,,
,GS,,FER1,,FER2,
,nod,t(s)/gap(\%),nod,t(s)/gap(\%),nod,t(s)/gap(\%)
5.1,7.8E+02,0.16,9.1E+01,0.07,1.5E+02,0.02
5.2,6.9E+02,0.12,4.1E+01,0.01,5.6E+01,0.01
5.3,8.4E+01,0.07,9.8E+02,0.13,8.4E+01,0.04
7.1,1.5E+04,2.51,3.0E+04,6.33,2.0E+04,5.36
7.2,2.6E+03,0.66,1.4E+03,0.17,2.0E+03,0.16
7.3,4.8E+03,0.88,7.0E+02,0.13,2.8E+03,0.91
10.1,4.4E+05,157.12,5.2E+05,179.86,2.0E+05,85.39
10.2,5.7E+05,369.61,3.3E+05,108.19,1.3E+05,56.63
10.3,3.0E+04,10.29,3.2E+04,11.88,1.6E+04,7.44
15.3,,,,,,
,1.2E+05,,1.0E+05,,4.1E+04,
