Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
5.1,7.8E+02,0.16s ,139.00,9.1E+01,0.07s ,139.00,1.5E+02,0.02s ,139.00,1.3E+03,0.2s ,159.00,1.7E+02,0.02s ,159.00,2.1E+02,0.02s ,159.00
5.2,6.9E+02,0.12s ,111.00,4.1E+01,0.01s ,111.00,5.6E+01,0.01s ,111.00,2.5E+02,0.08s ,145.67,2.9E+03,0.45s ,145.67,1.1E+03,0.17s ,145.67
5.3,8.4E+01,0.07s ,105.33,9.8E+02,0.13s ,105.33,8.4E+01,0.04s ,105.33,4.0E+02,0.07s ,113.00,4.8E+01,0.02s ,113.00,5.9E+01,0.01s ,113.00
7.1,1.5E+04,2.51s ,215.33,3.0E+04,6.33s ,215.33,2.0E+04,5.36s ,215.33,1.0E+04,2.91s ,207.00,2.5E+03,0.21s ,207.00,2.2E+03,0.3s ,207.00
7.2,2.6E+03,0.66s ,175.00,1.4E+03,0.17s ,175.00,2.0E+03,0.16s ,175.00,4.5E+03,0.72s ,166.00,1.5E+03,0.89s ,166.00,1.3E+04,3.15s ,166.00
7.3,4.8E+03,0.88s ,143.00,7.0E+02,0.13s ,143.00,2.8E+03,0.91s ,143.00,4.8E+03,1.35s ,162.00,1.4E+03,0.13s ,162.00,6.0E+02,0.07s ,162.00
10.1,4.4E+05,157.12s ,247.67,5.2E+05,179.86s ,247.67,2.0E+05,85.39s ,247.67,4.7E+05,332.27s ,283.00,1.4E+05,57.64s ,283.00,7.3E+04,39.6s ,283.00
10.2,5.7E+05,369.61s ,298.00,3.3E+05,108.19s ,298.00,1.3E+05,56.63s ,298.00,2.4E+05,86.01s ,276.33,6.0E+05,225.45s ,276.33,6.1E+04,42.98s ,276.33
