Rodando pra 1h

Optimize a model with 90039 rows, 134580 columns and 1567099 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 8.46s
Presolved: 90036 rows, 134577 columns, 1567093 nonzeros
Variable types: 89700 continuous, 44877 integer (44875 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.045840e+02   0.000000e+00     11s
    3567    1.1892832e-04   5.388395e+03   0.000000e+00     15s
    8539    4.6874504e-04   8.135787e+04   0.000000e+00     20s
   12132    3.8010087e-03   3.954417e+05   0.000000e+00     25s
   18467    3.9096929e-03   4.663630e+05   0.000000e+00     30s
   20783    1.8041030e+01   7.662242e+03   0.000000e+00     35s
   22033    1.8041124e+01   7.209096e+03   0.000000e+00     40s
   23411    1.8041371e+01   7.933151e+03   0.000000e+00     48s
   24113    1.8041511e+01   7.845152e+03   0.000000e+00     51s
   25770    1.8041712e+01   7.210978e+03   0.000000e+00     58s
   26899    1.8041718e+01   1.103606e+04   0.000000e+00     63s
   27834    1.8042051e+01   1.111614e+04   0.000000e+00     67s
   28840    1.8214731e+01   8.150428e+03   0.000000e+00     71s
   29943    1.8246808e+01   4.160321e+03   0.000000e+00     76s
   31072    1.8302792e+01   3.036018e+03   0.000000e+00     82s
   32229    1.8370223e+01   5.344819e+03   0.000000e+00     88s
   33717    1.8418350e+01   9.398377e+03   0.000000e+00     97s
   35379    1.8477358e+01   2.410593e+03   0.000000e+00    108s
   37041    1.8513683e+01   2.642246e+03   0.000000e+00    119s
   38703    1.8525469e+01   2.583358e+03   0.000000e+00    128s
   40365    1.8530110e+01   2.183900e+03   0.000000e+00    134s
   42027    1.8530521e+01   2.529828e+03   0.000000e+00    147s
   43689    1.8530956e+01   2.381246e+03   0.000000e+00    161s
