Rodando pra 1h

Optimize a model with 160039 rows, 239430 columns and 2788224 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns (presolve time = 10s) ...
Presolve removed 3 rows and 3 columns (presolve time = 16s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 15.82s
Presolved: 160036 rows, 239427 columns, 2788218 nonzeros
Variable types: 159600 continuous, 79827 integer (79825 binary)
Optimize a model with 160036 rows, 239427 columns and 2788218 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 160036 rows, 239427 columns, 2788218 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.204779e+03   0.000000e+00     23s
    2056    7.4375065e-05   8.645877e+03   0.000000e+00     26s
    5408    1.7396580e-04   4.110939e+04   0.000000e+00     30s
   10366    2.8746399e-04   1.010367e+04   0.000000e+00     35s
   12258    3.5451139e-04   7.630615e+03   0.000000e+00     43s
   15025    3.9069550e-04   8.241509e+03   0.000000e+00     45s
   17459    4.7019759e-04   1.432325e+04   0.000000e+00     50s
   21092    5.6251007e-04   1.621407e+04   0.000000e+00     56s
   25037    6.5310885e-04   6.239357e+03   0.000000e+00     61s
   28057    7.2295084e-04   1.175863e+05   0.000000e+00     65s
   31355    7.8788479e-04   3.229746e+04   0.000000e+00     70s
   35523    8.8146876e-04   1.912952e+04   0.000000e+00     76s
   41195    9.4903291e-04   1.898127e+05   0.000000e+00     80s
   52638    1.0241882e-03   1.324282e+04   0.000000e+00     85s
   55474    1.0609404e-03   1.308919e+04   0.000000e+00     91s
   58917    1.1629196e-03   7.503540e+03   0.000000e+00     99s
   63938    1.1848103e-03   1.345081e+04   0.000000e+00    100s
   68686    1.2308785e-03   1.356896e+04   0.000000e+00    105s
   70806    1.2808289e-03   9.112935e+03   0.000000e+00    113s
   72047    1.2921072e-03   1.493817e+04   0.000000e+00    115s
   75072    1.3366970e-03   1.635985e+04   0.000000e+00    121s
   78165    1.5699872e-03   8.787077e+04   0.000000e+00    132s
   79380    1.6169914e-03   6.685336e+04   0.000000e+00    141s
   82552    1.0599132e-02   2.980443e+05   0.000000e+00    157s
   84585    7.5373599e+00   1.804419e+04   0.000000e+00    161s
   86494    7.5377636e+00   1.645935e+04   0.000000e+00    167s
   88234    7.5825410e+00   7.740461e+03   0.000000e+00    186s
   89833    7.5827189e+00   1.194794e+04   0.000000e+00    203s
   91337    7.5830318e+00   1.109009e+04   0.000000e+00    221s
   92894    7.5834615e+00   1.402164e+04   0.000000e+00    239s
   94463    7.5839921e+00   1.092512e+04   0.000000e+00    258s
   95949    7.5844032e+00   7.840473e+03   0.000000e+00    276s
   97798    7.5847834e+00   9.911815e+03   0.000000e+00    296s
   99336    7.5853951e+00   1.066108e+04   0.000000e+00    311s
