Rodando pra 1h

Optimize a model with 360039 rows, 539130 columns and 6279164 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns (presolve time = 11s) ...
Presolve removed 3 rows and 3 columns (presolve time = 16s) ...
Presolve removed 3 rows and 3 columns (presolve time = 20s) ...
Presolve removed 3 rows and 3 columns (presolve time = 25s) ...
Presolve removed 3 rows and 3 columns (presolve time = 30s) ...
Presolve removed 3 rows and 3 columns (presolve time = 35s) ...
Presolve removed 3 rows and 3 columns (presolve time = 43s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 43.28s
Presolved: 360036 rows, 539127 columns, 6279158 nonzeros
Variable types: 359400 continuous, 179727 integer (179725 binary)
Optimize a model with 360036 rows, 539127 columns and 6279158 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 360036 rows, 539127 columns, 6279158 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.804585e+03   0.000000e+00     62s
    2330    1.2566942e-04   6.156329e+02   0.000000e+00     73s
    4372    1.6829724e-04   1.149634e+03   0.000000e+00     76s
    8956    1.9509140e-04   2.052868e+03   0.000000e+00     82s
   10017    2.1828167e-04   2.948812e+04   0.000000e+00     89s
   12179    2.6861141e-04   9.983575e+03   0.000000e+00    101s
   14508    2.9449551e-04   1.776414e+04   0.000000e+00    106s
   15594    3.1872720e-04   1.675989e+04   0.000000e+00    111s
   17899    3.8931584e-04   1.094409e+05   0.000000e+00    124s
   18696    4.5282486e-04   3.081785e+04   0.000000e+00    130s
   20100    5.0339066e-04   2.296198e+04   0.000000e+00    136s
   22055    5.4320670e-04   4.970627e+04   0.000000e+00    150s
   26451    5.7345535e-04   3.431696e+04   0.000000e+00    155s
   28997    7.3578749e-04   1.029981e+04   0.000000e+00    176s
   37333    8.2196713e-04   1.479653e+04   0.000000e+00    208s
   43198    8.4768825e-04   2.492707e+04   0.000000e+00    210s
   44119    8.9580465e-04   1.754264e+04   0.000000e+00    239s
   45347    1.0378243e-03   2.141794e+05   0.000000e+00    246s
   46328    1.3334468e-03   2.278053e+05   0.000000e+00    254s
   49451    1.3474924e-03   2.831095e+05   0.000000e+00    255s
   50743    1.7395648e-03   1.368374e+06   0.000000e+00    261s
   51574    4.6439261e-03   2.914905e+05   0.000000e+00    276s
   52848    5.0667288e-03   3.067356e+05   0.000000e+00    288s
   54015    1.0740049e-02   9.314511e+05   0.000000e+00    299s
   55407    1.0905567e-02   9.287356e+05   0.000000e+00    303s
   56688    1.0927345e-02   9.265633e+05   0.000000e+00    305s
   58020    9.3399754e-02   3.515260e+06   0.000000e+00    333s
   60014    6.6282310e+00   5.555772e+03   0.000000e+00    337s
   61928    6.6282978e+00   5.971559e+03   0.000000e+00    344s
   63741    6.6283681e+00   6.614079e+03   0.000000e+00    355s
   65514    6.6284958e+00   5.813821e+03   0.000000e+00    378s
   67295    6.6285879e+00   4.873609e+03   0.000000e+00    396s
   71731    6.6286467e+00   4.845716e+03   0.000000e+00    405s
   73872    6.6287027e+00   4.309178e+03   0.000000e+00    418s
   75807    6.6288341e+00   4.459333e+03   0.000000e+00    445s
   77910    6.6289469e+00   4.931835e+03   0.000000e+00    470s
   80193    6.6290204e+00   5.950408e+03   0.000000e+00    485s
   82507    6.6290608e+00   5.251823e+03   0.000000e+00    491s
   84736    6.6291205e+00   4.263347e+03   0.000000e+00    508s
   87178    6.6291537e+00   4.353381e+03   0.000000e+00    521s
   89678    6.6292111e+00   4.449692e+03   0.000000e+00    539s
   92214    6.6293007e+00   4.491331e+03   0.000000e+00    553s
   94749    6.6293627e+00   4.683552e+03   0.000000e+00    568s
   97234    6.6295130e+00   6.248708e+03   0.000000e+00    610s
   99932    6.6295406e+00   7.435023e+03   0.000000e+00    634s
  102769    6.6295479e+00   5.025846e+03   0.000000e+00    641s
  105756    6.6295711e+00   6.694638e+03   0.000000e+00    658s
  108788    6.6295966e+00   5.177827e+03   0.000000e+00    667s
  112037    6.6296208e+00   5.414101e+03   0.000000e+00    678s
  115481    6.6296243e+00   5.427969e+03   0.000000e+00    684s
  119096    6.6296266e+00   5.606052e+03   0.000000e+00    686s
  122792    6.6296828e+00   5.037993e+03   0.000000e+00    707s
  126709    6.6296879e+00   5.214091e+03   0.000000e+00    711s
  130211    6.6298238e+00   5.584299e+03   0.000000e+00    729s
  134059    6.7131479e+00   1.885640e+04   0.000000e+00    745s
  138149    6.7397859e+00   1.089220e+04   0.000000e+00    749s
  142114    6.7398919e+00   1.065909e+04   0.000000e+00    765s
  146204    6.7400055e+00   1.053814e+04   0.000000e+00    786s
  150294    6.7400640e+00   1.040692e+04   0.000000e+00    792s
  154384    6.7408046e+00   7.967350e+03   0.000000e+00    936s
  158474    6.7415536e+00   7.328452e+03   0.000000e+00   1053s
  162513    6.7426871e+00   1.106066e+04   0.000000e+00   1169s
  166535    6.7437603e+00   8.983611e+03   0.000000e+00   1289s
  170500    6.7446092e+00   1.016486e+04   0.000000e+00   1411s
  174261    6.7453583e+00   6.244397e+03   0.000000e+00   1520s
  177756    6.7461808e+00   6.749213e+03   0.000000e+00   1622s
  181128    6.7468245e+00   8.418045e+03   0.000000e+00   1714s
  184568    6.7475033e+00   1.256371e+04   0.000000e+00   1818s
  187684    6.7481721e+00   7.846632e+03   0.000000e+00   1909s
  190888    6.7486842e+00   9.390303e+03   0.000000e+00   2013s
  193943    6.7490686e+00   1.239809e+04   0.000000e+00   2096s
  197474    6.7490964e+00   8.426496e+03   0.000000e+00   2113s
  201430    6.7491448e+00   9.657085e+03   0.000000e+00   2142s
  204835    6.7492609e+00   7.488152e+03   0.000000e+00   2167s
  208925    6.7493479e+00   6.889947e+03   0.000000e+00   2173s
  212580    6.7496449e+00   4.225343e+03   0.000000e+00   2256s
  216670    6.7497736e+00   4.273557e+03   0.000000e+00   2290s
  220760    6.7498356e+00   4.189515e+03   0.000000e+00   2316s
  224850    6.7499919e+00   3.439112e+03   0.000000e+00   2346s
  228940    6.7500025e+00   3.310891e+03   0.000000e+00   2353s
  233030    6.7501163e+00   3.235140e+03   0.000000e+00   2381s
  237120    6.7502293e+00   3.565188e+03   0.000000e+00   2451s
  241210    6.7503650e+00   3.103203e+03   0.000000e+00   2494s
  245300    7.1869630e+00   2.283209e+04   0.000000e+00   2540s
  249390    7.2042020e+00   9.673402e+03   0.000000e+00   2628s
  253480    7.2042173e+00   9.029119e+03   0.000000e+00   2647s
  257570    7.2046254e+00   7.411340e+03   0.000000e+00   2778s
  261660    7.2049176e+00   7.181167e+03   0.000000e+00   2865s
  265750    7.2053054e+00   8.623011e+03   0.000000e+00   3000s
  269840    7.2057944e+00   6.552720e+03   0.000000e+00   3089s
  273930    7.2062670e+00   1.001443e+04   0.000000e+00   3225s
  278020    7.2070218e+00   1.080128e+04   0.000000e+00   3370s
  282110    7.2073878e+00   8.210892e+03   0.000000e+00   3445s
  286200    7.2080246e+00   8.954476e+03   0.000000e+00   3579s

Root relaxation: time limit, 286985 iterations, 3542.35 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0               -          -      -     - 3600s

Explored 0 nodes (286985 simplex iterations) in 3600.01 seconds
Thread count was 1 (of 4 available processors)

Time limit reached
Best objective -, best bound -, gap -
Tempo: 3595.97 segundos

Error code = 10004
Var::get
