Rodando pra 1h

Optimize a model with 90039 rows, 134580 columns and 1566944 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 7.98s
Presolved: 90036 rows, 134577 columns, 1566938 nonzeros
Variable types: 89700 continuous, 44877 integer (44875 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.045840e+02   0.000000e+00     11s
    5181    1.2637076e-04   6.425702e+03   0.000000e+00     16s
   11247    2.6222050e-04   9.398636e+03   0.000000e+00     20s
   15061    3.6809035e-04   1.116979e+04   0.000000e+00     25s
   18536    4.9641846e-04   5.981554e+03   0.000000e+00     30s
   25634    6.0321986e-04   7.730798e+03   0.000000e+00     36s
   28503    6.6459239e-04   1.369161e+04   0.000000e+00     40s
   31685    7.4816353e-04   1.068653e+04   0.000000e+00     46s
   34864    8.3320072e-04   2.269606e+04   0.000000e+00     52s
   37978    8.9453176e-04   1.024387e+04   0.000000e+00     55s
   41820    9.5982321e-04   1.602668e+04   0.000000e+00     61s
   44922    1.0654014e-03   1.455108e+04   0.000000e+00     66s
   47629    1.1310618e-03   1.026074e+05   0.000000e+00     71s
   50193    1.1906840e-03   7.504216e+03   0.000000e+00     76s
   53668    1.2683157e-03   8.048619e+04   0.000000e+00     80s
   57716    1.3452353e-03   2.157292e+04   0.000000e+00     86s
   59858    1.4102571e-03   1.895925e+04   0.000000e+00     91s
   62107    1.5066804e-03   3.124993e+04   0.000000e+00     97s
   66640    1.5817154e-03   2.752665e+04   0.000000e+00    101s
   70910    2.7883508e-03   1.110542e+05   0.000000e+00    105s
   72148    2.9123313e-03   1.307885e+05   0.000000e+00    116s
   73200    2.9966440e-03   1.310151e+05   0.000000e+00    125s
   73989    3.0874112e-03   1.365971e+05   0.000000e+00    132s
   75579    3.1272194e-03   1.392012e+05   0.000000e+00    136s
   77014    3.1849045e-03   1.448725e+05   0.000000e+00    142s
   77638    3.2136621e-03   1.620545e+05   0.000000e+00    146s
   79931    3.2527522e-03   1.668647e+05   0.000000e+00    151s
   81599    3.2865421e-03   1.649428e+05   0.000000e+00    155s
