Rodando pra 1h

Optimize a model with 160039 rows, 239430 columns and 2788314 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns (presolve time = 10s) ...
Presolve removed 3 rows and 3 columns (presolve time = 16s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 15.75s
Presolved: 160036 rows, 239427 columns, 2788308 nonzeros
Variable types: 159600 continuous, 79827 integer (79825 binary)
Optimize a model with 160036 rows, 239427 columns and 2788308 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 160036 rows, 239427 columns, 2788308 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.204779e+03   0.000000e+00     22s
    1479    6.5578968e-05   5.530578e+02   0.000000e+00     25s
    6737    2.2924081e-04   2.122144e+03   0.000000e+00     32s
   10920    2.8379950e-04   6.692054e+03   0.000000e+00     35s
   15262    4.3528333e-04   6.025750e+04   0.000000e+00     45s
   20404    5.3254861e-04   1.344682e+04   0.000000e+00     52s
   21844    5.7374601e-04   1.624377e+04   0.000000e+00     56s
   25523    6.6245489e-04   1.137580e+04   0.000000e+00     63s
   26905    6.8640908e-04   3.758719e+04   0.000000e+00     67s
   30945    7.5392159e-04   1.564147e+04   0.000000e+00     76s
   33844    7.8544053e-04   5.486919e+04   0.000000e+00     81s
   35077    8.1358127e-04   1.515999e+04   0.000000e+00     85s
   37557    8.4616262e-04   3.698468e+04   0.000000e+00     91s
   38687    8.8286722e-04   1.053910e+04   0.000000e+00     95s
   43519    9.3353057e-04   3.304278e+04   0.000000e+00    102s
   46258    9.6002903e-04   1.275367e+04   0.000000e+00    105s
   49219    1.0105177e-03   5.896015e+04   0.000000e+00    112s
   51523    1.0428330e-03   2.821124e+04   0.000000e+00    117s
   53401    1.0685149e-03   1.631565e+05   0.000000e+00    120s
   55248    1.1038227e-03   4.640404e+04   0.000000e+00    126s
   57693    1.1431863e-03   2.617353e+04   0.000000e+00    132s
   59418    1.1753888e-03   6.365359e+04   0.000000e+00    137s
   62271    1.1987820e-03   2.007651e+04   0.000000e+00    142s
   65305    1.2233615e-03   2.236896e+04   0.000000e+00    146s
   66997    1.2740563e-03   2.147310e+04   0.000000e+00    152s
   68024    1.3403518e-03   3.742624e+04   0.000000e+00    156s
   71754    1.5641622e-03   2.996886e+04   0.000000e+00    162s
   76918    2.2831042e-03   7.203965e+04   0.000000e+00    169s
   78797    6.6631124e+00   2.436448e+04   0.000000e+00    174s
   80602    7.1460022e+00   1.883534e+04   0.000000e+00    179s
   82280    7.4561397e+00   5.769476e+03   0.000000e+00    182s
   83878    7.4561576e+00   8.245497e+03   0.000000e+00    186s
   85091    7.4562657e+00   1.081039e+04   0.000000e+00    201s
   86254    7.4564357e+00   1.030136e+04   0.000000e+00    215s
   87546    7.4568115e+00   1.105049e+04   0.000000e+00    230s
   88839    7.4571153e+00   1.142518e+04   0.000000e+00    246s
   90187    7.4574862e+00   8.880405e+03   0.000000e+00    263s
   91538    7.4578295e+00   8.229831e+03   0.000000e+00    281s
   92788    7.4581832e+00   9.360479e+03   0.000000e+00    297s
   93933    7.4583904e+00   9.918335e+03   0.000000e+00    312s
   95197    7.4586468e+00   8.092993e+03   0.000000e+00    329s
   96511    7.4588971e+00   1.073519e+04   0.000000e+00    347s
   97745    7.4591230e+00   8.846647e+03   0.000000e+00    364s
   99007    7.4594014e+00   1.003275e+04   0.000000e+00    382s
  100856    7.4594702e+00   7.236552e+03   0.000000e+00    409s
  102579    7.4597557e+00   1.268656e+04   0.000000e+00    432s
  103653    7.4601947e+00   1.392139e+04   0.000000e+00    444s
  104949    7.4603758e+00   1.173828e+04   0.000000e+00    459s
  106828    7.4604027e+00   1.249813e+04   0.000000e+00    482s
  108686    7.4604944e+00   1.339112e+04   0.000000e+00    506s
  110273    8.3270994e+00   1.158794e+04   0.000000e+00    524s
  111911    8.7110012e+00   1.225665e+04   0.000000e+00    544s
  113643    8.9452277e+00   1.019988e+04   0.000000e+00    562s
  115890    8.9624098e+00   7.624729e+03   0.000000e+00    592s
  117992    8.9631792e+00   1.092794e+04   0.000000e+00    611s
  120048    8.9656839e+00   7.413902e+03   0.000000e+00    642s
  122302    8.9662153e+00   7.844324e+03   0.000000e+00    678s
  124717    8.9670866e+00   1.023739e+04   0.000000e+00    724s
  127132    9.1375622e+00   9.640268e+03   0.000000e+00    760s
