Rodando pra 1h

Optimize a model with 250039 rows, 374280 columns and 4358634 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns (presolve time = 10s) ...
Presolve removed 3 rows and 3 columns (presolve time = 15s) ...
Presolve removed 3 rows and 3 columns (presolve time = 22s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 21.54s
Presolved: 250036 rows, 374277 columns, 4358628 nonzeros
Variable types: 249500 continuous, 124777 integer (124775 binary)
Optimize a model with 250036 rows, 374277 columns and 4358628 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 250036 rows, 374277 columns, 4358628 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.504975e+03   0.000000e+00     31s
    1711    9.8267779e-05   8.798138e+02   0.000000e+00     36s
    4349    1.3396406e-04   1.360878e+04   0.000000e+00     41s
    6945    1.8768235e-04   1.163673e+04   0.000000e+00     46s
    9772    3.0372180e-04   3.879513e+03   0.000000e+00     54s
   13048    3.5067181e-04   6.174280e+04   0.000000e+00     58s
   14587    4.3010412e-04   1.416919e+04   0.000000e+00     64s
   17437    4.5156608e-04   2.082703e+04   0.000000e+00     66s
   18250    5.0292716e-04   3.775137e+04   0.000000e+00     71s
   19842    5.2746390e-04   1.144257e+04   0.000000e+00     76s
   21518    5.5339189e-04   1.245224e+04   0.000000e+00     81s
   22168    5.9383568e-04   5.860483e+04   0.000000e+00     85s
   24506    6.5351385e-04   2.675732e+04   0.000000e+00     91s
   25788    7.1496442e-04   4.160796e+04   0.000000e+00     99s
   28101    7.2955982e-04   2.689027e+04   0.000000e+00    101s
   29369    7.9056789e-04   1.907184e+04   0.000000e+00    110s
   33214    8.3098646e-04   5.571624e+03   0.000000e+00    118s
   34909    8.6419207e-04   9.024918e+03   0.000000e+00    123s
   36672    8.8452195e-04   4.939925e+04   0.000000e+00    128s
   38247    9.0901078e-04   3.280214e+04   0.000000e+00    131s
   40340    9.3903025e-04   1.781938e+04   0.000000e+00    135s
   42715    1.0023944e-03   4.443343e+04   0.000000e+00    146s
   45098    1.0400866e-03   6.345039e+04   0.000000e+00    153s
   46349    1.0504674e-03   5.129431e+04   0.000000e+00    155s
   47748    1.0809245e-03   8.877469e+04   0.000000e+00    161s
   48433    1.0998277e-03   2.299263e+04   0.000000e+00    165s
   50483    1.1409432e-03   1.350959e+05   0.000000e+00    173s
   52665    1.1672866e-03   1.641287e+04   0.000000e+00    178s
   54039    1.1823785e-03   1.023829e+05   0.000000e+00    182s
   55954    1.2014443e-03   1.369266e+05   0.000000e+00    186s
   58878    1.2380851e-03   3.907299e+04   0.000000e+00    193s
   59665    1.2809865e-03   3.082269e+04   0.000000e+00    199s
   61473    1.3016742e-03   3.452769e+04   0.000000e+00    202s
   64743    1.3347810e-03   3.038848e+04   0.000000e+00    208s
   66384    1.3686560e-03   5.813876e+04   0.000000e+00    213s
   67128    1.3846337e-03   4.504059e+04   0.000000e+00    216s
   68735    1.4514441e-03   7.750762e+03   0.000000e+00    225s
   69838    1.4541493e-03   7.508148e+03   0.000000e+00    225s
   73028    1.4851672e-03   4.777061e+04   0.000000e+00    230s
   75475    1.5097282e-03   5.665098e+04   0.000000e+00    236s
   77851    1.5777855e-03   6.814620e+04   0.000000e+00    245s
   82467    1.6141838e-03   1.386152e+04   0.000000e+00    251s
   84182    1.6578682e-03   1.154077e+04   0.000000e+00    258s
   86117    1.6736354e-03   1.740944e+04   0.000000e+00    260s
   87795    1.7320984e-03   1.592172e+04   0.000000e+00    269s
   91168    1.7422145e-03   5.686320e+04   0.000000e+00    270s
   94703    1.8049077e-03   9.791422e+04   0.000000e+00    279s
   98478    1.8174112e-03   1.272085e+05   0.000000e+00    281s
  100797    1.8565944e-03   4.196532e+04   0.000000e+00    286s
  105008    1.9118156e-03   3.033041e+04   0.000000e+00    294s
  106330    2.1266297e-03   3.254501e+05   0.000000e+00    301s
  110214    3.4117133e-03   4.444514e+04   0.000000e+00    321s
  114672    3.7432406e+00   1.989648e+04   0.000000e+00    329s
  116974    3.7432526e+00   1.955522e+04   0.000000e+00    332s
  121694    3.7433081e+00   1.956233e+04   0.000000e+00    340s
  124128    3.7433214e+00   1.918014e+04   0.000000e+00    342s
  129210    3.7433894e+00   1.916421e+04   0.000000e+00    356s
  134694    3.7434326e+00   1.882593e+04   0.000000e+00    364s
  137364    3.7434907e+00   1.935845e+04   0.000000e+00    374s
  140074    3.7435142e+00   1.939765e+04   0.000000e+00    379s
  142874    3.7435307e+00   1.904553e+04   0.000000e+00    384s
  145749    3.7435404e+00   1.887932e+04   0.000000e+00    386s
  148588    3.7435862e+00   1.946585e+04   0.000000e+00    399s
  151588    3.7436098e+00   1.948081e+04   0.000000e+00    404s
  154688    3.7436361e+00   1.996228e+04   0.000000e+00    415s
  161142    3.7436640e+00   1.913864e+04   0.000000e+00    425s
  164369    3.7437286e+00   1.955593e+04   0.000000e+00    444s
  167596    3.7437843e+00   1.706924e+04   0.000000e+00    509s
  170820    3.7439507e+00   2.001869e+04   0.000000e+00    577s
  173380    3.7442312e+00   2.119236e+04   0.000000e+00    631s
  176150    3.7444339e+00   2.120556e+04   0.000000e+00    667s
  179043    3.7445566e+00   1.920783e+04   0.000000e+00    696s
  182020    3.7445913e+00   1.952924e+04   0.000000e+00    705s
  185167    3.7446116e+00   1.959014e+04   0.000000e+00    718s
  188350    3.7446310e+00   1.982745e+04   0.000000e+00    724s
  191577    3.7446702e+00   2.109768e+04   0.000000e+00    739s
  194804    3.7446762e+00   2.069723e+04   0.000000e+00    742s
  198031    3.7447029e+00   1.935409e+04   0.000000e+00    749s
  201258    3.7447216e+00   1.950614e+04   0.000000e+00    754s
  204485    3.7447491e+00   1.998975e+04   0.000000e+00    762s
  207712    4.2877302e+00   4.867008e+03   0.000000e+00    796s
  210939    4.2877412e+00   5.282987e+03   0.000000e+00    800s
  214166    4.2881157e+00   1.285703e+04   0.000000e+00    809s
  217393    4.2881639e+00   1.458512e+04   0.000000e+00    826s
  220620    4.5936194e+00   1.435198e+04   0.000000e+00    847s
  223847    4.6342692e+00   8.517267e+03   0.000000e+00    865s
  227074    4.6343640e+00   7.452718e+03   0.000000e+00    913s
  230301    4.6344855e+00   8.098995e+03   0.000000e+00    963s
  233528    4.6345265e+00   7.892602e+03   0.000000e+00    978s
  236755    4.7762609e+00   9.494637e+03   0.000000e+00    992s
  239982    4.7764575e+00   7.952488e+03   0.000000e+00   1082s
  243209    4.7767804e+00   1.803141e+04   0.000000e+00   1169s
  246436    4.7773827e+00   1.374655e+04   0.000000e+00   1261s
  249663    4.7779837e+00   1.369949e+04   0.000000e+00   1357s
  252890    4.7785334e+00   1.449926e+04   0.000000e+00   1448s
  256117    4.7792707e+00   1.744133e+04   0.000000e+00   1538s
  259344    4.7799840e+00   9.539580e+03   0.000000e+00   1628s
  262571    4.7808650e+00   9.422469e+03   0.000000e+00   1715s
  265798    4.7814976e+00   1.145812e+04   0.000000e+00   1800s
  269025    4.7818471e+00   1.527025e+04   0.000000e+00   1890s
  272252    4.7827588e+00   1.725248e+04   0.000000e+00   1971s
