Rodando pra 1h

Optimize a model with 250039 rows, 374280 columns and 4358954 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns (presolve time = 10s) ...
Presolve removed 3 rows and 3 columns (presolve time = 15s) ...
Presolve removed 3 rows and 3 columns (presolve time = 21s) ...
Presolve removed 3 rows and 3 columns (presolve time = 25s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 25.29s
Presolved: 250036 rows, 374277 columns, 4358948 nonzeros
Variable types: 249500 continuous, 124777 integer (124775 binary)
Optimize a model with 250036 rows, 374277 columns and 4358948 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 250036 rows, 374277 columns, 4358948 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.504975e+03   0.000000e+00     36s
    1905    7.9422562e-05   8.644654e+02   0.000000e+00     41s
    3857    1.6922783e-04   5.136438e+04   0.000000e+00     46s
    7490    2.2685616e-04   1.062532e+04   0.000000e+00     51s
   10301    2.6230331e-04   1.225261e+04   0.000000e+00     58s
   11408    2.7829387e-04   1.497994e+03   0.000000e+00     60s
   12507    3.3744513e-04   9.546547e+03   0.000000e+00     67s
   15496    4.0818182e-04   1.630031e+04   0.000000e+00     76s
   18663    4.4604502e-04   9.855930e+03   0.000000e+00     80s
   20859    4.7122970e-04   3.555485e+03   0.000000e+00     86s
   22113    4.8196286e-04   1.239367e+04   0.000000e+00     90s
   23166    5.2717131e-04   4.026454e+03   0.000000e+00     98s
   25854    5.5840170e-04   3.593463e+04   0.000000e+00    109s
   26890    6.1557246e-04   1.078139e+04   0.000000e+00    119s
   29896    6.5053661e-04   1.411497e+04   0.000000e+00    126s
   31001    6.9737065e-04   1.573781e+04   0.000000e+00    134s
   33271    7.2943463e-04   9.995895e+03   0.000000e+00    140s
   34366    7.5645983e-04   1.692546e+04   0.000000e+00    146s
   35853    7.8479088e-04   1.408582e+04   0.000000e+00    151s
   37374    8.1393612e-04   1.812880e+04   0.000000e+00    156s
   38628    8.6481577e-04   8.197896e+03   0.000000e+00    166s
   42442    9.3383356e-04   5.469911e+03   0.000000e+00    181s
   45479    9.5890539e-04   1.182105e+04   0.000000e+00    188s
   46620    1.0328273e-03   1.941576e+03   0.000000e+00    201s
   49271    1.0528229e-03   1.251381e+04   0.000000e+00    206s
   51607    1.0900454e-03   1.306658e+04   0.000000e+00    216s
   52646    1.1119792e-03   8.852275e+03   0.000000e+00    222s
   53924    1.1543992e-03   1.898628e+04   0.000000e+00    231s
   56583    1.1832333e-03   2.010436e+04   0.000000e+00    238s
   57829    1.1925966e-03   2.330267e+04   0.000000e+00    241s
   59021    1.2108051e-03   8.565031e+04   0.000000e+00    247s
   60111    1.2386910e-03   2.648713e+04   0.000000e+00    254s
   62060    1.2575397e-03   2.587680e+04   0.000000e+00    258s
   63176    1.2760690e-03   3.191121e+04   0.000000e+00    262s
   64473    1.3176399e-03   1.320937e+05   0.000000e+00    271s
   66747    1.3411445e-03   1.469344e+04   0.000000e+00    277s
   67914    1.3511406e-03   2.138259e+04   0.000000e+00    281s
   68781    1.4036880e-03   1.499898e+04   0.000000e+00    293s
   72562    1.4523438e-03   4.413369e+04   0.000000e+00    305s
   75311    1.4982824e-03   9.223450e+04   0.000000e+00    320s
   78464    1.5412299e-03   2.370188e+04   0.000000e+00    335s
   81141    1.5739299e-03   2.581564e+04   0.000000e+00    345s
   82556    1.5869058e-03   1.380801e+05   0.000000e+00    349s
   84348    1.5966408e-03   9.286397e+04   0.000000e+00    352s
   86389    1.6287729e-03   2.842513e+04   0.000000e+00    365s
   87450    1.6323324e-03   3.262292e+04   0.000000e+00    365s
   88417    1.6509297e-03   8.081389e+04   0.000000e+00    372s
   90434    1.6824533e-03   1.909458e+04   0.000000e+00    381s
   93748    1.7050835e-03   1.275548e+04   0.000000e+00    386s
   95147    1.7667189e-03   4.354797e+04   0.000000e+00    395s
   98508    1.7930891e-03   2.048613e+04   0.000000e+00    401s
  102321    1.8131763e-03   3.020385e+04   0.000000e+00    409s
  103381    1.8440103e-03   2.952471e+04   0.000000e+00    422s
  104790    1.8599949e-03   1.901052e+04   0.000000e+00    426s
  106018    1.8904095e-03   8.655138e+04   0.000000e+00    434s
  107461    1.9031231e-03   6.445456e+04   0.000000e+00    437s
  108686    1.9632974e-03   6.883802e+04   0.000000e+00    452s
  112979    1.9986597e-03   5.165465e+04   0.000000e+00    461s
  114659    2.0135068e-03   3.465320e+04   0.000000e+00    468s
  116139    2.0283830e-03   3.783502e+04   0.000000e+00    472s
  117465    2.0388301e-03   4.020256e+04   0.000000e+00    475s
  118753    2.0642461e-03   7.461498e+04   0.000000e+00    482s
  119986    2.0863788e-03   9.149584e+04   0.000000e+00    487s
  121006    2.1023758e-03   2.210444e+04   0.000000e+00    493s
  123100    2.1154784e-03   3.917863e+04   0.000000e+00    495s
  124216    2.1394375e-03   2.170903e+04   0.000000e+00    502s
  125368    2.1571237e-03   4.012639e+04   0.000000e+00    507s
  126779    2.1685187e-03   1.365504e+04   0.000000e+00    511s
  129281    2.1917622e-03   6.888144e+04   0.000000e+00    518s
  130438    2.2150521e-03   4.882887e+04   0.000000e+00    528s
  135059    2.2453190e-03   2.788569e+04   0.000000e+00    536s
  136236    2.2735875e-03   5.298299e+04   0.000000e+00    547s
  137444    2.2854137e-03   7.258553e+04   0.000000e+00    551s
  138384    2.2995895e-03   1.904737e+05   0.000000e+00    556s
  139466    2.3162132e-03   4.118782e+04   0.000000e+00    560s
