Rodando pra 1h

Optimize a model with 360039 rows, 539130 columns and 6279774 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 7s) ...
Presolve removed 3 rows and 3 columns (presolve time = 10s) ...
Presolve removed 3 rows and 3 columns (presolve time = 15s) ...
Presolve removed 3 rows and 3 columns (presolve time = 20s) ...
Presolve removed 3 rows and 3 columns (presolve time = 26s) ...
Presolve removed 3 rows and 3 columns (presolve time = 30s) ...
Presolve removed 3 rows and 3 columns (presolve time = 35s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 35.38s
Presolved: 360036 rows, 539127 columns, 6279768 nonzeros
Variable types: 359400 continuous, 179727 integer (179725 binary)
Optimize a model with 360036 rows, 539127 columns and 6279768 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 360036 rows, 539127 columns, 6279768 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.804585e+03   0.000000e+00     50s
    1281    0.0000000e+00   3.804888e+03   0.000000e+00     51s
    2026    1.8376112e-04   1.753946e+03   0.000000e+00     59s
    3939    2.1311772e-04   2.024676e+03   0.000000e+00     60s
    9311    2.4716126e-04   1.461293e+04   0.000000e+00     65s
   10399    2.8129475e-04   2.721824e+04   0.000000e+00     71s
   12390    3.0547142e-04   5.924924e+03   0.000000e+00     76s
   14394    3.5354456e-04   1.552971e+04   0.000000e+00     83s
   17683    4.0631924e-04   1.057659e+04   0.000000e+00     90s
   21318    4.7770768e-04   3.640970e+04   0.000000e+00     96s
   26038    5.8771335e-04   2.551380e+04   0.000000e+00    110s
   31941    6.4297491e-04   7.232864e+03   0.000000e+00    119s
   33348    6.6531941e-04   1.620072e+04   0.000000e+00    124s
   35363    6.8557926e-04   5.106088e+03   0.000000e+00    128s
   36534    7.3221019e-04   3.933796e+04   0.000000e+00    136s
   39256    7.7040751e-04   1.679692e+04   0.000000e+00    144s
   41396    7.9693469e-04   1.576008e+04   0.000000e+00    150s
   42574    8.3308164e-04   8.641180e+03   0.000000e+00    157s
   43888    8.6906214e-04   1.173428e+05   0.000000e+00    163s
   44720    9.2650856e-04   4.403767e+04   0.000000e+00    178s
   49000    9.4912508e-04   2.920582e+04   0.000000e+00    180s
   50779    9.8396800e-04   1.309530e+04   0.000000e+00    195s
   51778    1.0170012e-03   3.624285e+04   0.000000e+00    204s
   53672    1.0277468e-03   2.443034e+04   0.000000e+00    207s
   55900    1.0423587e-03   4.916375e+04   0.000000e+00    210s
   57440    1.0983963e-03   1.013567e+05   0.000000e+00    229s
   59050    1.1069669e-03   1.634424e+05   0.000000e+00    230s
   61680    1.1765295e-03   1.364562e+04   0.000000e+00    250s
   63764    1.2037616e-03   1.069387e+05   0.000000e+00    255s
   66850    1.2475283e-03   3.035354e+04   0.000000e+00    263s
   70108    1.2945194e-03   2.324341e+04   0.000000e+00    272s
   76528    1.3244303e-03   1.588474e+04   0.000000e+00    277s
   77787    1.3445792e-03   6.141260e+04   0.000000e+00    281s
   79303    1.3759081e-03   3.163257e+04   0.000000e+00    285s
   86539    1.4060908e-03   2.627675e+04   0.000000e+00    290s
   90791    1.4565104e-03   3.040267e+04   0.000000e+00    300s
   92520    1.4627537e-03   3.970318e+04   0.000000e+00    301s
   99937    1.4921874e-03   4.098570e+04   0.000000e+00    306s
  103322    1.5432138e-03   3.493022e+04   0.000000e+00    315s
  105245    1.5490765e-03   4.791960e+04   0.000000e+00    316s
  111943    1.5724269e-03   3.205468e+04   0.000000e+00    321s
  113490    1.6041839e-03   3.722803e+04   0.000000e+00    328s
  117744    1.7429870e-03   7.263072e+05   0.000000e+00    334s
  120197    1.7555373e-03   7.826797e+05   0.000000e+00    336s
  127453    1.7819274e-03   9.029550e+05   0.000000e+00    340s
  135614    1.8149494e-03   1.051610e+06   0.000000e+00    347s
  141549    1.8408178e-03   5.584216e+04   0.000000e+00    352s
  145809    1.8557825e-03   3.399327e+04   0.000000e+00    356s
  148687    1.9153048e-03   3.129564e+04   0.000000e+00    371s
  152211    3.1125343e-03   1.274808e+04   0.000000e+00    413s
  156049    6.4006242e+00   1.273230e+04   0.000000e+00    428s
  159985    6.4006578e+00   1.275447e+04   0.000000e+00    437s
  163929    6.4007576e+00   1.253445e+04   0.000000e+00    461s
  167958    6.4008114e+00   1.265054e+04   0.000000e+00    476s
  172048    6.4008397e+00   1.251451e+04   0.000000e+00    485s
  176138    6.4008635e+00   1.244854e+04   0.000000e+00    492s
  180228    1.0478429e+01   7.994962e+03   0.000000e+00    519s
  184318    1.0479111e+01   7.431538e+03   0.000000e+00    530s
  188408    1.1502991e+01   4.013171e+03   0.000000e+00    550s
  192498    1.1503350e+01   7.854334e+03   0.000000e+00    576s
  196588    1.1503683e+01   5.075062e+03   0.000000e+00    632s
  200678    1.2767860e+01   1.370589e+04   0.000000e+00    640s
  204768    1.2768916e+01   1.473647e+04   0.000000e+00    670s
  208858    1.3295465e+01   6.428054e+03   0.000000e+00    716s
  212948    1.3295516e+01   6.902246e+03   0.000000e+00    739s
  217038    1.3295534e+01   6.410467e+03   0.000000e+00    746s
  221128    1.4079090e+01   1.158522e+04   0.000000e+00    799s
  225218    1.4079127e+01   1.224949e+04   0.000000e+00    809s
  229308    1.4079144e+01   1.195541e+04   0.000000e+00    816s
  233398    1.4079195e+01   1.187340e+04   0.000000e+00    830s
  237488    1.4294129e+01   6.273963e+03   0.000000e+00    852s
  241578    1.4294154e+01   6.377433e+03   0.000000e+00    866s
  249758    1.4294216e+01   7.725946e+03   0.000000e+00    881s
  253848    1.4294255e+01   1.405550e+04   0.000000e+00   1047s
  257938    1.4294451e+01   1.173915e+04   0.000000e+00   1208s
  262028    1.4294720e+01   1.243383e+04   0.000000e+00   1371s
  266118    1.4295047e+01   1.052598e+04   0.000000e+00   1530s
  270208    1.4295747e+01   1.223062e+04   0.000000e+00   1686s
  274298    1.4296620e+01   1.266802e+04   0.000000e+00   1847s
  278388    1.4297421e+01   9.062066e+03   0.000000e+00   2005s
  282478    1.4298126e+01   1.065556e+04   0.000000e+00   2165s
  286568    1.4299111e+01   1.231541e+04   0.000000e+00   2319s
  290658    1.4300076e+01   1.087474e+04   0.000000e+00   2471s
  294748    1.4300430e+01   1.383798e+04   0.000000e+00   2542s
  298838    1.4301091e+01   1.166358e+04   0.000000e+00   2687s
  302928    1.4301833e+01   9.108427e+03   0.000000e+00   2842s
  306981    1.4302781e+01   1.107754e+04   0.000000e+00   2988s
  311071    1.4303573e+01   1.007569e+04   0.000000e+00   3152s
  315161    1.4303872e+01   6.985104e+03   0.000000e+00   3196s
  319020    1.4304738e+01   9.846034e+03   0.000000e+00   3339s
  322972    1.4305366e+01   8.377051e+03   0.000000e+00   3436s
  327062    1.4305375e+01   8.056911e+03   0.000000e+00   3450s
  331152    1.4305386e+01   7.005070e+03   0.000000e+00   3478s
  335242    1.4305402e+01   6.869192e+03   0.000000e+00   3490s
  339332    1.4305445e+01   6.627762e+03   0.000000e+00   3534s
  343422    1.4305492e+01   6.037406e+03   0.000000e+00   3558s
  347512    1.4305526e+01   6.374413e+03   0.000000e+00   3566s

Root relaxation: time limit, 349006 iterations, 3554.13 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0               -          -      -     - 3600s

Explored 0 nodes (349006 simplex iterations) in 3600.03 seconds
Thread count was 1 (of 4 available processors)

Time limit reached
Best objective -, best bound -, gap -
Tempo: 3596.26 segundos

Error code = 10004
Var::get
