Rodando pra 1h

Optimize a model with 90039 rows, 134580 columns and 1566994 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [3e-01, 3e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 2 rows and 2 columns (presolve time = 5s) ...
Presolve removed 2 rows and 2 columns (presolve time = 10s) ...
Presolve removed 2 rows and 2 columns
Presolve time: 11.62s
Presolved: 90037 rows, 134578 columns, 1566990 nonzeros
Variable types: 89700 continuous, 44878 integer (44875 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.045840e+02   0.000000e+00     16s
    3393    9.2094350e-05   2.568934e+03   0.000000e+00     20s
    7733    2.2484806e-04   1.409598e+03   0.000000e+00     27s
   10209    2.9737545e-04   6.895982e+03   0.000000e+00     30s
   13170    3.8049496e-04   2.088373e+04   0.000000e+00     36s
   16938    4.7270542e-04   2.548325e+05   0.000000e+00     40s
   20733    5.7911982e-04   5.338256e+03   0.000000e+00     46s
   22913    6.7282375e-04   8.779005e+04   0.000000e+00     52s
   23925    8.1735121e+00   8.348192e+03   0.000000e+00     58s
   25173    8.1736020e+00   1.111687e+04   0.000000e+00     63s
   25698    8.1736924e+00   6.657157e+03   0.000000e+00     67s
   26328    8.1738479e+00   1.047040e+04   0.000000e+00     71s
   26961    8.1739945e+00   1.198940e+04   0.000000e+00     76s
   27649    8.1741268e+00   1.255472e+04   0.000000e+00     80s
   28313    8.1742893e+00   1.118387e+04   0.000000e+00     85s
   28973    8.1745053e+00   1.003590e+04   0.000000e+00     91s
   29637    8.1746535e+00   1.071807e+04   0.000000e+00     96s
   30349    8.1748568e+00   1.034352e+04   0.000000e+00    101s
   30987    8.1749917e+00   1.297276e+04   0.000000e+00    106s
   31683    8.1751057e+00   1.064299e+04   0.000000e+00    112s
   32359    8.1752765e+00   9.895027e+03   0.000000e+00    116s
   33101    8.1753002e+00   1.133407e+04   0.000000e+00    121s
   33741    8.1754617e+00   1.062856e+04   0.000000e+00    125s
