Rodando pra 1h

Optimize a model with 160039 rows, 239430 columns and 2788224 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 6s) ...
Presolve removed 3 rows and 3 columns (presolve time = 10s) ...
Presolve removed 3 rows and 3 columns (presolve time = 15s) ...
Presolve removed 3 rows and 3 columns (presolve time = 21s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 23.84s
Presolved: 160036 rows, 239427 columns, 2788218 nonzeros
Variable types: 159600 continuous, 79827 integer (79825 binary)
Optimize a model with 160036 rows, 239427 columns and 2788218 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 160036 rows, 239427 columns, 2788218 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.204779e+03   0.000000e+00     34s
    1463    4.6472476e-05   6.320315e+02   0.000000e+00     38s
    2621    8.5909444e-05   7.355985e+03   0.000000e+00     41s
    4855    1.7173571e-04   3.477243e+04   0.000000e+00     47s
    5997    2.5247094e-04   3.580009e+04   0.000000e+00     52s
    9565    2.8604690e-04   9.446649e+03   0.000000e+00     55s
   11031    3.2331937e-04   9.333756e+03   0.000000e+00     64s
   12028    3.3116164e-04   1.641309e+04   0.000000e+00     66s
   12900    3.5900124e-04   1.433106e+04   0.000000e+00     71s
   15236    3.9087544e-04   1.525016e+04   0.000000e+00     76s
   17913    4.2560404e-04   8.889739e+04   0.000000e+00     81s
   18902    4.5858127e-04   8.884411e+03   0.000000e+00     86s
   20210    4.8179231e-04   2.820077e+04   0.000000e+00     90s
   22093    5.1347307e-04   3.746639e+04   0.000000e+00     96s
   23319    5.3968401e-04   1.872139e+04   0.000000e+00    101s
   25539    5.7696622e-04   6.150367e+04   0.000000e+00    107s
   26633    6.1896975e-04   3.160762e+04   0.000000e+00    114s
   28304    6.2884929e-04   3.875234e+04   0.000000e+00    115s
   30120    6.5907626e-04   2.988953e+04   0.000000e+00    120s
   31338    6.9415129e-04   2.453334e+04   0.000000e+00    126s
   32484    7.4746955e-04   5.416921e+04   0.000000e+00    132s
   33510    7.6920986e-04   3.815764e+04   0.000000e+00    135s
   33963    8.1818557e-04   8.921625e+04   0.000000e+00    141s
   36782    8.5245803e-04   2.271544e+05   0.000000e+00    145s
   40893    9.1653739e-04   8.022347e+04   0.000000e+00    151s
   45484    9.7874044e-04   1.764664e+04   0.000000e+00    156s
   50715    1.0669290e-03   4.038945e+04   0.000000e+00    162s
   54771    1.2718021e-03   2.926692e+04   0.000000e+00    171s
   59222    1.3055290e-03   4.080601e+04   0.000000e+00    175s
   63901    1.4619714e-03   1.561645e+04   0.000000e+00    181s
   66662    2.0789557e-03   2.321613e+04   0.000000e+00    192s
   69149    2.1122847e-03   2.272636e+04   0.000000e+00    197s
   71879    2.1401883e-03   2.402812e+04   0.000000e+00    201s
   74783    2.1769431e-03   2.301304e+04   0.000000e+00    206s
   76384    1.0694073e-02   7.094294e+05   0.000000e+00    226s
   80128    1.4474229e+01   8.294265e+03   0.000000e+00    232s
   81987    1.4474266e+01   8.011003e+03   0.000000e+00    238s
   83736    1.4474325e+01   8.907450e+03   0.000000e+00    244s
