Rodando pra 1h

Optimize a model with 90039 rows, 134580 columns and 1567344 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 3 rows and 3 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 9.60s
Presolved: 90036 rows, 134577 columns, 1567338 nonzeros
Variable types: 89700 continuous, 44877 integer (44875 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.045840e+02   0.000000e+00     13s
    2483    9.5631060e-05   4.028857e+03   0.000000e+00     16s
    6460    1.9642669e-04   3.187442e+04   0.000000e+00     20s
   10600    3.4803200e-04   1.238192e+04   0.000000e+00     25s
   14286    4.2101076e-04   4.456037e+03   0.000000e+00     30s
   18414    5.0395140e-04   5.542497e+03   0.000000e+00     36s
   21602    5.6573741e-04   1.027588e+04   0.000000e+00     40s
   25361    6.2955477e-04   6.859462e+03   0.000000e+00     45s
   27833    7.1649083e-04   4.994961e+04   0.000000e+00     50s
   34160    8.1587766e-04   3.642175e+04   0.000000e+00     56s
   39063    9.7765830e-04   1.266848e+04   0.000000e+00     60s
   43981    8.3529955e+00   3.801961e+03   0.000000e+00     66s
   46182    8.3530560e+00   3.692080e+03   0.000000e+00     72s
   48428    8.3531107e+00   3.515971e+03   0.000000e+00     77s
   49539    8.3531533e+00   3.537973e+03   0.000000e+00     80s
   51977    8.3532095e+00   3.241810e+03   0.000000e+00     87s
   54843    8.3532358e+00   3.261893e+03   0.000000e+00     91s
   57821    8.3532756e+00   3.159796e+03   0.000000e+00     96s
   59408    8.3534969e+00   4.368850e+03   0.000000e+00    109s
   60845    8.3537194e+00   5.251059e+03   0.000000e+00    121s
   62240    8.3539159e+00   5.518750e+03   0.000000e+00    132s
   63389    8.3541249e+00   4.198244e+03   0.000000e+00    140s
   64439    8.3543144e+00   3.833180e+03   0.000000e+00    148s
   65634    8.3545227e+00   4.455767e+03   0.000000e+00    156s
   67018    8.3545751e+00   5.593889e+03   0.000000e+00    166s
   68370    8.3545903e+00   5.656452e+03   0.000000e+00    173s
   69576    8.3555197e+00   5.169204e+03   0.000000e+00    180s
   71041    9.0227129e+00   7.520504e+03   0.000000e+00    190s
