Rodando pra 1h

Optimize a model with 250039 rows, 374280 columns and 4358634 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 1 rows and 1 columns (presolve time = 5s) ...
Presolve removed 1 rows and 1 columns (presolve time = 10s) ...
Presolve removed 1 rows and 1 columns (presolve time = 15s) ...
Presolve removed 1 rows and 1 columns (presolve time = 21s) ...
Presolve removed 1 rows and 1 columns (presolve time = 26s) ...
Presolve removed 1 rows and 1 columns
Presolve time: 25.55s
Presolved: 250038 rows, 374279 columns, 4358632 nonzeros
Variable types: 249500 continuous, 124779 integer (124775 binary)
Optimize a model with 250038 rows, 374279 columns and 4358632 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 250038 rows, 374279 columns, 4358632 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.504975e+03   0.000000e+00     37s
    1907    8.0585753e-05   8.285322e+02   0.000000e+00     43s
    3836    1.6879306e-04   2.192055e+04   0.000000e+00     48s
    6553    2.1190487e-04   1.499322e+04   0.000000e+00     54s
    8359    2.2592607e-04   2.021635e+04   0.000000e+00     57s
    9095    2.6472916e-04   1.805854e+04   0.000000e+00     63s
   11497    3.0160680e-04   2.026862e+04   0.000000e+00     68s
   12294    3.1766951e-04   1.939022e+04   0.000000e+00     70s
   12974    3.7519636e-04   3.300860e+04   0.000000e+00     78s
   14680    3.9341236e-04   1.073620e+04   0.000000e+00     80s
   15515    4.5001227e-04   3.470806e+03   0.000000e+00     88s
   19147    4.9415264e-04   2.453098e+04   0.000000e+00     95s
   20974    5.4175647e-04   2.861562e+04   0.000000e+00    102s
   23503    5.7185953e-04   4.027499e+03   0.000000e+00    109s
   25330    5.9666883e-04   1.371020e+04   0.000000e+00    112s
   26281    6.4299179e-04   1.777566e+04   0.000000e+00    119s
   27754    6.4874397e-04   1.985664e+04   0.000000e+00    120s
   29345    7.1706483e-04   5.617767e+04   0.000000e+00    135s
   30132    7.2067266e-04   6.003704e+04   0.000000e+00    135s
   34441    7.4995749e-04   2.434244e+04   0.000000e+00    145s
   35313    7.5350177e-04   2.423232e+04   0.000000e+00    145s
   37213    7.9118964e-04   1.650818e+04   0.000000e+00    154s
   38103    8.3824999e-04   9.050271e+03   0.000000e+00    165s
   39694    8.6662307e-04   8.639568e+04   0.000000e+00    173s
   40370    8.8363763e-04   3.277930e+04   0.000000e+00    177s
   41216    9.3188938e-04   5.287393e+03   0.000000e+00    185s
   42200    9.3499591e-04   5.233321e+03   0.000000e+00    185s
   48032    1.0550583e-03   1.113125e+04   0.000000e+00    216s
   53068    1.0826047e-03   1.485167e+04   0.000000e+00    220s
   56934    1.1980630e-03   2.364080e+04   0.000000e+00    248s
   61022    1.2148787e-03   1.602126e+04   0.000000e+00    251s
   64070    1.2732370e-03   5.685893e+04   0.000000e+00    268s
   66578    1.2827328e-03   3.129073e+04   0.000000e+00    271s
   73985    1.3738025e-03   7.871883e+04   0.000000e+00    301s
   79015    1.3934186e-03   2.430705e+04   0.000000e+00    307s
   80052    1.4454794e-03   2.010936e+05   0.000000e+00    331s
   82976    1.5039181e-03   9.495600e+03   0.000000e+00    342s
   87013    1.6185276e-03   8.703697e+04   0.000000e+00    348s
   89203    3.6691593e+00   7.662785e+03   0.000000e+00    357s
   91425    3.6691931e+00   7.754777e+03   0.000000e+00    365s
   93672    3.6692181e+00   7.746906e+03   0.000000e+00    370s
   95927    3.6692739e+00   7.762963e+03   0.000000e+00    381s
   98101    3.6693522e+00   7.643119e+03   0.000000e+00    401s
  100481    3.6693674e+00   7.250701e+03   0.000000e+00    406s
  102662    3.6694290e+00   7.220437e+03   0.000000e+00    423s
  105090    3.6694470e+00   7.108445e+03   0.000000e+00    430s
  110111    3.6694789e+00   7.645129e+03   0.000000e+00    440s
  112557    3.6695387e+00   8.045433e+03   0.000000e+00    459s
  115014    3.6695955e+00   7.130621e+03   0.000000e+00    474s
  117538    3.6696731e+00   7.385226e+03   0.000000e+00    497s
  120209    3.6696942e+00   7.064607e+03   0.000000e+00    504s
  123096    3.6697120e+00   7.236711e+03   0.000000e+00    512s
  126036    3.6697231e+00   7.100773e+03   0.000000e+00    518s
  129146    3.6697396e+00   6.824537e+03   0.000000e+00    526s
  132373    3.6697570e+00   7.253033e+03   0.000000e+00    535s
  135600    3.6697804e+00   6.956750e+03   0.000000e+00    555s
  138827    3.6698061e+00   6.854594e+03   0.000000e+00    565s
  145281    5.0071395e+00   5.325358e+03   0.000000e+00    585s
  148508    5.5137271e+00   2.061792e+04   0.000000e+00    605s
  154962    5.5219884e+00   6.407589e+03   0.000000e+00    620s
  158189    5.5990284e+00   6.441538e+03   0.000000e+00    630s
  161416    5.6486854e+00   9.547249e+03   0.000000e+00    747s
  164643    5.6492013e+00   1.429477e+04   0.000000e+00    846s
  167870    5.6500203e+00   9.757616e+03   0.000000e+00    951s
  171097    5.6506408e+00   1.418083e+04   0.000000e+00   1056s
  174324    5.6514652e+00   1.312159e+04   0.000000e+00   1153s
  177551    5.6524017e+00   1.105644e+04   0.000000e+00   1246s
  180778    5.6530771e+00   1.001210e+04   0.000000e+00   1348s
  184005    5.6535571e+00   9.186866e+03   0.000000e+00   1440s
  187232    5.6547456e+00   1.533056e+04   0.000000e+00   1528s
  190459    5.6559154e+00   1.321113e+04   0.000000e+00   1623s
  193686    5.6584626e+00   1.073779e+04   0.000000e+00   1708s
