Rodando pra 1h

Optimize a model with 360039 rows, 539130 columns and 6278909 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 6s) ...
Presolve removed 1 rows and 1 columns (presolve time = 12s) ...
Presolve removed 1 rows and 1 columns (presolve time = 15s) ...
Presolve removed 1 rows and 1 columns (presolve time = 20s) ...
Presolve removed 1 rows and 1 columns (presolve time = 26s) ...
Presolve removed 1 rows and 1 columns (presolve time = 30s) ...
Presolve removed 1 rows and 1 columns (presolve time = 36s) ...
Presolve removed 1 rows and 1 columns (presolve time = 44s) ...
Presolve removed 1 rows and 1 columns (presolve time = 46s) ...
Presolve removed 1 rows and 1 columns (presolve time = 54s) ...
Presolve removed 1 rows and 1 columns
Presolve time: 53.94s
Presolved: 360038 rows, 539129 columns, 6278907 nonzeros
Variable types: 359400 continuous, 179729 integer (179725 binary)
Optimize a model with 360038 rows, 539129 columns and 6278907 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 360038 rows, 539129 columns, 6278907 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.804585e+03   0.000000e+00     74s
    2095    1.2979855e-04   2.428131e+03   0.000000e+00     92s
    3186    1.7363464e-04   6.175017e+03   0.000000e+00     98s
    4456    2.0480266e-04   2.596173e+04   0.000000e+00    106s
    5345    2.4006035e-04   2.093831e+04   0.000000e+00    112s
    6906    2.9658315e-04   1.757752e+05   0.000000e+00    124s
    8351    3.0638066e-04   2.106029e+05   0.000000e+00    125s
    9134    4.0082701e-04   5.692990e+04   0.000000e+00    142s
   12413    4.7634191e-04   1.059753e+05   0.000000e+00    159s
   15647    4.9148265e-04   1.404585e+05   0.000000e+00    160s
   19397    5.2333162e-04   2.310857e+04   0.000000e+00    173s
   20387    6.0275723e-04   1.296866e+04   0.000000e+00    202s
   24873    6.8844034e-04   1.591197e+04   0.000000e+00    224s
   27406    7.1350559e-04   2.775059e+04   0.000000e+00    234s
   28400    7.5549548e-04   2.372020e+04   0.000000e+00    250s
   29421    7.6092879e-04   5.216734e+04   0.000000e+00    251s
   31305    7.7998474e-04   6.616118e+04   0.000000e+00    256s
   33931    7.9801965e-04   1.380259e+04   0.000000e+00    262s
   34781    8.2702498e-04   4.937055e+04   0.000000e+00    272s
   35549    8.4833943e-04   5.879419e+04   0.000000e+00    277s
   36359    8.6958363e-04   8.266074e+04   0.000000e+00    283s
   37170    8.7583698e-04   1.339826e+05   0.000000e+00    286s
   38681    8.8448377e-04   3.817629e+04   0.000000e+00    291s
   40960    9.3970501e-04   5.486652e+04   0.000000e+00    311s
   44199    9.5775358e-04   1.165318e+05   0.000000e+00    316s
   46527    9.7017904e-04   1.320745e+05   0.000000e+00    320s
   50477    9.8992204e-04   1.320924e+05   0.000000e+00    325s
   52891    1.0596318e-03   3.189968e+04   0.000000e+00    359s
   54807    1.0682012e-03   5.359659e+04   0.000000e+00    361s
   59558    1.1579807e-03   7.107918e+04   0.000000e+00    404s
   61459    1.1661685e-03   8.928595e+04   0.000000e+00    406s
   67490    1.1911812e-03   6.416050e+04   0.000000e+00    410s
   70833    1.2148861e-03   6.744495e+04   0.000000e+00    421s
   72807    1.2860270e-03   5.391791e+04   0.000000e+00    459s
   74134    1.2914308e-03   6.216772e+04   0.000000e+00    460s
   79532    1.3266896e-03   6.019895e+04   0.000000e+00    469s
   80801    1.3786363e-03   9.651708e+03   0.000000e+00    484s
   82306    1.3834527e-03   9.015966e+03   0.000000e+00    486s
   85041    1.3943203e-03   8.597407e+03   0.000000e+00    492s
   87662    1.4045177e-03   4.024524e+04   0.000000e+00    499s
   88740    1.4313162e-03   4.448199e+04   0.000000e+00    531s
   89753    1.4771338e-03   7.239706e+04   0.000000e+00    564s
   91180    1.6393948e-03   4.907971e+05   0.000000e+00    624s
   92414    1.8307301e-03   4.863814e+05   0.000000e+00    698s
   93744    2.0953943e-03   6.127899e+04   0.000000e+00    781s
