Rodando pra 1h

Optimize a model with 360039 rows, 539130 columns and 6278229 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Presolve removed 3 rows and 3 columns (presolve time = 10s) ...
Presolve removed 3 rows and 3 columns (presolve time = 16s) ...
Presolve removed 3 rows and 3 columns (presolve time = 20s) ...
Presolve removed 3 rows and 3 columns (presolve time = 25s) ...
Presolve removed 3 rows and 3 columns (presolve time = 33s) ...
Presolve removed 3 rows and 3 columns (presolve time = 40s) ...
Presolve removed 3 rows and 3 columns
Presolve time: 40.22s
Presolved: 360036 rows, 539127 columns, 6278223 nonzeros
Variable types: 359400 continuous, 179727 integer (179725 binary)
Optimize a model with 360036 rows, 539127 columns and 6278223 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 360036 rows, 539127 columns, 6278223 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.804585e+03   0.000000e+00     59s
    1278    0.0000000e+00   1.307237e+03   0.000000e+00     60s
    2107    2.2277302e-04   1.146437e+05   0.000000e+00     69s
    3075    2.9798687e-04   1.990549e+04   0.000000e+00     75s
    4074    3.5174411e-04   5.230185e+03   0.000000e+00     81s
    6132    3.8464828e-04   9.391063e+03   0.000000e+00     85s
    6931    4.4196677e-04   2.635391e+04   0.000000e+00     94s
    8752    4.5543947e-04   3.014079e+04   0.000000e+00     95s
   11843    4.9947394e-04   3.973478e+04   0.000000e+00    104s
   13832    5.7970396e-04   1.777563e+04   0.000000e+00    120s
   14908    5.8575791e-04   2.154998e+04   0.000000e+00    120s
   18404    6.2817754e-04   1.324869e+04   0.000000e+00    133s
   19632    6.5241436e-04   5.570841e+03   0.000000e+00    139s
   20921    6.8553022e-04   6.347443e+04   0.000000e+00    144s
   22004    7.3867804e-04   2.477076e+04   0.000000e+00    153s
   25674    8.2445438e-04   3.489317e+04   0.000000e+00    166s
   28436    8.6330362e-04   5.082130e+04   0.000000e+00    175s
   30190    8.7060140e-04   1.033621e+05   0.000000e+00    175s
   32151    9.5267827e-04   2.085622e+04   0.000000e+00    193s
   35298    1.0149332e-03   2.943656e+04   0.000000e+00    204s
   38011    1.0465252e-03   5.892257e+04   0.000000e+00    211s
   41285    1.1177025e-03   4.945976e+04   0.000000e+00    233s
   45895    1.1611606e-03   7.987278e+03   0.000000e+00    246s
   47380    1.2038009e-03   1.821191e+05   0.000000e+00    260s
   49937    1.2364352e-03   1.940369e+04   0.000000e+00    272s
   51045    1.2605346e-03   1.734229e+04   0.000000e+00    282s
   52459    1.2827151e-03   2.947184e+04   0.000000e+00    292s
   53702    1.3077582e-03   3.492033e+04   0.000000e+00    304s
   55036    1.3231334e-03   8.455582e+04   0.000000e+00    313s
