Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 10030 rows, 14880 columns and 173046 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 4996
Presolve removed 16 rows and 8 columns
Presolve time: 0.27s
Presolved: 10014 rows, 14872 columns, 98869 nonzeros
Variable types: 9900 continuous, 4972 integer (4970 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   14577    3.1149038e+01   6.212915e+02   0.000000e+00      5s
   29517    3.5000687e+01   1.592853e+00   0.000000e+00     10s
   29882    3.5009161e+01   0.000000e+00   0.000000e+00     10s

Root relaxation: objective 3.500916e+01, 29882 iterations, 9.96 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   35.00916    0  108 4996.00000   35.00916  99.3%     -   10s
H    0     0                    4762.2000000   35.00916  99.3%     -   19s
     0     0  290.93579    0  115 4762.20000  290.93579  93.9%     -   23s
H    0     0                    4684.2000000  290.93579  93.8%     -   24s
     0     0 1323.49988    0  138 4684.20000 1323.49988  71.7%     -   32s
     0     0 1361.94265    0  140 4684.20000 1361.94265  70.9%     -   35s
H    0     0                    4243.4000000 1361.94265  67.9%     -   36s
     0     0 1372.88621    0  122 4243.40000 1372.88621  67.6%     -   43s
     0     0 1373.00228    0  123 4243.40000 1373.00228  67.6%     -   48s
H    0     0                    4065.5000000 1373.00228  66.2%     -   49s
     0     0 1376.58653    0  121 4065.50000 1376.58653  66.1%     -   55s
     0     0 1377.43193    0  126 4065.50000 1377.43193  66.1%     -   62s
H    0     0                    3953.6000000 1377.43193  65.2%     -   63s
     0     0 1384.75025    0  123 3953.60000 1384.75025  65.0%     -   72s
     0     0 1385.99079    0  128 3953.60000 1385.99079  64.9%     -   79s
     0     0 1389.92718    0  127 3953.60000 1389.92718  64.8%     -   88s
     0     0 1390.76900    0  125 3953.60000 1390.76900  64.8%     -   95s
     0     0 1390.96625    0  123 3953.60000 1390.96625  64.8%     -  101s
     0     0 1391.21938    0  126 3953.60000 1391.21938  64.8%     -  105s
     0     0 1391.60000    0  116 3953.60000 1391.60000  64.8%     -  149s
     0     0 1391.60000    0  116 3953.60000 1391.60000  64.8%     -  162s
H    0     0                    3899.4000000 1391.60000  64.3%     -  190s
     0     2 1391.60000    0  113 3899.40000 1391.60000  64.3%     -  205s
     3     4 1391.83309    3  126 3899.40000 1391.60000  64.3%  7785  215s
     6     7 1392.30000    6  153 3899.40000 1391.60000  64.3%  4573  220s
     7     7 1392.48637    7  131 3899.40000 1391.60000  64.3%  4879  226s
    10     9 1393.06918   10  128 3899.40000 1391.60000  64.3%  4680  234s
    12    11 1393.70000   12  150 3899.40000 1391.60000  64.3%  4573  240s
    14    12 1394.28723   14  127 3899.40000 1391.60000  64.3%  4929  250s
    16    13 1394.90260   16  128 3899.40000 1391.60000  64.3%  5321  258s
    18    14 1395.41576   18  131 3899.40000 1391.60000  64.3%  5506  266s
    20    16 1395.80000   20  153 3899.40000 1391.60000  64.3%  5247  271s
    24    18 1396.56688   24  128 3899.40000 1391.60000  64.3%  4929  279s
    25    19 1397.20000   25  127 3899.40000 1391.60000  64.3%  4762  280s
    27    21 1397.20000   27  139 3899.40000 1391.60000  64.3%  4578  285s
    30    23 1398.60000   29  141 3899.40000 1391.60000  64.3%  4389  290s
    31    23 1398.72858   30  122 3899.40000 1391.60000  64.3%  4637  298s
    33    25 1399.30000   32  152 3899.40000 1391.60000  64.3%  4482  301s
    36    27 1399.56597   35  127 3899.40000 1391.60000  64.3%  4454  310s
    39    29 1400.00000   37  147 3899.40000 1391.60000  64.3%  4459  318s
    41    30 1401.24355   38  125 3899.40000 1391.60000  64.3%  4517  322s
    43    32 1401.40000   40  133 3899.40000 1391.60000  64.3%  4450  326s
    46    34 1402.10000   43  136 3899.40000 1391.60000  64.3%  4430  332s
    47    34 1402.96546   44  124 3899.40000 1391.60000  64.3%  4450  335s
    50    36 1404.07517   46  122 3899.40000 1391.60000  64.3%  4531  345s
    52    38 1404.20000   48  127 3899.40000 1391.60000  64.3%  4582  352s
    53    38 1405.12382   49  123 3899.40000 1391.60000  64.3%  4643  357s
    55    40 1405.60000   51  126 3899.40000 1391.60000  64.3%  4552  361s
    56    41 1405.60000   51  130 3899.40000 1391.60000  64.3%  4661  367s
    57    41 1405.60525   52  129 3899.40000 1391.60000  64.3%  4703  371s
    59    43 1406.30000   54  138 3899.40000 1391.60000  64.3%  4680  378s
    60    44 1406.30000   55  127 3899.40000 1391.60000  64.3%  4682  381s
    61    44 1407.73392   55  126 3899.40000 1391.60000  64.3%  4774  386s
    62    44 1406.35678   56  126 3899.40000 1391.60000  64.3%  4840  391s
    63    44 1407.16324   56  122 3899.40000 1391.60000  64.3%  5008  398s
    65    46 1407.70000   58  139 3899.40000 1391.60000  64.3%  4944  402s
    66    46 1407.78729   59  121 3899.40000 1391.60000  64.3%  4966  407s
