Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 90030 rows, 134580 columns and 1567286 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 3e+02]
Found heuristic solution: objective 16622
Presolve removed 16 rows and 8 columns
Presolve time: 2.53s
Presolved: 90014 rows, 134572 columns, 895845 nonzeros
Variable types: 89700 continuous, 44872 integer (44870 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    1434    3.2000765e+00   2.729123e+03   0.000000e+00      5s
    3740    1.1470157e+01   4.001271e+03   0.000000e+00     11s
    6086    1.1886064e+01   3.337907e+03   0.000000e+00     16s
    8051    1.1886290e+01   2.705585e+03   0.000000e+00     21s
    9450    1.1886472e+01   1.888550e+03   0.000000e+00     26s
   10510    1.1886618e+01   2.989534e+03   0.000000e+00     31s
   11796    1.1887005e+01   3.237331e+03   0.000000e+00     37s
   13203    1.1887363e+01   3.174422e+03   0.000000e+00     43s
   14058    1.1887758e+01   1.915014e+03   0.000000e+00     48s
   15047    1.2536152e+01   1.137495e+03   0.000000e+00     53s
   15782    1.2536202e+01   1.657481e+03   0.000000e+00     56s
   17334    1.2875922e+01   2.343211e+03   0.000000e+00     62s
   18120    1.2876015e+01   8.836767e+02   0.000000e+00     66s
   19527    1.2876138e+01   1.413969e+03   0.000000e+00     72s
   20921    1.2876222e+01   2.281317e+03   0.000000e+00     77s
   22424    1.2876304e+01   7.873610e+02   0.000000e+00     80s
   24039    1.3295122e+01   6.614300e+03   0.000000e+00     85s
   25647    1.3334300e+01   2.295317e+03   0.000000e+00     92s
   26386    1.3539705e+01   2.429343e+03   0.000000e+00     96s
   28608    1.3539816e+01   2.582040e+03   0.000000e+00    102s
   29370    1.3539881e+01   1.937515e+03   0.000000e+00    107s
   30971    1.3539976e+01   1.524638e+03   0.000000e+00    111s
   32644    1.3540163e+01   4.560288e+03   0.000000e+00    118s
   33530    1.3540291e+01   3.724574e+03   0.000000e+00    123s
   34383    1.3540439e+01   3.275154e+03   0.000000e+00    128s
   35376    1.3540464e+01   3.894629e+03   0.000000e+00    134s
   36228    1.3540659e+01   4.353553e+03   0.000000e+00    139s
   37133    1.3540831e+01   3.999690e+03   0.000000e+00    145s
   38106    1.3540996e+01   4.442064e+03   0.000000e+00    150s
   39278    1.3541042e+01   4.975517e+03   0.000000e+00    156s
   40364    1.3541160e+01   4.715225e+03   0.000000e+00    162s
   41416    1.3541446e+01   4.918350e+03   0.000000e+00    168s
   42486    1.5038663e+01   2.866335e+03   0.000000e+00    174s
   43944    1.6837128e+01   1.460952e+03   0.000000e+00    179s
   45518    1.7125024e+01   1.767405e+03   0.000000e+00    184s
   47179    1.7125746e+01   2.836765e+03   0.000000e+00    198s
   48840    1.7126712e+01   2.683829e+03   0.000000e+00    213s
   50501    1.7453247e+01   1.304915e+03   0.000000e+00    227s
   52162    1.7454919e+01   1.260453e+03   0.000000e+00    241s
   53823    1.7873734e+01   1.395425e+03   0.000000e+00    249s
   55484    1.7874166e+01   1.573486e+03   0.000000e+00    265s
   57145    1.8108445e+01   1.648563e+03   0.000000e+00    278s
   58806    1.8181616e+01   1.740851e+03   0.000000e+00    292s
   60467    1.8368033e+01   4.331489e+03   0.000000e+00    308s
   62128    1.9299392e+01   2.646107e+03   0.000000e+00    322s
   63789    1.9777476e+01   9.552148e+03   0.000000e+00    336s
   65450    2.0272938e+01   3.180893e+03   0.000000e+00    346s
   67111    2.1016740e+01   2.014909e+03   0.000000e+00    363s
   68772    2.2049850e+01   2.020289e+03   0.000000e+00    379s
   70433    2.2130539e+01   5.557271e+03   0.000000e+00    383s
   72094    2.2606414e+01   4.003499e+03   0.000000e+00    395s
   73755    2.2624785e+01   4.512142e+03   0.000000e+00    407s
   75416    2.2659281e+01   2.622821e+03   0.000000e+00    414s
   77077    2.2659697e+01   3.351021e+03   0.000000e+00    427s
   78738    2.2660097e+01   2.793737e+03   0.000000e+00    439s
   80399    2.2660540e+01   2.886351e+03   0.000000e+00    451s
   82060    2.2684220e+01   2.520391e+03   0.000000e+00    468s
   83721    2.2751030e+01   2.519327e+03   0.000000e+00    483s
   85382    2.2751776e+01   1.997919e+03   0.000000e+00    496s
   87043    2.2756976e+01   3.237790e+03   0.000000e+00    509s
   88704    2.2842756e+01   1.850688e+03   0.000000e+00    523s
   90365    2.2898810e+01   3.042420e+03   0.000000e+00    536s
   92026    2.2899253e+01   5.131632e+03   0.000000e+00    550s
   93687    2.2964447e+01   3.496593e+03   0.000000e+00    565s
   95348    2.2991329e+01   3.267150e+03   0.000000e+00    578s
   97009    2.2991765e+01   4.569308e+03   0.000000e+00    592s
   98670    2.2991972e+01   3.601973e+03   0.000000e+00    606s
  100331    2.2992293e+01   4.300479e+03   0.000000e+00    619s
  101992    2.2992674e+01   3.077502e+03   0.000000e+00    631s
  103653    2.3021061e+01   3.011676e+03   0.000000e+00    647s
  105314    2.3021545e+01   5.207297e+03   0.000000e+00    662s
  106975    2.3021968e+01   3.468064e+03   0.000000e+00    676s
  108636    2.3022698e+01   3.419043e+03   0.000000e+00    693s
  110297    2.3068894e+01   2.860062e+03   0.000000e+00    711s
  111958    2.3220603e+01   4.030098e+03   0.000000e+00    726s
  113619    2.3446625e+01   5.938825e+03   0.000000e+00    741s
  115280    2.3447747e+01   2.032254e+03   0.000000e+00    753s
  116941    2.3448051e+01   3.304048e+03   0.000000e+00    767s
  118602    2.3500743e+01   2.418308e+03   0.000000e+00    786s
  120263    2.3704580e+01   3.456194e+03   0.000000e+00    802s
  121924    2.3711584e+01   5.804140e+03   0.000000e+00    817s
  123585    2.3762075e+01   4.662918e+03   0.000000e+00    831s
  125246    2.3762773e+01   3.805529e+03   0.000000e+00    847s
  126907    2.3821263e+01   5.054267e+03   0.000000e+00    865s
  128568    2.3946842e+01   5.558941e+03   0.000000e+00    880s
  130229    2.4081622e+01   4.040812e+03   0.000000e+00    893s
  131890    2.4081945e+01   3.676630e+03   0.000000e+00    906s
  133551    2.4082168e+01   3.069609e+03   0.000000e+00    919s
