Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 160030 rows, 239430 columns and 2788046 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 3e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 4e+02]
Found heuristic solution: objective 20227
Presolve removed 13 rows and 17 columns
Presolve time: 4.45s
Presolved: 160017 rows, 239413 columns, 1991848 nonzeros
Variable types: 159600 continuous, 79813 integer (79810 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.196779e+03   0.000000e+00      5s
    2683    2.8103125e-04   8.371381e+02   0.000000e+00     12s
    4854    1.5075381e+01   7.700575e+03   0.000000e+00     16s
    8486    1.5598067e+01   4.892408e+03   0.000000e+00     21s
   10093    1.5598329e+01   8.366430e+03   0.000000e+00     27s
   11516    1.5598843e+01   4.827946e+03   0.000000e+00     33s
   12353    1.5599088e+01   3.042889e+03   0.000000e+00     36s
   13317    1.5599383e+01   1.038421e+04   0.000000e+00     40s
   15704    1.5599801e+01   3.901271e+03   0.000000e+00     50s
   17272    1.5600416e+01   3.898000e+03   0.000000e+00     59s
   18885    1.5703560e+01   2.594747e+03   0.000000e+00     67s
   20587    1.5735164e+01   3.121182e+03   0.000000e+00     77s
   21654    1.5735548e+01   6.912445e+03   0.000000e+00     82s
   22517    1.5736179e+01   4.113329e+03   0.000000e+00     88s
   23399    1.5736384e+01   3.463034e+03   0.000000e+00     91s
   24990    1.5736774e+01   6.899935e+03   0.000000e+00     97s
   25688    1.5736996e+01   5.505429e+03   0.000000e+00    101s
   27135    1.5737375e+01   6.663101e+03   0.000000e+00    106s
   28788    1.5737693e+01   5.850687e+03   0.000000e+00    111s
   31282    1.5738156e+01   5.086159e+03   0.000000e+00    116s
   33059    1.5738459e+01   4.661696e+03   0.000000e+00    121s
   35789    1.5738864e+01   3.635157e+03   0.000000e+00    128s
   36787    1.5739003e+01   4.218557e+03   0.000000e+00    130s
   38712    1.5739278e+01   4.015376e+03   0.000000e+00    136s
   39775    1.5739445e+01   3.512013e+03   0.000000e+00    140s
   42029    1.5739773e+01   8.684168e+03   0.000000e+00    146s
   43365    1.5740002e+01   2.580658e+03   0.000000e+00    152s
   44710    1.5740182e+01   3.542315e+03   0.000000e+00    156s
   45963    1.5740388e+01   4.063934e+03   0.000000e+00    162s
   47277    1.5740557e+01   1.938973e+03   0.000000e+00    167s
   48566    1.5740729e+01   1.835587e+03   0.000000e+00    173s
   49902    1.5740912e+01   3.836511e+03   0.000000e+00    179s
   51301    1.5741140e+01   3.657945e+03   0.000000e+00    185s
   52665    1.5741348e+01   2.856812e+03   0.000000e+00    191s
   54210    1.5741568e+01   3.564370e+03   0.000000e+00    197s
   55720    1.5741784e+01   4.398433e+03   0.000000e+00    203s
   57178    1.5741985e+01   2.273836e+03   0.000000e+00    210s
   58596    1.5742211e+01   3.924645e+03   0.000000e+00    216s
   59708    1.5742368e+01   2.951450e+03   0.000000e+00    220s
   60852    1.5742552e+01   6.085619e+03   0.000000e+00    226s
   62363    1.5744764e+01   5.581312e+03   0.000000e+00    239s
   64080    1.5759233e+01   4.908083e+03   0.000000e+00    254s
   65826    1.5773307e+01   6.369361e+03   0.000000e+00    269s
   67643    1.5774666e+01   7.822554e+03   0.000000e+00    284s
   69403    1.5778727e+01   8.297394e+03   0.000000e+00    298s
   71243    1.5780320e+01   9.105964e+03   0.000000e+00    314s
   73108    1.5781952e+01   4.238344e+03   0.000000e+00    329s
   75175    1.5827241e+01   3.478743e+03   0.000000e+00    344s
   77205    1.5830036e+01   5.602519e+03   0.000000e+00    361s
   79122    1.5832286e+01   5.299606e+03   0.000000e+00    380s
   81099    1.5834725e+01   5.057195e+03   0.000000e+00    399s
   83267    1.5836479e+01   6.053536e+03   0.000000e+00    421s
   85421    1.5845705e+01   4.200885e+03   0.000000e+00    425s
   87382    1.5845958e+01   3.477298e+03   0.000000e+00    432s
   89291    1.5846764e+01   4.580414e+03   0.000000e+00    438s
   91305    1.5848583e+01   1.006604e+04   0.000000e+00    456s
   93207    1.5849284e+01   1.094625e+04   0.000000e+00    476s
   95214    1.5849906e+01   7.101956e+03   0.000000e+00    498s
   97393    1.5850574e+01   6.170601e+03   0.000000e+00    520s
   99758    1.5853280e+01   6.820216e+03   0.000000e+00    542s
  102124    1.5867540e+01   4.600072e+03   0.000000e+00    562s
  104395    1.5871261e+01   7.141582e+03   0.000000e+00    568s
  106414    1.5873009e+01   6.516010e+03   0.000000e+00    586s
  108398    1.5874185e+01   8.006192e+03   0.000000e+00    604s
  110430    1.5874987e+01   8.177123e+03   0.000000e+00    624s
  112478    1.5875683e+01   4.490731e+03   0.000000e+00    644s
  114481    1.5876880e+01   7.002765e+03   0.000000e+00    664s
  116607    1.5878225e+01   6.300003e+03   0.000000e+00    686s
  118735    1.5897371e+01   6.815610e+03   0.000000e+00    704s
  119909    1.5898908e+01   5.142533e+03   0.000000e+00    715s
  121027    1.5899625e+01   8.682532e+03   0.000000e+00    725s
  122383    1.5904299e+01   5.182694e+03   0.000000e+00    736s
  123355    1.5904888e+01   7.193734e+03   0.000000e+00    745s
  125595    1.5930174e+01   6.959454e+03   0.000000e+00    766s
  127199    1.5934432e+01   1.116465e+04   0.000000e+00    782s
  129613    1.5939748e+01   4.783456e+03   0.000000e+00    811s
  132027    1.5961022e+01   5.875854e+03   0.000000e+00    835s
  134072    1.5992428e+01   2.733854e+03   0.000000e+00    855s
  136158    1.5997488e+01   2.923120e+03   0.000000e+00    879s
  138572    1.6001455e+01   5.966877e+03   0.000000e+00    910s
  140986    1.6012114e+01   8.003195e+03   0.000000e+00    939s
  143400    1.6020218e+01   5.728092e+03   0.000000e+00    961s
  145814    1.6022339e+01   4.570914e+03   0.000000e+00    985s
  148052    1.6028191e+01   5.243563e+03   0.000000e+00   1006s
  150396    1.6037121e+01   1.044735e+04   0.000000e+00   1028s
  152810    1.6038386e+01   8.893202e+03   0.000000e+00   1052s
  155224    1.6039367e+01   6.261258e+03   0.000000e+00   1074s
