Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 250030 rows, 374280 columns and 4359081 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 3e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 5e+02]
Presolve removed 13 rows and 17 columns (presolve time = 6s) ...
Presolve removed 13 rows and 17 columns
Presolve time: 7.42s
Presolved: 250017 rows, 374263 columns, 3114229 nonzeros
Variable types: 249500 continuous, 124763 integer (124760 binary)
Found heuristic solution: objective 24474.642192
Optimize a model with 250017 rows, 374263 columns and 3114229 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 6e+06]
  Objective range [3e-01, 3e-01]
  Bounds range    [1e+00, 7e+04]
  RHS range       [1e+00, 5e+02]
Presolved: 250017 rows, 374263 columns, 3114229 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.496975e+03   0.000000e+00     12s
    2027    2.1096030e-04   8.431017e+02   0.000000e+00     18s
    3195    4.0365574e-04   2.413075e+03   0.000000e+00     25s
    4510    4.2472596e-04   1.516429e+03   0.000000e+00     27s
    7048    7.8445366e-04   5.010869e+03   0.000000e+00     34s
    8146    1.0031055e-03   7.406413e+03   0.000000e+00     38s
    8626    1.2538490e-03   1.508033e+04   0.000000e+00     41s
   10056    5.9295735e+00   8.224067e+03   0.000000e+00     47s
   10815    7.8370662e+00   1.148589e+04   0.000000e+00     50s
   13579    8.8298273e+00   9.266792e+03   0.000000e+00     55s
   14671    8.8644220e+00   4.546139e+03   0.000000e+00     60s
   15710    8.8648292e+00   5.795563e+03   0.000000e+00     66s
   16698    8.8654276e+00   5.057150e+03   0.000000e+00     72s
   17959    8.8657527e+00   9.105915e+03   0.000000e+00     80s
   19020    8.8662548e+00   5.007325e+03   0.000000e+00     87s
   20366    8.8666633e+00   7.135606e+03   0.000000e+00     97s
   21810    8.8672761e+00   7.530948e+03   0.000000e+00    108s
   23697    8.8675086e+00   7.984063e+03   0.000000e+00    120s
   25663    9.2281662e+00   2.863915e+03   0.000000e+00    136s
   27691    9.2303267e+00   3.485151e+03   0.000000e+00    155s
   29744    9.8809947e+00   3.295372e+03   0.000000e+00    172s
   33628    9.8810941e+00   4.731158e+03   0.000000e+00    187s
   35603    9.8811929e+00   4.885960e+03   0.000000e+00    200s
   37360    9.8814499e+00   3.773952e+03   0.000000e+00    217s
   39102    9.8815041e+00   3.712655e+03   0.000000e+00    224s
   41004    9.9635052e+00   3.260024e+03   0.000000e+00    226s
   42791    1.0037841e+01   7.506287e+03   0.000000e+00    241s
   44600    1.0091402e+01   8.801938e+03   0.000000e+00    252s
   48047    1.0091903e+01   7.426140e+03   0.000000e+00    269s
   49473    1.0091995e+01   7.712390e+03   0.000000e+00    274s
   51088    1.0092049e+01   7.442679e+03   0.000000e+00    278s
   52882    1.0092197e+01   7.930242e+03   0.000000e+00    286s
   56426    1.0092358e+01   9.019898e+03   0.000000e+00    296s
   60320    1.0108313e+01   3.027631e+03   0.000000e+00    300s
   62426    1.0108497e+01   3.572707e+03   0.000000e+00    322s
   66403    1.0108623e+01   4.305574e+03   0.000000e+00    330s
   68606    1.0108753e+01   2.788076e+03   0.000000e+00    342s
   70671    1.0108850e+01   3.186802e+03   0.000000e+00    348s
   73037    1.0109027e+01   4.641025e+03   0.000000e+00    374s
   75200    1.0109295e+01   3.914325e+03   0.000000e+00    396s
   79339    1.0109424e+01   4.203389e+03   0.000000e+00    404s
   81575    1.0109505e+01   3.749879e+03   0.000000e+00    414s
   83692    1.0109587e+01   4.848417e+03   0.000000e+00    419s
   86102    1.0109738e+01   4.941966e+03   0.000000e+00    440s
   90690    1.0109915e+01   3.743779e+03   0.000000e+00    458s
   93008    1.0135033e+01   4.812306e+03   0.000000e+00    479s
   95331    1.0135101e+01   3.893760e+03   0.000000e+00    485s
   97674    1.0135207e+01   5.259038e+03   0.000000e+00    497s
  100196    1.0135622e+01   5.866970e+03   0.000000e+00    525s
  102705    1.0199470e+01   1.591962e+04   0.000000e+00    553s
  105163    1.0200948e+01   2.717057e+04   0.000000e+00    581s
  107391    1.0365446e+01   8.136006e+03   0.000000e+00    604s
  109772    1.0639627e+01   5.472652e+03   0.000000e+00    626s
  112237    1.0641126e+01   4.298864e+03   0.000000e+00    655s
  114705    1.0696506e+01   6.263063e+03   0.000000e+00    662s
  117243    1.0697217e+01   5.491771e+03   0.000000e+00    694s
  119711    1.0698936e+01   5.771771e+03   0.000000e+00    726s
  122254    1.0716725e+01   5.787666e+03   0.000000e+00    734s
  124850    1.0724434e+01   6.669609e+03   0.000000e+00    768s
  127566    1.0725301e+01   7.451773e+03   0.000000e+00    805s
  130345    1.0725906e+01   7.076722e+03   0.000000e+00    844s
  133014    1.0823372e+01   8.042711e+03   0.000000e+00    882s
  135625    1.0825302e+01   8.507983e+03   0.000000e+00    919s
  137964    1.0826211e+01   1.121687e+04   0.000000e+00    953s
  140043    1.0827135e+01   6.983273e+03   0.000000e+00    983s
  143126    1.0828193e+01   6.855103e+03   0.000000e+00   1033s
  146074    1.0829445e+01   8.893375e+03   0.000000e+00   1081s
  149237    1.0935248e+01   6.166015e+03   0.000000e+00   1130s
  152464    1.0936235e+01   7.173053e+03   0.000000e+00   1183s
  155691    1.0937211e+01   9.355485e+03   0.000000e+00   1238s
  158918    1.0937972e+01   7.299053e+03   0.000000e+00   1297s
  162145    1.1173261e+01   1.017461e+04   0.000000e+00   1356s
  165372    1.1175852e+01   6.823111e+03   0.000000e+00   1418s
  168599    1.1246121e+01   5.391909e+03   0.000000e+00   1475s
  171826    1.1318428e+01   7.407907e+03   0.000000e+00   1527s
  175053    1.1413602e+01   1.308731e+04   0.000000e+00   1592s
  178280    1.1417631e+01   1.077109e+04   0.000000e+00   1648s
  181507    1.1418487e+01   1.195929e+04   0.000000e+00   1698s
  184734    1.1419282e+01   9.799178e+03   0.000000e+00   1753s
  187961    1.1420262e+01   1.118361e+04   0.000000e+00   1806s
  191188    1.1421268e+01   1.256479e+04   0.000000e+00   1864s
  194415    1.1421658e+01   9.199045e+03   0.000000e+00   1923s
  197642    1.1422375e+01   1.356948e+04   0.000000e+00   1984s
  200869    1.1424108e+01   8.587047e+03   0.000000e+00   2038s
