Rodando pra 1h
Optimize a model with 160044 rows, 239450 columns and 1195864 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 4e+02]
Presolve time: 2.27s
Presolved: 160044 rows, 239450 columns, 1195864 nonzeros
Variable types: 159625 continuous, 79825 integer (79825 binary)
Found heuristic solution: objective 20055.400000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.204779e+03   0.000000e+00      7s
    1814    2.8487046e-04   1.699827e+03   0.000000e+00     17s
    2535    4.0663986e-04   1.492121e+03   0.000000e+00     21s
    3820    4.0005361e+00   4.720746e+03   0.000000e+00     27s
    4595    4.0009431e+00   4.300131e+03   0.000000e+00     31s
    6285    7.1826677e+00   2.976031e+03   0.000000e+00     38s
    7204    7.1832430e+00   4.164713e+03   0.000000e+00     42s
    8115    7.3809831e+00   4.650840e+03   0.000000e+00     47s
    9137    7.3814872e+00   4.365320e+03   0.000000e+00     52s
   10159    7.7748542e+00   2.599870e+03   0.000000e+00     58s
   11246    7.9703264e+00   4.143836e+03   0.000000e+00     64s
   12396    7.9706490e+00   4.127642e+03   0.000000e+00     73s
   13761    7.9709947e+00   3.434096e+03   0.000000e+00     85s
   15271    7.9712895e+00   2.415208e+03   0.000000e+00     97s
   16825    7.9720596e+00   2.028801e+03   0.000000e+00    107s
   18656    8.5526071e+00   2.541182e+03   0.000000e+00    121s
   20770    8.5533357e+00   1.850573e+03   0.000000e+00    137s
   22731    8.9371402e+00   2.380683e+03   0.000000e+00    153s
   24936    9.6958072e+00   2.225210e+03   0.000000e+00    172s
   27351    1.0253323e+01   2.711522e+03   0.000000e+00    197s
   29766    1.0253916e+01   1.580641e+03   0.000000e+00    224s
   32181    1.0435353e+01   4.076012e+03   0.000000e+00    254s
   34596    1.0436181e+01   1.555814e+03   0.000000e+00    284s
   37011    1.0437039e+01   2.796301e+03   0.000000e+00    315s
   39426    1.0617379e+01   1.600562e+03   0.000000e+00    342s
   41841    1.0617746e+01   1.571331e+03   0.000000e+00    375s
   44256    1.0795468e+01   1.934215e+03   0.000000e+00    404s
   46671    1.0968873e+01   4.416199e+03   0.000000e+00    424s
   49086    1.0969676e+01   2.898783e+03   0.000000e+00    457s
   51501    1.0970437e+01   1.895082e+03   0.000000e+00    493s
   53916    1.0970635e+01   1.850139e+03   0.000000e+00    527s
   56331    1.0971198e+01   2.977443e+03   0.000000e+00    561s
   58746    1.1143219e+01   1.760546e+03   0.000000e+00    594s
   61161    1.1144382e+01   1.677445e+03   0.000000e+00    629s
   63576    1.1313681e+01   1.706221e+03   0.000000e+00    665s
   65991    1.1644708e+01   1.655212e+03   0.000000e+00    702s
   68406    1.1645659e+01   1.565087e+03   0.000000e+00    739s
   70821    1.1646268e+01   1.747955e+03   0.000000e+00    777s
   73236    1.1808756e+01   1.674712e+03   0.000000e+00    814s
   75651    1.1969832e+01   1.867034e+03   0.000000e+00    853s
   78066    1.2128698e+01   2.030575e+03   0.000000e+00    895s
   80481    1.2130232e+01   2.269857e+03   0.000000e+00    938s
   82896    1.2285395e+01   2.786518e+03   0.000000e+00    983s
   85311    1.2286146e+01   2.075754e+03   0.000000e+00   1018s
   87726    1.2436378e+01   2.702252e+03   0.000000e+00   1052s
   90141    1.2437015e+01   2.286877e+03   0.000000e+00   1089s
   92556    1.2437330e+01   1.808498e+03   0.000000e+00   1129s
   94971    1.2581346e+01   2.204768e+03   0.000000e+00   1168s
   97386    1.2583058e+01   2.671431e+03   0.000000e+00   1206s
   99801    1.2725525e+01   2.267687e+03   0.000000e+00   1238s
  102216    1.2726003e+01   1.953796e+03   0.000000e+00   1265s
  104631    1.2726367e+01   1.983133e+03   0.000000e+00   1292s
  107046    1.2726672e+01   1.882931e+03   0.000000e+00   1319s
  109405    1.2726821e+01   1.974661e+03   0.000000e+00   1347s
  111820    1.2727056e+01   3.115664e+03   0.000000e+00   1372s
  114235    1.2727392e+01   2.960818e+03   0.000000e+00   1403s
  116650    1.2867203e+01   3.038441e+03   0.000000e+00   1434s
  119065    1.3003071e+01   3.023742e+03   0.000000e+00   1467s
  121480    1.3004126e+01   2.429300e+03   0.000000e+00   1498s
  123895    1.3004736e+01   2.776525e+03   0.000000e+00   1533s
  126310    1.3138041e+01   3.650491e+03   0.000000e+00   1565s
  128725    1.3138548e+01   2.503746e+03   0.000000e+00   1595s
  131140    1.3139156e+01   2.450919e+03   0.000000e+00   1633s
  133555    1.3266177e+01   4.410590e+03   0.000000e+00   1666s
  135970    1.3267303e+01   3.137130e+03   0.000000e+00   1699s
  138385    1.3268039e+01   2.577255e+03   0.000000e+00   1736s
  140800    1.3386207e+01   3.372753e+03   0.000000e+00   1775s
  143215    1.3387264e+01   2.110196e+03   0.000000e+00   1806s
  145630    1.3387731e+01   2.578888e+03   0.000000e+00   1836s
  148045    1.3388092e+01   3.432299e+03   0.000000e+00   1862s
  150460    1.3388142e+01   1.031787e+03   0.000000e+00   1870s
  152875    1.3391704e+01   6.095059e+02   0.000000e+00   1875s
  155290    1.3391799e+01   6.855391e+02   0.000000e+00   1882s
  157705    1.3392863e+01   4.033887e+02   0.000000e+00   1893s
  160120    1.3393464e+01   5.361234e+02   0.000000e+00   1907s
  162535    1.3403531e+01   2.333321e+02   0.000000e+00   1915s
  164950    1.3409558e+01   2.033848e+02   0.000000e+00   1931s
  167365    1.3421649e+01   4.855274e+02   0.000000e+00   1940s
  169780    1.3428234e+01   2.533496e+02   0.000000e+00   1947s
  172195    1.3444869e+01   3.914649e+02   0.000000e+00   1963s
  174610    1.3451939e+01   1.615391e+02   0.000000e+00   1977s
  177025    1.3458009e+01   1.035450e+02   0.000000e+00   1982s
  179440    1.3468594e+01   1.175137e+02   0.000000e+00   1992s
  181855    1.3472274e+01   6.641328e+02   0.000000e+00   2014s
  184270    1.3474389e+01   7.747019e+02   0.000000e+00   2029s
  186685    1.3478661e+01   8.104981e+02   0.000000e+00   2057s
  189100    1.3479594e+01   1.698740e+03   0.000000e+00   2093s
  191515    1.3579982e+01   2.293115e+03   0.000000e+00   2123s
  193930    1.3580266e+01   1.088928e+03   0.000000e+00   2150s
  196345    1.3580401e+01   1.699008e+03   0.000000e+00   2165s
  198760    1.3580618e+01   1.637586e+03   0.000000e+00   2191s
  201175    1.3582212e+01   7.310487e+02   0.000000e+00   2204s
  203590    1.3583776e+01   8.158336e+02   0.000000e+00   2213s
  206005    1.3587353e+01   4.438962e+02   0.000000e+00   2223s
  208420    1.3589986e+01   4.394278e+02   0.000000e+00   2239s
  210835    1.3594089e+01   3.604889e+02   0.000000e+00   2251s
  213250    1.3602655e+01   3.423261e+02   0.000000e+00   2256s
  215665    1.3609179e+01   3.747234e+02   0.000000e+00   2266s
  218080    1.3610280e+01   3.351107e+02   0.000000e+00   2279s
  220495    1.3613474e+01   8.000625e+02   0.000000e+00   2297s
  222910    1.3620941e+01   1.973946e+02   0.000000e+00   2307s
  225325    1.3625641e+01   5.875840e+02   0.000000e+00   2327s
  227740    1.3629756e+01   4.515508e+02   0.000000e+00   2338s
  230155    1.3632980e+01   1.610369e+03   0.000000e+00   2356s
  232570    1.3633723e+01   1.853898e+03   0.000000e+00   2384s
  234985    1.3718190e+01   3.056703e+03   0.000000e+00   2415s
  237400    1.3718606e+01   1.357406e+03   0.000000e+00   2448s
  239815    1.3718994e+01   1.539868e+03   0.000000e+00   2479s
  242230    1.3725042e+01   6.274629e+02   0.000000e+00   2496s
  244645    1.3731247e+01   8.591426e+02   0.000000e+00   2509s
  247060    1.3737775e+01   8.514063e+02   0.000000e+00   2526s
  249475    1.3740919e+01   1.731368e+02   0.000000e+00   2540s
  251890    1.3746563e+01   3.074961e+02   0.000000e+00   2551s
  254305    1.3753215e+01   1.993770e+02   0.000000e+00   2565s
  256720    1.3758398e+01   1.458008e+02   0.000000e+00   2579s
  259135    1.3760151e+01   2.209338e+03   0.000000e+00   2598s
  261550    1.3839862e+01   1.543594e+03   0.000000e+00   2625s
  263965    1.3840245e+01   1.283902e+03   0.000000e+00   2648s
  266380    1.3845760e+01   1.327451e+03   0.000000e+00   2680s
  268795    1.3919251e+01   1.451537e+03   0.000000e+00   2711s
  271210    1.3919990e+01   1.725326e+03   0.000000e+00   2731s
  273625    1.3921157e+01   6.834141e+02   0.000000e+00   2747s
  276040    1.3924323e+01   9.373848e+02   0.000000e+00   2762s
  278455    1.3927470e+01   1.366817e+03   0.000000e+00   2775s
  280870    1.3942159e+01   1.031955e+03   0.000000e+00   2788s
  283285    1.3946755e+01   8.223817e+02   0.000000e+00   2814s
  285700    1.4014904e+01   1.117232e+03   0.000000e+00   2844s
  288115    1.4082995e+01   1.048021e+03   0.000000e+00   2874s
  290530    1.4085351e+01   7.832028e+02   0.000000e+00   2894s
  292945    1.4086078e+01   1.029346e+03   0.000000e+00   2912s
  295360    1.4088769e+01   3.447227e+02   0.000000e+00   2934s
  297775    1.4096449e+01   9.081449e+01   0.000000e+00   2947s
  300190    1.4108058e+01   1.188164e+02   0.000000e+00   2961s
  302605    1.4116266e+01   2.509180e+02   0.000000e+00   2975s
  305020    1.4120991e+01   2.050684e+02   0.000000e+00   2990s
  307435    1.4124795e+01   9.240137e+02   0.000000e+00   3005s
  309850    1.4181031e+01   1.109488e+03   0.000000e+00   3032s
  312265    1.4230831e+01   7.824493e+02   0.000000e+00   3055s
  314680    1.4232384e+01   3.325293e+02   0.000000e+00   3071s
  317095    1.4239580e+01   2.667774e+02   0.000000e+00   3084s
  319510    1.4244693e+01   6.552500e+02   0.000000e+00   3100s
  321925    1.4288356e+01   4.204866e+02   0.000000e+00   3117s
  324340    1.4295694e+01   5.945825e+02   0.000000e+00   3131s
  326755    1.4297442e+01   3.999671e+02   0.000000e+00   3145s
  329170    1.4336484e+01   4.689571e+02   0.000000e+00   3165s
  331585    1.4370982e+01   2.507322e+02   0.000000e+00   3181s
  334000    1.4372224e+01   1.303965e+02   0.000000e+00   3193s
  336415    1.4426707e+01   7.822465e+01   0.000000e+00   3200s
  338830    1.4475910e+01   2.406254e+01   0.000000e+00   3204s
  340757    1.4557561e+01   0.000000e+00   0.000000e+00   3206s

Root relaxation: objective 1.455689e+01, 340757 iterations, 3198.34 seconds
Total elapsed time = 3211.73s
Total elapsed time = 3216.53s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   14.55689    0  399 20055.4000   14.55689   100%     - 3218s
H    0     0                    2016.4000000   14.55689  99.3%     - 3600s

Explored 0 nodes (354415 simplex iterations) in 3600.08 seconds
Thread count was 1 (of 4 available processors)

Time limit reached
Best objective 2.016400000000e+03, best bound 1.455689223058e+01, gap 99.2781%
Tempo: 3594.3 segundos

0 254 10 10 14 16 11 
1 22 0 11 5 5 10 
1 91 1 12 2 10 7 
1 213 1 11 11 7 4 
2 163 1 11 1 3 10 
2 329 1 4 2 13 4 
2 360 0 4 3 7 5 
3 102 2 7 8 6 4 
3 188 4 5 4 10 16 
4 298 0 1 0 11 2 
5 174 1 2 3 14 6 
5 274 0 0 8 8 2 
6 184 4 12 11 7 10 
6 256 3 11 3 7 3 
7 222 1 7 2 1 7 
7 332 0 2 2 5 8 
8 132 1 9 6 2 4 
8 286 0 11 11 13 2 
8 339 0 2 4 4 0 
9 141 2 2 3 15 5 
9 151 0 1 1 9 4 
9 253 0 7 0 5 10 
10 230 0 3 1 9 1 
11 42 2 3 13 3 5 
11 113 2 3 13 4 3 
11 361 1 2 6 8 2 
12 57 1 1 6 11 1 
12 309 4 7 8 4 12 
13 45 1 8 13 4 7 
14 89 1 4 9 3 10 
14 359 2 11 2 11 7 
14 392 0 14 5 4 1 
15 83 2 2 4 16 11 
15 371 1 2 6 9 13 
16 99 1 4 2 9 10 
16 174 0 11 6 2 4 
16 240 0 0 7 7 13 
16 245 2 5 4 6 10 
17 187 0 6 14 5 5 
17 210 0 9 8 12 11 
18 29 1 4 5 9 4 
18 47 1 5 10 3 7 
18 148 0 2 9 3 5 
19 34 0 7 5 7 2 
19 37 4 10 6 10 3 
20 119 2 6 16 2 11 
20 255 1 14 7 2 1 
21 109 0 1 4 8 14 
21 136 0 9 11 10 8 
21 209 0 5 8 3 10 
22 60 4 11 6 6 11 
23 198 0 5 11 9 5 
23 391 0 1 11 10 5 
24 322 2 7 3 2 13 
25 217 0 3 10 4 10 
25 314 0 3 7 2 6 
26 203 1 2 4 11 4 
26 281 0 13 5 11 9 
27 372 0 13 3 3 7 
28 135 2 11 4 7 3 
28 169 2 4 10 5 8 
29 399 2 3 2 3 12 
30 247 2 9 5 6 3 
31 178 2 16 7 3 2 
31 272 2 7 2 4 9 
32 179 0 3 6 2 9 
32 216 1 4 8 7 1 
32 320 2 8 8 6 2 
33 215 0 2 3 7 4 
33 315 2 4 16 2 3 
34 224 1 3 1 13 3 
35 95 0 10 0 2 6 
35 306 0 4 7 6 1 
36 214 2 3 2 4 11 
36 226 0 8 11 4 2 
37 233 1 3 15 2 3 
38 46 0 10 2 2 6 
38 249 2 6 6 6 4 
39 174 0 1 9 6 11 
39 324 0 12 2 2 11 
40 295 1 3 9 1 3 
41 76 0 2 0 0 13 
41 248 3 2 9 6 3 
42 58 2 5 2 4 8 
42 130 0 2 3 7 12 
43 135 0 10 5 10 11 
43 330 2 15 2 9 5 
44 314 0 6 2 1 11 
44 316 0 12 1 2 1 
45 396 0 14 4 2 3 
46 62 0 4 8 4 12 
46 150 2 8 5 3 8 
47 357 0 9 8 12 0 
48 124 0 5 1 7 1 
49 257 1 13 3 11 4 
49 277 0 4 1 0 12 
50 52 1 4 10 10 7 
51 163 1 4 2 13 2 
52 114 0 14 11 0 4 
53 80 6 9 7 7 11 
54 89 1 1 2 9 10 
54 228 1 12 5 4 3 
55 162 1 2 13 10 1 
56 168 1 2 5 9 5 
56 223 2 3 8 3 6 
56 375 0 9 7 3 0 
57 234 0 2 2 4 10 
58 74 2 3 3 13 2 
58 162 2 5 2 2 3 
58 306 2 3 5 4 7 
59 145 0 7 0 7 4 
60 206 2 13 9 3 5 
