Rodando pra 1h
Optimize a model with 160044 rows, 239450 columns and 1195864 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 4e+02]
Presolve time: 2.20s
Presolved: 160044 rows, 239450 columns, 1195864 nonzeros
Variable types: 159625 continuous, 79825 integer (79825 binary)
Found heuristic solution: objective 20048.500000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.204779e+03   0.000000e+00      7s
    1284    6.9702723e-05   3.052607e+04   0.000000e+00     11s
    2339    1.5565758e-04   7.596456e+02   0.000000e+00     16s
    5848    2.9295978e-04   5.324037e+03   0.000000e+00     22s
    9189    3.4906880e-04   1.924905e+03   0.000000e+00     26s
   12180    4.5162819e-04   2.805432e+03   0.000000e+00     34s
   13387    6.0665210e-04   1.123826e+04   0.000000e+00     40s
   13935    7.4812087e-04   4.827913e+03   0.000000e+00     47s
   14547    1.2446461e-03   1.977987e+04   0.000000e+00     54s
   15402    4.0005880e+00   3.814100e+03   0.000000e+00     57s
   16321    4.0007311e+00   1.981139e+03   0.000000e+00     64s
   17102    4.0009078e+00   2.810021e+03   0.000000e+00     72s
   18058    4.0011410e+00   3.220445e+03   0.000000e+00     78s
   19016    4.0014272e+00   5.184955e+03   0.000000e+00     82s
   20191    6.1866273e+00   2.402540e+03   0.000000e+00     88s
   21351    7.1753235e+00   2.856090e+03   0.000000e+00     91s
   22275    7.1755210e+00   4.308278e+03   0.000000e+00    100s
   23580    7.1760959e+00   2.866000e+03   0.000000e+00    109s
   25154    7.1768076e+00   2.690168e+03   0.000000e+00    118s
   26405    7.3737262e+00   2.480183e+03   0.000000e+00    125s
   27702    7.7668128e+00   4.529752e+03   0.000000e+00    134s
   28990    7.7677610e+00   2.442606e+03   0.000000e+00    143s
   30727    8.5429411e+00   3.290418e+03   0.000000e+00    155s
   32320    8.9283944e+00   2.475639e+03   0.000000e+00    166s
   34360    9.6885764e+00   2.052393e+03   0.000000e+00    183s
   36775    1.0250280e+01   2.537514e+03   0.000000e+00    208s
   39190    1.0251558e+01   1.939150e+03   0.000000e+00    235s
   41601    1.0251871e+01   2.254180e+03   0.000000e+00    252s
   44016    1.0252456e+01   1.679795e+03   0.000000e+00    284s
   46431    1.0252811e+01   1.521820e+03   0.000000e+00    316s
   48846    1.0436119e+01   1.631740e+03   0.000000e+00    344s
   51261    1.0617462e+01   1.681416e+03   0.000000e+00    375s
   53676    1.0618552e+01   1.628762e+03   0.000000e+00    408s
   56091    1.0974363e+01   1.642016e+03   0.000000e+00    437s
   58506    1.1149724e+01   2.962487e+03   0.000000e+00    466s
   60921    1.1150143e+01   4.192707e+03   0.000000e+00    499s
   63336    1.1151172e+01   1.448492e+03   0.000000e+00    536s
   65751    1.1324326e+01   1.596516e+03   0.000000e+00    568s
   68166    1.1660408e+01   2.708583e+03   0.000000e+00    604s
   70581    1.1661516e+01   2.149794e+03   0.000000e+00    642s
   72905    1.1661572e+01   1.680813e+03   0.000000e+00    685s
   75320    1.1829233e+01   2.357779e+03   0.000000e+00    723s
   77735    1.1992046e+01   4.027723e+03   0.000000e+00    766s
   80150    1.1992892e+01   1.881553e+03   0.000000e+00    804s
   82565    1.1993528e+01   1.795152e+03   0.000000e+00    848s
   84980    1.2152526e+01   1.815256e+03   0.000000e+00    888s
   87395    1.2310333e+01   1.833219e+03   0.000000e+00    933s
   89810    1.2311441e+01   2.752548e+03   0.000000e+00    969s
   92225    1.2462539e+01   2.540775e+03   0.000000e+00   1006s
   94640    1.2463921e+01   1.835334e+03   0.000000e+00   1032s
   97055    1.2609953e+01   2.538383e+03   0.000000e+00   1060s
   99470    1.2610619e+01   1.976016e+03   0.000000e+00   1085s
  101885    1.2753865e+01   2.002081e+03   0.000000e+00   1112s
  104300    1.2755465e+01   1.772307e+03   0.000000e+00   1139s
  106715    1.2894846e+01   2.305145e+03   0.000000e+00   1166s
  109130    1.3030487e+01   2.036575e+03   0.000000e+00   1192s
  111545    1.3030629e+01   4.367197e+03   0.000000e+00   1205s
  113960    1.3031200e+01   2.182594e+03   0.000000e+00   1233s
  116375    1.3031646e+01   2.562955e+03   0.000000e+00   1262s
  118790    1.3164699e+01   3.460684e+03   0.000000e+00   1290s
