Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Best LB,GS,,FER1,,FER2,
,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z
5.1,121.30,1.75s,121.30,0.09s,121.30,0.13s,121.30,189.40,4.61s,189.40,0.16s,189.40,0.12s,189.40
5.2,102.40,2.05s,102.40,0.07s,102.40,0.09s,102.40,192.99,7.40s,193.00,0.09s,193.00,0.09s,193.00
5.3,117.20,1.87s,117.20,0.12s,117.20,0.07s,117.20,111.40,3.44s,111.40,0.16s,111.40,0.14s,111.40
7.1,139.40,6.78s,139.40,1.09s,139.40,5.58s,139.40,248.68,100.78s,248.70,8.56s,248.70,8.32s,248.70
7.2,143.00,20.49s,143.00,0.42s,143.00,0.80s,143.00,278.97,1406.47s,279.00,8.30s,279.00,9.88s,279.00
7.3,116.80,17.91s,116.80,0.28s,116.80,0.18s,116.80,173.80,18.81s,173.80,3.63s,173.80,1.36s,173.80
10.1,221.08,227.55s,221.10,16.84s,221.10,13.04s,221.10,338.60_{23},2.69 %,347.70,481.87s,338.60,1284.45s,338.60
10.2,217.78,63.73s,217.80,11.87s,217.80,2.59s,217.80,358.40_{3},13.95 %,408.40,11.27 %,398.80,11.27 %,398.80
10.3,155.99,38.66s,156.00,16.07s,156.00,15.06s,156.00,241.38,1077.45s,241.40,35.44s,241.40,82.27s,241.40
15.1,252.10_{23},0.00 %,252.10,333.35s,252.10,99.56s,252.10,373.90_{3},42.02 %,531.00,37.10 %,512.60,37.23 %,513.10
15.2,192.78,1287.74s,192.80,57.75s,192.80,54.73s,192.80,399.60_{23},60.61 %,641.80,56.66 %,626.00,57.01 %,627.40
15.3,176.18,1013.12s,176.20,149.61s,176.20,158.04s,176.20,292.20_{3},10.40 %,322.60,10.40 %,322.60,10.40 %,322.60
20.1,285.90_{3},24.87 %,357.00,21.48 %,347.30,21.48 %,347.30,474.40_{2},63.49 %,775.60,60.37 %,760.80,58.64 %,752.60
20.2,235.20_{23},0.00 %,235.20,2806.35s,235.20,485.36s,235.20,252.00_{2},48.49 %,374.20,47.30 %,371.20,47.30 %,371.20
20.3,185.70_{3},1.24 %,188.00,0.00 %,185.70,1212.46s,185.70,321.13_{1},80.21 %,578.70,102.88 %,651.50,102.88 %,651.50
25.1,323.80_{2},36.69 %,442.60,29.83 %,420.40,31.81 %,426.80,551.40_{3},71.74 %,947.00,66.34 %,917.20,64.13 %,905.00
25.2,349.40_{2},29.08 %,451.00,23.24 %,430.60,24.21 %,434.00,232.00_{2},83.28 %,425.20,76.21 %,408.80,76.55 %,409.60
25.3,215.35_{13},14.93 %,247.50,13.49 %,244.40,13.49 %,244.40,442.60_{2},89.86 %,840.30,56.67 %,693.40,84.57 %,816.90
30.1,358.85_{1},51.87 %,545.00,47.19 %,528.20,44.46 %,518.40,646.40_{2},84.68 %,1193.80,69.96 %,1098.60,69.86 %,1098.00
30.2,367.18_{1},38.68 %,509.20,36.50 %,501.20,36.39 %,500.80,308.45_{1},153.92 %,783.20,93.16 %,595.80,152.23 %,778.00
30.3,229.70_{2},19.90 %,275.40,18.02 %,271.10,18.02 %,271.10,521.50_{2},84.87 %,964.10,63.62 %,853.30,88.36 %,982.30
35.1,451.76_{1},83.24 %,827.80,78.68 %,807.20,76.29 %,796.40,335.40_{2},105.96 %,690.80,55.75 %,522.40,101.43 %,675.60
35.2,418.40_{3},59.37 %,666.80,54.66 %,647.10,54.83 %,647.80,493.00_{2},89.68 %,935.10,64.38 %,810.40,70.49 %,840.50
35.3,248.40_{2},20.21 %,298.60,18.84 %,295.20,18.84 %,295.20,439.80_{2},227.19 %,1439.00,191.00 %,1279.80,226.56 %,1436.20
40.1,493.20_{1},83.13 %,903.20,83.49 %,905.00,82.76 %,901.40,315.20_{2},182.17 %,889.40,70.94 %,538.80,77.54 %,559.60
40.2,454.92_{1},67.83 %,763.50,58.07 %,719.10,60.80 %,731.50,312.80_{3},318.16 %,1308.00,197.35 %,930.10,204.38 %,952.10
40.3,246.00_{2},29.59 %,318.80,26.67 %,311.60,27.07 %,312.60,432.00_{3},277.92 %,1632.60,284.17 %,1659.60,284.44 %,1660.80
45.1,660.95_{1},79.38 %,1185.60,71.43 %,1133.10,67.36 %,1106.20,327.50_{1},209.53 %,1013.70,162.23 %,858.80,163.42 %,862.70
45.2,565.29_{1},60.84 %,909.20,54.68 %,874.40,54.26 %,872.00,462.60_{3},225.25 %,1504.60,241.76 %,1581.00,244.49 %,1593.60
