Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
5.1,2.7E+03,1.40s ,175.86,5.8E+03,5.60s,175.86,3.7E+04,31.36s ,175.86,6.3E+03,2.85s ,214.00,2.8E+03,0.41s ,214.00,1.2E+02,0.04s ,214.00
5.2,3.8E+03,1.47s ,127.50,2.3E+03,3.79s ,127.50,5.3E+03,2.82s ,127.50,1.3E+03,0.86s ,157.29,3.5E+03,2.64s ,157.29,2.3E+04,15.18s ,157.29
5.3,2.8E+03,0.57s ,120.25,2.9E+03,0.54s ,120.25,5.7E+02,0.16s ,120.25,4.7E+03,2.04s ,119.17,1.7E+03,1.46s ,119.17,2.1E+03,0.72s ,119.17
7.1,2.7E+04,20.02s ,213.75,4.7E+03,5.97s ,213.75,4.7E+03,3.90s ,213.75,3.9E+04,18.87s ,251.00,1.4E+05,206.01s ,251.00,3.4E+05,542.32s ,251.00
7.2,4.7E+04,40.91s ,216.50,2.8E+03,1.64s ,216.50,3.5E+03,0.80s ,216.50,5.1E+04,29.14s ,263.75,4.1E+04,25.42s ,263.75,6.5E+04,40.89s ,263.75
7.3,3.9E+03,2.67s ,123.14,6.8E+03,3.94s ,123.14,1.6E+04,15.21s ,123.14,1.8E+05,205.88s ,296.00,1.9E+04,9.93s ,296.00,2.0E+04,7.86s ,296.00
10.1,2.0E+06,7.55 %,337.57,3.5E+06,20.86 %,337.57,4.5E+05,26.91 %,337.57,1.8E+06,25.44 %,397.00,4.6E+05,861.32s ,365.50,3.5E+05,422.47s ,365.50
10.2,8.0E+04,139.78s ,281.50,1.6E+06,2257.91s ,281.50,1.7E+06,7.40 %,281.50,1.7E+06,2559.58s ,342.00,7.1E+05,23.85 %,342.00,4.0E+05,33.84 %,344.86
