Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
5.1,9.3E+03,2.56s ,167.25,3.0E+03,1.55s ,167.25,8.0E+03,3.11s ,167.25,9.9E+03,3.08s ,174.00,2.6E+03,1.10s ,174.00,2.2E+04,4.62s ,174.00
5.2,4.4E+03,1.62s ,118.50,3.4E+03,0.37s ,118.50,1.6E+03,0.21s ,118.50,1.3E+04,4.56s ,131.00,3.6E+03,0.49s ,131.00,1.9E+03,0.27s ,131.00
5.3,2.2E+03,0.85s ,112.50,2.8E+03,3.07s ,112.50,1.8E+04,9.00s ,112.50,1.8E+03,1.20s ,72.50,1.5E+03,1.77s ,72.50,2.7E+03,0.63s ,72.50
7.1,4.9E+04,17.79s ,187.75,4.3E+04,16.62s ,187.75,5.9E+04,20.17s ,187.75,3.3E+05,107.72s ,221.75,5.5E+05,175.89s ,221.75,2.7E+05,80.50s ,221.75
7.2,2.4E+05,84.84s ,176.50,1.7E+04,3.74s ,176.50,2.4E+04,6.13s ,176.50,7.2E+04,24.48s ,183.50,2.0E+04,5.51s ,183.50,1.8E+04,4.31s ,183.50
7.3,2.0E+04,9.05s ,121.00,1.4E+04,8.08s ,121.00,3.5E+04,25.85s ,121.00,1.1E+04,4.50s ,137.83,1.6E+03,2.22s ,137.83,1.6E+04,9.85s ,137.83
10.1,5.2E+06,33.74 %,297.50,6.7E+06,16.30 %,297.50,7.4E+06,41.51 %,297.50,7.1E+06,22.12 %,312.00,7.1E+06,23.25 %,314.00,5.4E+06,45.91 %,312.00
10.2,5.5E+06,29.47 %,266.00,3.0E+05,98.46s ,262.50,7.9E+05,257.52s ,262.50,5.1E+06,32.51 %,274.00,3.4E+06,1274.97s ,274.00,1.3E+06,601.75s ,274.00
