Rodando pra 1h

Optimize a model with 90087 rows, 134622 columns and 3314711 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 6 rows and 6 columns (presolve time = 5s) ...
Presolve removed 6 rows and 6 columns (presolve time = 10s) ...
Presolve removed 6 rows and 6 columns (presolve time = 15s) ...
Presolve removed 6 rows and 6 columns (presolve time = 20s) ...
Presolve removed 6 rows and 6 columns (presolve time = 25s) ...
Presolve removed 6 rows and 6 columns (presolve time = 31s) ...
Presolve removed 6 rows and 6 columns (presolve time = 35s) ...
Presolve removed 6 rows and 6 columns
Presolve time: 38.55s
Presolved: 90081 rows, 134616 columns, 3314699 nonzeros
Variable types: 89700 continuous, 44916 integer (44914 binary)
Optimize a model with 90081 rows, 134616 columns and 3314699 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 90081 rows, 134616 columns, 3314699 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.105840e+02   0.000000e+00     45s
    2001    2.8406660e-04   1.214392e+04   0.000000e+00     50s
    3191    6.2957944e-04   7.146342e+03   0.000000e+00     56s
    4342    8.1028990e-04   1.292077e+04   0.000000e+00     64s
    4642    8.3301171e-04   1.694960e+04   0.000000e+00     66s
    5341    9.5940136e-04   1.081573e+05   0.000000e+00     71s
    5913    1.1386121e-03   1.431111e+04   0.000000e+00     77s
    6357    1.3721237e-03   6.516712e+04   0.000000e+00     81s
    7707    6.0157293e+00   1.796034e+04   0.000000e+00     87s
    8246    6.0158421e+00   1.545888e+04   0.000000e+00     90s
    9548    6.0159382e+00   1.729163e+04   0.000000e+00     98s
   10274    6.0159780e+00   1.821065e+04   0.000000e+00    102s
   10743    6.0160647e+00   1.546689e+04   0.000000e+00    105s
   11763    6.0162428e+00   2.121831e+04   0.000000e+00    111s
   12323    6.0163412e+00   1.561303e+04   0.000000e+00    115s
   13457    6.0172577e+00   1.761601e+04   0.000000e+00    122s
   14084    6.0177897e+00   2.318672e+04   0.000000e+00    126s
   14727    6.0182912e+00   2.222133e+04   0.000000e+00    130s
   15399    6.0188186e+00   1.900233e+04   0.000000e+00    135s
   16105    6.0193975e+00   1.765023e+04   0.000000e+00    141s
   16852    6.0200537e+00   2.465917e+04   0.000000e+00    147s
   17939    6.2913783e+00   3.791830e+04   0.000000e+00    155s
   19771    6.6957477e+00   3.562072e+04   0.000000e+00    170s
   21363    7.2107262e+00   3.196018e+04   0.000000e+00    185s
   23025    7.3317165e+00   2.147870e+04   0.000000e+00    201s
   24687    7.5080667e+00   2.622669e+04   0.000000e+00    219s
   26349    7.7244873e+00   1.236529e+04   0.000000e+00    237s
   28011    7.8350007e+00   9.052049e+03   0.000000e+00    256s
   29673    7.9730300e+00   2.306819e+04   0.000000e+00    275s
   31335    8.0521537e+00   9.015741e+03   0.000000e+00    292s
   32997    8.1324530e+00   1.277594e+04   0.000000e+00    312s
   34659    8.3226242e+00   7.830764e+03   0.000000e+00    325s
   36321    8.4646054e+00   1.843827e+04   0.000000e+00    339s
   37983    8.5794984e+00   1.714840e+03   0.000000e+00    356s
   39645    8.6514225e+00   1.584982e+04   0.000000e+00    377s
   41307    8.7645651e+00   2.682324e+03   0.000000e+00    390s
   42969    8.8338198e+00   1.029778e+04   0.000000e+00    403s
   44631    8.9301182e+00   6.980432e+03   0.000000e+00    416s
   46293    9.0009712e+00   2.073519e+04   0.000000e+00    429s
   47955    9.1176888e+00   9.469238e+03   0.000000e+00    441s
   49617    9.2585230e+00   1.181679e+03   0.000000e+00    450s
   51279    9.3231075e+00   1.171065e+03   0.000000e+00    456s
   52941    9.3822364e+00   5.515346e+02   0.000000e+00    465s
   54603    9.4507190e+00   1.896528e+03   0.000000e+00    473s
   56265    9.5735588e+00   6.933126e+02   0.000000e+00    481s
   57927    9.6303177e+00   6.305262e+02   0.000000e+00    486s
   60790    9.7158924e+00   1.409280e+02   0.000000e+00    497s
   61504    9.7248782e+00   1.225833e+02   0.000000e+00    505s
   62203    9.7315057e+00   1.660844e+02   0.000000e+00    512s
   62888    9.7382490e+00   1.017293e+02   0.000000e+00    519s
   63624    9.7447139e+00   4.229999e+02   0.000000e+00    527s
   64373    9.7522094e+00   9.029752e+02   0.000000e+00    534s
   65119    9.7585983e+00   4.850575e+02   0.000000e+00    541s
   65821    9.7632228e+00   1.139002e+02   0.000000e+00    549s
   66592    9.7675760e+00   7.554399e+02   0.000000e+00    556s
   67295    9.7717868e+00   3.655577e+02   0.000000e+00    563s
   68021    9.7760780e+00   3.909157e+02   0.000000e+00    571s
   68808    9.7799870e+00   1.997047e+02   0.000000e+00    579s
   69571    9.7855819e+00   3.092117e+02   0.000000e+00    586s
   70312    9.7888741e+00   2.985709e+02   0.000000e+00    594s
   71071    9.7918928e+00   7.133700e+02   0.000000e+00    602s
   71847    9.7954598e+00   2.641120e+02   0.000000e+00    610s
   72653    9.7988366e+00   3.897451e+02   0.000000e+00    618s
   73424    9.8032799e+00   3.540652e+02   0.000000e+00    626s
   74202    9.8067969e+00   3.798756e+02   0.000000e+00    633s
   74938    9.8100604e+00   7.923028e+01   0.000000e+00    640s
   75733    9.8135311e+00   3.155551e+02   0.000000e+00    648s
   76491    9.8167645e+00   8.111971e+01   0.000000e+00    656s
   77304    9.8205342e+00   3.230827e+02   0.000000e+00    664s
   78072    9.8236013e+00   8.962345e+01   0.000000e+00    672s
   78871    9.8264209e+00   3.485367e+02   0.000000e+00    680s
   79654    9.8297207e+00   1.823773e+02   0.000000e+00    688s
   80485    9.8326077e+00   8.217563e+01   0.000000e+00    696s
   81279    9.8355841e+00   8.146073e+01   0.000000e+00    704s
   82058    9.8382769e+00   3.255722e+02   0.000000e+00    712s
   82901    9.8410820e+00   4.538656e+02   0.000000e+00    720s
   83660    9.8437245e+00   1.792122e+02   0.000000e+00    728s
   84458    9.8465807e+00   7.870080e+01   0.000000e+00    736s
   85283    9.8487030e+00   6.827502e+01   0.000000e+00    743s
   86122    9.8514739e+00   1.039989e+02   0.000000e+00    752s
   87004    9.8539836e+00   5.059620e+02   0.000000e+00    760s
   87833    9.8563592e+00   1.995671e+02   0.000000e+00    768s
   88594    9.8585939e+00   1.057950e+02   0.000000e+00    776s
   89396    9.8607328e+00   3.407099e+02   0.000000e+00    784s
   90197    9.8628986e+00   1.200138e+02   0.000000e+00    792s
