Rodando pra 1h

Optimize a model with 90087 rows, 134622 columns and 3314559 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 6 rows and 6 columns (presolve time = 5s) ...
Presolve removed 6 rows and 6 columns (presolve time = 10s) ...
Presolve removed 6 rows and 6 columns (presolve time = 15s) ...
Presolve removed 6 rows and 6 columns (presolve time = 21s) ...
Presolve removed 6 rows and 6 columns (presolve time = 25s) ...
Presolve removed 6 rows and 6 columns (presolve time = 30s) ...
Presolve removed 6 rows and 6 columns (presolve time = 37s) ...
Presolve removed 6 rows and 6 columns (presolve time = 41s) ...
Presolve removed 6 rows and 6 columns (presolve time = 45s) ...
Presolve removed 6 rows and 6 columns
Presolve time: 45.02s
Presolved: 90081 rows, 134616 columns, 3314547 nonzeros
Variable types: 89700 continuous, 44916 integer (44914 binary)
Optimize a model with 90081 rows, 134616 columns and 3314547 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 90081 rows, 134616 columns, 3314547 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.105840e+02   0.000000e+00     52s
    1174    1.3820976e-04   3.093164e+03   0.000000e+00     56s
    2463    6.6702476e-04   3.711786e+04   0.000000e+00     61s
    3442    8.9081478e-04   5.179708e+04   0.000000e+00     65s
    4277    1.0420265e-03   2.594203e+04   0.000000e+00     70s
    5067    1.2031623e-03   9.035083e+04   0.000000e+00     77s
    5661    1.4346665e-03   5.882111e+04   0.000000e+00     81s
    6382    1.4522381e-03   8.599863e+04   0.000000e+00     89s
    7042    1.4952212e-03   8.640461e+04   0.000000e+00     96s
    7971    1.5740704e-03   1.124035e+05   0.000000e+00    106s
    8729    2.8785410e-03   5.307280e+04   0.000000e+00    111s
    9470    4.0837704e-03   5.862627e+04   0.000000e+00    116s
   10147    4.7813452e-03   3.971577e+04   0.000000e+00    120s
   10993    5.2695028e-03   5.660650e+04   0.000000e+00    126s
   11869    5.8784825e-03   8.699326e+04   0.000000e+00    133s
   12078    6.5115002e-03   2.243695e+06   0.000000e+00    135s
   14028    8.3172692e+00   3.781956e+04   0.000000e+00    142s
   14573    8.3174424e+00   2.951199e+04   0.000000e+00    145s
   15785    8.3177617e+00   3.186781e+04   0.000000e+00    151s
   17260    8.3179652e+00   3.491975e+04   0.000000e+00    159s
   17986    8.3181173e+00   2.902755e+04   0.000000e+00    163s
   18713    8.3182911e+00   3.888486e+04   0.000000e+00    167s
   19488    8.3185197e+00   3.014763e+04   0.000000e+00    172s
   20119    8.3200187e+00   3.701280e+04   0.000000e+00    176s
   20791    8.3211945e+00   3.523606e+04   0.000000e+00    180s
   22300    8.4329771e+00   2.699995e+04   0.000000e+00    190s
   23346    8.5736383e+00   1.897418e+04   0.000000e+00    198s
   24051    8.5996226e+00   3.447571e+04   0.000000e+00    203s
   25271    8.6691349e+00   2.284218e+04   0.000000e+00    213s
   26725    8.7564207e+00   2.049890e+04   0.000000e+00    225s
   28259    8.8122435e+00   2.965008e+04   0.000000e+00    239s
   29220    8.8421516e+00   2.522286e+04   0.000000e+00    248s
   30663    8.9407775e+00   1.290390e+04   0.000000e+00    262s
   32325    9.0112579e+00   2.089504e+04   0.000000e+00    278s
   33730    9.0842786e+00   2.207455e+04   0.000000e+00    293s
   34986    9.1144110e+00   3.172122e+04   0.000000e+00    306s
   36648    9.1842973e+00   2.145369e+04   0.000000e+00    318s
   38310    9.2566533e+00   1.601277e+04   0.000000e+00    330s
   39959    9.3112787e+00   1.679822e+04   0.000000e+00    342s
   41621    9.3525552e+00   1.463043e+04   0.000000e+00    354s
   43283    9.3960310e+00   1.039369e+04   0.000000e+00    366s
   44945    9.4547975e+00   1.047083e+04   0.000000e+00    377s
   46607    9.5048122e+00   7.349678e+03   0.000000e+00    388s
   48269    9.5900570e+00   4.231559e+03   0.000000e+00    402s
   49931    9.6337815e+00   5.140449e+03   0.000000e+00    413s
   51593    9.6961782e+00   1.495396e+03   0.000000e+00    418s
   53255    9.7247777e+00   1.339654e+03   0.000000e+00    422s
   54917    9.7687845e+00   5.349551e+02   0.000000e+00    426s
   56579    9.7989346e+00   3.474155e+02   0.000000e+00    433s
   58241    9.8316416e+00   4.289192e+02   0.000000e+00    439s
   59903    9.8565650e+00   9.375081e+01   0.000000e+00    445s
   61565    9.8878283e+00   3.934855e+01   0.000000e+00    449s
   62561    9.8895518e+00   7.401220e+02   0.000000e+00    459s
   63531    9.8911017e+00   7.337675e+01   0.000000e+00    468s
   64445    9.8925981e+00   1.100259e+02   0.000000e+00    476s
   65412    9.8941839e+00   2.146706e+02   0.000000e+00    485s
   66364    9.8954793e+00   8.566815e+01   0.000000e+00    493s
