Rodando pra 1h

Optimize a model with 160087 rows, 239472 columns and 5897575 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 1 rows and 1 columns (presolve time = 6s) ...
Presolve removed 1 rows and 1 columns (presolve time = 10s) ...
Presolve removed 1 rows and 1 columns (presolve time = 15s) ...
Presolve removed 1 rows and 1 columns (presolve time = 21s) ...
Presolve removed 1 rows and 1 columns (presolve time = 25s) ...
Presolve removed 1 rows and 1 columns (presolve time = 30s) ...
Presolve removed 1 rows and 1 columns (presolve time = 35s) ...
Presolve removed 1 rows and 1 columns (presolve time = 40s) ...
Presolve removed 1 rows and 1 columns (presolve time = 45s) ...
Presolve removed 1 rows and 1 columns
Presolve time: 45.06s
Presolved: 160086 rows, 239471 columns, 5897573 nonzeros
Variable types: 159600 continuous, 79871 integer (79864 binary)
Optimize a model with 160086 rows, 239471 columns and 5897573 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 160086 rows, 239471 columns, 5897573 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.210779e+03   0.000000e+00     54s
    1219    1.1549242e-04   6.593888e+03   0.000000e+00     56s
    2189    4.3443443e-04   9.499110e+03   0.000000e+00     60s
    3076    7.1630813e-04   3.041205e+04   0.000000e+00     66s
    3740    8.6816955e-04   1.893190e+04   0.000000e+00     71s
    4760    1.1441534e-03   3.062140e+04   0.000000e+00     77s
    5200    1.3442597e-03   1.548261e+05   0.000000e+00     80s
    6080    1.6654408e-03   6.619166e+04   0.000000e+00     87s
    6597    1.8622743e-03   3.037106e+04   0.000000e+00     91s
    8788    4.3190604e+00   1.437884e+04   0.000000e+00     98s
    9427    4.3191999e+00   1.547693e+04   0.000000e+00    102s
   10055    4.3194105e+00   1.800995e+04   0.000000e+00    106s
   10710    4.3196440e+00   1.157878e+04   0.000000e+00    110s
   11576    4.3196440e+00   1.544775e+04   0.000000e+00    116s
   12431    4.3197288e+00   2.020200e+04   0.000000e+00    121s
   13611    4.3198960e+00   2.291497e+04   0.000000e+00    128s
   14213    4.3199801e+00   1.851613e+04   0.000000e+00    132s
   14877    4.3200540e+00   1.578716e+04   0.000000e+00    137s
   15565    4.3201534e+00   2.074897e+04   0.000000e+00    141s
   16191    4.3210376e+00   1.776759e+04   0.000000e+00    146s
   16853    4.3214588e+00   2.768628e+04   0.000000e+00    151s
   17529    4.3218383e+00   2.139054e+04   0.000000e+00    156s
