Rodando pra 1h

Optimize a model with 160087 rows, 239472 columns and 5898399 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 1 rows and 1 columns (presolve time = 6s) ...
Presolve removed 1 rows and 1 columns (presolve time = 11s) ...
Presolve removed 1 rows and 1 columns (presolve time = 16s) ...
Presolve removed 1 rows and 1 columns (presolve time = 20s) ...
Presolve removed 1 rows and 1 columns (presolve time = 25s) ...
Presolve removed 1 rows and 1 columns (presolve time = 30s) ...
Presolve removed 1 rows and 1 columns (presolve time = 35s) ...
Presolve removed 1 rows and 1 columns (presolve time = 44s) ...
Presolve removed 1 rows and 1 columns
Presolve time: 43.93s
Presolved: 160086 rows, 239471 columns, 5898397 nonzeros
Variable types: 159600 continuous, 79871 integer (79864 binary)
Optimize a model with 160086 rows, 239471 columns and 5898397 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolved: 160086 rows, 239471 columns, 5898397 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.210779e+03   0.000000e+00     54s
    1213    1.3497142e-04   4.359059e+03   0.000000e+00     55s
    2258    4.1966425e-04   2.732336e+04   0.000000e+00     61s
    3201    5.1814839e-04   6.006069e+04   0.000000e+00     66s
    3941    8.3197939e-04   3.701839e+04   0.000000e+00     71s
    4655    9.8534896e-04   4.544411e+04   0.000000e+00     77s
    5136    1.0944632e-03   3.433081e+05   0.000000e+00     80s
    5986    1.2850972e-03   2.342020e+05   0.000000e+00     87s
    6419    1.3586625e-03   2.137441e+05   0.000000e+00     92s
    7138    1.4605944e-03   1.221560e+05   0.000000e+00    100s
    7843    1.6004081e-03   2.704739e+05   0.000000e+00    109s
    8162    1.7726329e-03   1.475750e+05   0.000000e+00    113s
    8499    1.8810402e-03   1.378722e+05   0.000000e+00    116s
    9097    2.0641243e-03   1.580006e+04   0.000000e+00    122s
    9513    2.2588516e-03   9.950883e+04   0.000000e+00    127s
   10872    4.7210413e+00   4.471677e+04   0.000000e+00    133s
   11721    4.7212818e+00   4.159365e+04   0.000000e+00    139s
   12615    4.7214303e+00   4.357457e+04   0.000000e+00    144s
   13631    4.7214710e+00   4.531794e+04   0.000000e+00    150s
   14660    4.7215773e+00   4.722557e+04   0.000000e+00    157s
   15773    4.7215892e+00   4.643228e+04   0.000000e+00    164s
   16958    4.7216620e+00   4.423287e+04   0.000000e+00    172s
   18236    4.7216876e+00   5.010034e+04   0.000000e+00    182s
   19090    4.7219160e+00   5.203473e+04   0.000000e+00    188s
   19973    4.7221313e+00   5.114025e+04   0.000000e+00    194s
   20928    4.7223325e+00   4.747939e+04   0.000000e+00    202s
   21927    4.7225587e+00   4.551651e+04   0.000000e+00    210s
   22948    4.7227809e+00   5.290089e+04   0.000000e+00    219s
   23957    4.7251230e+00   4.871022e+04   0.000000e+00    228s
   25006    4.7272175e+00   4.562622e+04   0.000000e+00    238s
   26174    4.9880515e+00   3.322184e+04   0.000000e+00    248s
   27834    5.1318914e+00   4.044666e+04   0.000000e+00    265s
   28948    5.2416112e+00   5.271004e+04   0.000000e+00    277s
   30765    5.4217823e+00   3.465449e+04   0.000000e+00    297s
   32171    5.4606905e+00   3.554167e+04   0.000000e+00    313s
   33628    5.5287522e+00   4.103319e+04   0.000000e+00    330s
   34467    5.5370379e+00   4.304951e+04   0.000000e+00    340s
   35197    5.5480949e+00   3.357705e+04   0.000000e+00    348s
   36214    5.5704143e+00   4.463131e+04   0.000000e+00    361s
   38106    5.6314270e+00   4.632014e+04   0.000000e+00    385s
   40521    5.7209639e+00   3.348534e+04   0.000000e+00    416s
   42936    5.8246895e+00   2.774050e+04   0.000000e+00    448s
   44509    5.8639441e+00   2.687763e+04   0.000000e+00    469s
   46130    5.9078683e+00   3.235755e+04   0.000000e+00    490s
   47068    5.9275151e+00   4.920464e+04   0.000000e+00    503s
   48877    5.9741656e+00   3.251074e+04   0.000000e+00    528s
   51292    6.0300196e+00   3.719188e+04   0.000000e+00    562s
   53354    6.0660280e+00   1.444810e+04   0.000000e+00    591s
   55591    6.1321659e+00   3.434802e+04   0.000000e+00    624s
   58006    6.2145555e+00   2.149122e+04   0.000000e+00    646s
   59779    6.2535591e+00   1.333554e+04   0.000000e+00    663s
   62194    6.3116207e+00   1.522533e+04   0.000000e+00    685s
   64609    6.4122449e+00   8.065664e+03   0.000000e+00    708s
   67024    6.4631981e+00   1.911964e+04   0.000000e+00    730s
   69439    6.4942407e+00   2.914527e+04   0.000000e+00    753s
   71854    6.5441460e+00   1.709190e+04   0.000000e+00    776s
   74269    6.5944766e+00   7.710751e+03   0.000000e+00    797s
   76684    6.6608123e+00   4.907766e+03   0.000000e+00    819s
   79099    6.7340565e+00   5.576421e+03   0.000000e+00    840s
   81514    6.8010293e+00   6.831022e+03   0.000000e+00    858s
   83929    6.8731102e+00   1.306033e+03   0.000000e+00    870s
   86344    6.9257655e+00   1.187567e+03   0.000000e+00    879s
   88759    6.9634057e+00   4.091289e+02   0.000000e+00    885s
   91174    6.9974373e+00   1.535574e+03   0.000000e+00    890s
   93589    7.0467627e+00   3.210282e+03   0.000000e+00    898s
   96004    7.0727609e+00   2.685474e+03   0.000000e+00    904s
   97451    7.0871046e+00   8.750451e+01   0.000000e+00    915s
   98468    7.0894543e+00   3.612367e+02   0.000000e+00    926s
   99504    7.0917722e+00   3.895462e+02   0.000000e+00    938s
  100591    7.0938168e+00   3.654327e+02   0.000000e+00    951s
  102012    7.1064249e+00   2.825461e+02   0.000000e+00    964s
  103843    7.1180129e+00   8.808628e+02   0.000000e+00    976s
  105120    7.1192381e+00   1.380977e+02   0.000000e+00    990s
  106240    7.1203157e+00   1.669856e+02   0.000000e+00   1002s
  107325    7.1213609e+00   6.380130e+01   0.000000e+00   1015s
  108478    7.1224973e+00   2.096721e+02   0.000000e+00   1028s
  109592    7.1235761e+00   9.608514e+01   0.000000e+00   1041s
  110785    7.1247531e+00   1.243690e+02   0.000000e+00   1054s
  111907    7.1257075e+00   2.356121e+02   0.000000e+00   1066s
  113083    7.1268010e+00   4.874107e+02   0.000000e+00   1079s
  114256    7.1278009e+00   8.141447e+01   0.000000e+00   1093s
  115438    7.1286723e+00   3.419437e+02   0.000000e+00   1106s
  116575    7.1294654e+00   1.643718e+02   0.000000e+00   1119s
  117776    7.1302399e+00   2.453438e+02   0.000000e+00   1133s
  118982    7.1310092e+00   1.263869e+02   0.000000e+00   1146s
  120149    7.1316992e+00   5.209534e+01   0.000000e+00   1159s
  121345    7.1324930e+00   6.954066e+01   0.000000e+00   1172s
  122517    7.1331924e+00   1.084668e+02   0.000000e+00   1186s
  123662    7.1338741e+00   1.657103e+02   0.000000e+00   1199s
  124838    7.1345945e+00   6.383193e+01   0.000000e+00   1212s
  125991    7.1352672e+00   1.108720e+02   0.000000e+00   1225s
  127151    7.1359479e+00   1.232500e+02   0.000000e+00   1238s
  128360    7.1369734e+00   1.015298e+02   0.000000e+00   1251s
  129568    7.1376100e+00   8.194226e+01   0.000000e+00   1265s
  130737    7.1382543e+00   1.024452e+02   0.000000e+00   1278s
  131925    7.1389316e+00   4.269733e+01   0.000000e+00   1291s
  133109    7.1395200e+00   1.043619e+02   0.000000e+00   1304s
  134349    7.1401756e+00   1.109204e+02   0.000000e+00   1318s
  135571    7.1409095e+00   1.244727e+02   0.000000e+00   1332s
  136743    7.1414982e+00   5.946020e+01   0.000000e+00   1345s
  137932    7.1421235e+00   1.055451e+02   0.000000e+00   1358s
  139167    7.1428152e+00   4.191350e+02   0.000000e+00   1372s
  140262    7.1433686e+00   1.057869e+02   0.000000e+00   1384s
  141395    7.1439010e+00   1.815301e+02   0.000000e+00   1397s
  142604    7.1445484e+00   1.082432e+02   0.000000e+00   1410s
  143822    7.1451992e+00   5.429656e+01   0.000000e+00   1424s
  144950    7.1457391e+00   9.369770e+01   0.000000e+00   1436s
  146098    7.1462969e+00   1.195204e+02   0.000000e+00   1449s
  147270    7.1468832e+00   5.425494e+01   0.000000e+00   1462s
  148452    7.1474294e+00   7.792521e+01   0.000000e+00   1475s
  149647    7.1480918e+00   1.000022e+02   0.000000e+00   1488s
  150851    7.1486878e+00   3.961290e+02   0.000000e+00   1502s
  152078    7.1492611e+00   3.553623e+02   0.000000e+00   1516s
  153335    7.1498698e+00   1.983183e+02   0.000000e+00   1530s
  154450    7.1504790e+00   1.279509e+02   0.000000e+00   1542s
  155594    7.1510522e+00   2.865055e+02   0.000000e+00   1555s
  156788    7.1515921e+00   1.666013e+02   0.000000e+00   1568s
  157958    7.1521418e+00   1.236597e+02   0.000000e+00   1581s
  159141    7.1527271e+00   1.537039e+02   0.000000e+00   1595s
  160347    7.1532880e+00   1.232797e+02   0.000000e+00   1608s
  161538    7.1539028e+00   9.275183e+01   0.000000e+00   1621s
  162728    7.1544402e+00   1.678139e+02   0.000000e+00   1634s
  163872    7.1549621e+00   1.168098e+02   0.000000e+00   1647s
  165094    7.1554806e+00   1.303991e+02   0.000000e+00   1660s
  166278    7.1560182e+00   6.927754e+01   0.000000e+00   1674s
  167394    7.1565169e+00   1.396339e+02   0.000000e+00   1686s
  168596    7.1570578e+00   1.977938e+02   0.000000e+00   1699s
  169832    7.1576780e+00   2.744862e+02   0.000000e+00   1713s
  170971    7.1582049e+00   3.407733e+02   0.000000e+00   1725s
  172173    7.1587536e+00   6.897931e+01   0.000000e+00   1738s
  173377    7.1593312e+00   1.531152e+02   0.000000e+00   1752s
  174592    7.1598713e+00   7.472613e+01   0.000000e+00   1765s
  175821    7.1604177e+00   1.183609e+02   0.000000e+00   1778s
  177025    7.1610375e+00   1.112079e+02   0.000000e+00   1792s
  178205    7.1615836e+00   1.337045e+02   0.000000e+00   1805s
  179476    7.1621901e+00   4.020989e+02   0.000000e+00   1818s
  180667    7.1627547e+00   4.203475e+02   0.000000e+00   1831s
  181821    7.1633349e+00   1.172230e+02   0.000000e+00   1844s
  183006    7.1638736e+00   7.776639e+01   0.000000e+00   1857s
  184243    7.1644318e+00   5.698807e+01   0.000000e+00   1870s
  185448    7.1649664e+00   3.247246e+03   0.000000e+00   1883s
  186626    7.1655176e+00   1.734361e+02   0.000000e+00   1896s
  187879    7.1661654e+00   2.560995e+02   0.000000e+00   1910s
  189086    7.1667740e+00   8.827065e+01   0.000000e+00   1923s
  190229    7.1673150e+00   3.145046e+01   0.000000e+00   1935s
  191381    7.1678435e+00   8.788453e+01   0.000000e+00   1948s
  192610    7.1684440e+00   3.134706e+01   0.000000e+00   1961s
