Rodando pra 1h

Optimize a model with 250087 rows, 374322 columns and 9220111 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Presolve removed 4 rows and 4 columns (presolve time = 15s) ...
Presolve removed 4 rows and 4 columns (presolve time = 20s) ...
Presolve removed 4 rows and 4 columns (presolve time = 27s) ...
Presolve removed 4 rows and 4 columns (presolve time = 31s) ...
Presolve removed 4 rows and 4 columns (presolve time = 35s) ...
Presolve removed 4 rows and 4 columns (presolve time = 41s) ...
Presolve removed 4 rows and 4 columns (presolve time = 46s) ...
Presolve removed 4 rows and 4 columns (presolve time = 52s) ...
Presolve removed 4 rows and 4 columns (presolve time = 55s) ...
Presolve removed 4 rows and 4 columns (presolve time = 61s) ...
Presolve removed 4 rows and 4 columns (presolve time = 66s) ...
Presolve removed 4 rows and 4 columns (presolve time = 72s) ...
Presolve removed 4 rows and 4 columns (presolve time = 75s) ...
Presolve removed 4 rows and 4 columns (presolve time = 81s) ...
Presolve removed 4 rows and 4 columns (presolve time = 86s) ...
Presolve removed 4 rows and 4 columns (presolve time = 91s) ...
Presolve removed 4 rows and 4 columns (presolve time = 95s) ...
Presolve removed 4 rows and 4 columns (presolve time = 100s) ...
Presolve removed 4 rows and 4 columns (presolve time = 106s) ...
Presolve removed 4 rows and 4 columns (presolve time = 116s) ...
Presolve removed 4 rows and 4 columns (presolve time = 131s) ...
Presolve removed 4 rows and 4 columns
Presolve time: 131.08s
Presolved: 250083 rows, 374318 columns, 9220103 nonzeros
Variable types: 249500 continuous, 124818 integer (124814 binary)
Optimize a model with 250083 rows, 374318 columns and 9220103 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 6s) ...
Presolved: 250083 rows, 374318 columns, 9220103 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.510975e+03   0.000000e+00    159s
    1573    3.2891530e-04   7.918741e+03   0.000000e+00    175s
    2030    3.5239432e-04   2.444369e+04   0.000000e+00    187s
    2385    4.2594559e-04   5.013772e+04   0.000000e+00    196s
    2758    4.8949297e-04   3.316874e+04   0.000000e+00    206s
    3064    6.2778747e-04   1.913351e+04   0.000000e+00    213s
    3538    7.3515762e-04   1.556131e+05   0.000000e+00    224s
    3927    8.7036586e-04   2.566256e+04   0.000000e+00    237s
    4204    8.9669868e-04   9.130323e+04   0.000000e+00    245s
    4479    9.5053595e-04   1.656983e+05   0.000000e+00    252s
    4879    1.0905376e-03   9.539930e+04   0.000000e+00    266s
    5419    1.1089806e-03   9.207608e+04   0.000000e+00    285s
    5756    1.1150287e-03   3.928496e+04   0.000000e+00    294s
    6103    1.1427480e-03   1.608041e+05   0.000000e+00    306s
    6395    1.3673657e-03   1.942170e+05   0.000000e+00    317s
    6727    1.4760356e-03   1.598482e+05   0.000000e+00    331s
    7011    1.5064604e-03   1.718759e+05   0.000000e+00    341s
    7734    1.5166769e-03   7.522316e+05   0.000000e+00    368s
    8083    1.6504904e-03   4.196244e+04   0.000000e+00    381s
    8352    1.8229128e-03   5.821282e+04   0.000000e+00    391s
    8645    1.9705772e-03   8.920674e+04   0.000000e+00    402s
    8998    2.1254667e-03   4.075767e+04   0.000000e+00    416s
    9297    2.2864819e-03   8.085606e+04   0.000000e+00    426s
    9566    2.5043331e-03   8.021270e+04   0.000000e+00    438s
   10555    2.6461872e-03   9.364835e+04   0.000000e+00    485s
   11216    2.7186404e-03   1.429417e+05   0.000000e+00    515s
   11814    2.9957004e-03   1.125273e+05   0.000000e+00    541s
   13209    3.0242441e-03   4.014435e+04   0.000000e+00    603s
   13765    3.2573836e-03   1.657314e+05   0.000000e+00    624s
   14034    3.6866890e-03   2.869704e+05   0.000000e+00    630s
   14328    3.8469639e-03   7.316350e+04   0.000000e+00    638s
   14622    2.6239734e-02   7.150881e+05   0.000000e+00    643s
   15483    8.3124112e+00   3.089501e+04   0.000000e+00    657s
   16353    8.3128685e+00   2.936651e+04   0.000000e+00    671s
   17246    8.3132896e+00   3.105780e+04   0.000000e+00    685s
   18122    8.3137858e+00   3.292246e+04   0.000000e+00    700s
   19031    8.3142893e+00   2.882514e+04   0.000000e+00    717s
   20284    8.3143229e+00   3.853340e+04   0.000000e+00    738s
   21393    8.3146413e+00   3.073390e+04   0.000000e+00    760s
   22232    8.3148804e+00   3.195262e+04   0.000000e+00    773s
   23080    8.3151325e+00   2.684274e+04   0.000000e+00    787s
   23975    8.3153568e+00   3.625407e+04   0.000000e+00    802s
   24890    8.3156071e+00   3.069077e+04   0.000000e+00    819s
   25818    8.3158393e+00   3.250996e+04   0.000000e+00    836s
   26718    8.3187789e+00   3.025668e+04   0.000000e+00    854s
   27652    8.3199953e+00   3.619884e+04   0.000000e+00    873s
   28631    8.3210208e+00   3.195217e+04   0.000000e+00    893s
   29644    8.3220225e+00   3.388341e+04   0.000000e+00    914s
   30686    8.3230032e+00   2.986673e+04   0.000000e+00    936s
   31748    8.3239663e+00   3.097678e+04   0.000000e+00    959s
   32813    8.3249799e+00   3.249739e+04   0.000000e+00    982s
   33958    8.3260682e+00   3.031741e+04   0.000000e+00   1008s
   35113    8.3271861e+00   3.249431e+04   0.000000e+00   1035s
   36310    8.3283446e+00   3.987312e+04   0.000000e+00   1064s
   37537    8.3295366e+00   3.428974e+04   0.000000e+00   1094s
   38870    8.3307774e+00   3.785080e+04   0.000000e+00   1128s
   40219    8.3320753e+00   3.130770e+04   0.000000e+00   1162s
   41625    8.3334109e+00   3.057593e+04   0.000000e+00   1199s
   43102    8.3349492e+00   3.415547e+04   0.000000e+00   1238s
   44619    8.4767140e+00   3.811886e+04   0.000000e+00   1278s
   45923    8.5551634e+00   3.361970e+04   0.000000e+00   1311s
   47169    8.7706284e+00   3.825143e+04   0.000000e+00   1344s
   48862    8.9436288e+00   4.319806e+04   0.000000e+00   1391s
   49614    8.9604348e+00   3.280279e+04   0.000000e+00   1412s
   50903    9.0388931e+00   3.063312e+04   0.000000e+00   1448s
   51963    9.1195539e+00   3.828510e+04   0.000000e+00   1479s
   53237    9.2337568e+00   4.135126e+04   0.000000e+00   1517s
   53883    9.2414314e+00   3.730665e+04   0.000000e+00   1536s
   54534    9.2473773e+00   2.868824e+04   0.000000e+00   1555s
   55848    9.3193185e+00   2.677720e+04   0.000000e+00   1594s
   57277    9.3879453e+00   2.279278e+04   0.000000e+00   1636s
   58556    9.4463759e+00   2.497690e+04   0.000000e+00   1674s
   59661    9.4849030e+00   2.918305e+04   0.000000e+00   1707s
   60421    9.4931891e+00   3.390093e+04   0.000000e+00   1729s
   61282    9.5074757e+00   3.559325e+04   0.000000e+00   1753s
   62109    9.5210179e+00   1.735653e+04   0.000000e+00   1777s
   62880    9.5282713e+00   1.604049e+04   0.000000e+00   1800s
   64189    9.5705075e+00   3.540569e+04   0.000000e+00   1839s
   65575    9.6156029e+00   2.342565e+04   0.000000e+00   1882s
   67182    9.7471236e+00   2.957620e+04   0.000000e+00   1934s
   68433    9.7866675e+00   2.838911e+04   0.000000e+00   1977s
   69612    9.8206605e+00   3.181983e+04   0.000000e+00   2018s
   70492    9.8286274e+00   2.805969e+04   0.000000e+00   2049s
   71560    9.8477825e+00   3.479751e+04   0.000000e+00   2086s
   73303    9.9566446e+00   5.375118e+04   0.000000e+00   2149s
   74711    1.0016169e+01   2.390077e+04   0.000000e+00   2200s
   75704    1.0025980e+01   3.331529e+04   0.000000e+00   2237s
   76713    1.0035127e+01   2.709779e+04   0.000000e+00   2275s
   78370    1.0090510e+01   2.191607e+04   0.000000e+00   2338s
   79542    1.0106195e+01   2.694672e+04   0.000000e+00   2383s
   81524    1.0194645e+01   1.732007e+04   0.000000e+00   2460s
   82928    1.0219756e+01   2.874115e+04   0.000000e+00   2515s
   84658    1.0302819e+01   2.605590e+04   0.000000e+00   2583s
   85841    1.0312827e+01   2.567554e+04   0.000000e+00   2630s
   87027    1.0320660e+01   2.281147e+04   0.000000e+00   2677s
   88668    1.0411296e+01   2.061573e+04   0.000000e+00   2742s
   91009    1.0495874e+01   2.128534e+04   0.000000e+00   2802s
   93296    1.0601936e+01   2.642102e+04   0.000000e+00   2857s
   95427    1.0659828e+01   2.339840e+04   0.000000e+00   2907s
   96927    1.0677271e+01   1.561999e+04   0.000000e+00   2944s
   99017    1.0733379e+01   1.427222e+04   0.000000e+00   2992s
  101510    1.0837928e+01   8.488921e+03   0.000000e+00   3054s
  104138    1.0912015e+01   1.034791e+04   0.000000e+00   3123s
  106891    1.1010745e+01   1.048843e+04   0.000000e+00   3197s
  109473    1.1079032e+01   9.400347e+03   0.000000e+00   3265s
  112178    1.1146585e+01   1.548155e+04   0.000000e+00   3335s
  114470    1.1186555e+01   1.118398e+04   0.000000e+00   3393s
  117354    1.1269452e+01   8.756419e+03   0.000000e+00   3464s
  119831    1.1311059e+01   1.946015e+04   0.000000e+00   3528s

Root relaxation: time limit, 122773 iterations, 3448.57 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0               -          -      -     - 3600s

Explored 0 nodes (122773 simplex iterations) in 3600.03 seconds
Thread count was 1 (of 4 available processors)

Time limit reached
Best objective -, best bound -, gap -
Tempo: 3595.67 segundos

Error code = 10004
Var::get
