Rodando pra 1h

Optimize a model with 250087 rows, 374322 columns and 9220135 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Presolve removed 2 rows and 2 columns (presolve time = 15s) ...
Presolve removed 2 rows and 2 columns (presolve time = 22s) ...
Presolve removed 2 rows and 2 columns (presolve time = 27s) ...
Presolve removed 2 rows and 2 columns (presolve time = 31s) ...
Presolve removed 2 rows and 2 columns (presolve time = 35s) ...
Presolve removed 2 rows and 2 columns (presolve time = 41s) ...
Presolve removed 2 rows and 2 columns (presolve time = 46s) ...
Presolve removed 2 rows and 2 columns (presolve time = 52s) ...
Presolve removed 2 rows and 2 columns (presolve time = 56s) ...
Presolve removed 2 rows and 2 columns (presolve time = 60s) ...
Presolve removed 2 rows and 2 columns (presolve time = 67s) ...
Presolve removed 2 rows and 2 columns (presolve time = 71s) ...
Presolve removed 2 rows and 2 columns (presolve time = 75s) ...
Presolve removed 2 rows and 2 columns (presolve time = 82s) ...
Presolve removed 2 rows and 2 columns (presolve time = 86s) ...
Presolve removed 2 rows and 2 columns (presolve time = 92s) ...
Presolve removed 2 rows and 2 columns (presolve time = 96s) ...
Presolve removed 2 rows and 2 columns (presolve time = 101s) ...
Presolve removed 2 rows and 2 columns (presolve time = 107s) ...
Presolve removed 2 rows and 2 columns (presolve time = 111s) ...
Presolve removed 2 rows and 2 columns (presolve time = 115s) ...
Presolve removed 2 rows and 2 columns (presolve time = 122s) ...
Presolve removed 2 rows and 2 columns (presolve time = 132s) ...
Presolve removed 2 rows and 2 columns (presolve time = 149s) ...
Presolve removed 2 rows and 2 columns
Presolve time: 149.43s
Presolved: 250085 rows, 374320 columns, 9220131 nonzeros
Variable types: 249500 continuous, 124820 integer (124814 binary)
Optimize a model with 250085 rows, 374320 columns and 9220131 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 6s) ...
Presolved: 250085 rows, 374320 columns, 9220131 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.510975e+03   0.000000e+00    181s
    1504    1.5765668e-04   5.703319e+04   0.000000e+00    191s
    1904    2.4328586e-04   1.579618e+03   0.000000e+00    198s
    2267    3.3677287e-04   9.800369e+03   0.000000e+00    207s
    2581    4.0802954e-04   6.483058e+03   0.000000e+00    214s
    2960    4.6650265e-04   1.194696e+04   0.000000e+00    221s
    3383    5.2330638e-04   5.060236e+03   0.000000e+00    228s
    3687    5.3233649e-04   4.237486e+03   0.000000e+00    237s
    4032    5.5394896e-04   5.030562e+03   0.000000e+00    248s
    4312    5.7930224e-04   4.720585e+03   0.000000e+00    257s
    4594    6.1659368e-04   5.363567e+03   0.000000e+00    265s
    4890    6.8814128e-04   9.064658e+03   0.000000e+00    275s
    5195    7.7376540e-04   2.346953e+04   0.000000e+00    283s
    5535    8.5561668e-04   4.196128e+05   0.000000e+00    293s
    5804    9.4789510e-04   5.117725e+03   0.000000e+00    302s
    6073    1.0308908e-03   1.522671e+04   0.000000e+00    310s
    6358    1.1038531e-03   2.877890e+04   0.000000e+00    318s
    6646    1.2238302e-03   8.507362e+03   0.000000e+00    327s
    6915    1.2864237e-03   8.167888e+03   0.000000e+00    336s
    7247    1.3191541e-03   4.590777e+03   0.000000e+00    347s
    7516    1.4117512e-03   1.041142e+04   0.000000e+00    357s
    7785    1.4887734e-03   1.040846e+05   0.000000e+00    366s
    8090    1.5283355e-03   8.039232e+03   0.000000e+00    372s
    8493    1.5752758e-03   5.927473e+03   0.000000e+00    382s
    8762    1.6788153e-03   9.734711e+03   0.000000e+00    391s
    9089    1.8206888e-03   1.180180e+04   0.000000e+00    403s
    9444    1.9191001e-03   7.628583e+03   0.000000e+00    417s
    9812    1.9717363e-03   1.223065e+04   0.000000e+00    428s
   10220    1.9906376e-03   1.137085e+04   0.000000e+00    432s
   10645    2.0034181e-03   1.317886e+04   0.000000e+00    437s
   11062    2.0124130e-03   2.206953e+04   0.000000e+00    440s
   11480    2.0251125e-03   2.208077e+04   0.000000e+00    445s
   12360    2.0392949e-03   3.280829e+04   0.000000e+00    453s
   12725    2.1900942e-03   2.460025e+04   0.000000e+00    461s
   13037    2.3007317e-03   3.605221e+04   0.000000e+00    468s
   13306    2.4131584e-03   3.918354e+04   0.000000e+00    475s
   13575    2.5954832e-03   3.353169e+04   0.000000e+00    483s
   13844    2.6280828e-03   2.215926e+04   0.000000e+00    486s
   14121    2.7175571e-03   3.243784e+04   0.000000e+00    493s
   14390    2.8073877e-03   1.412672e+04   0.000000e+00    501s
   14659    2.8929006e-03   4.881309e+04   0.000000e+00    507s
   14928    2.9966650e-03   1.702024e+04   0.000000e+00    515s
   15466    3.1831874e-03   5.877897e+04   0.000000e+00    527s
   15735    3.3039306e-03   3.821879e+04   0.000000e+00    533s
   16055    3.3479007e-03   3.462357e+04   0.000000e+00    537s
   16397    3.4808733e-03   5.991468e+04   0.000000e+00    545s
   16666    3.6515488e-03   4.452605e+04   0.000000e+00    550s
   16935    3.8006820e-03   3.011446e+04   0.000000e+00    557s
   17285    3.9273063e-03   2.083590e+04   0.000000e+00    565s
   17554    4.0391698e-03   9.066659e+04   0.000000e+00    571s
   17846    4.1660433e-03   2.259963e+04   0.000000e+00    578s
   18151    4.3073364e-03   9.720848e+04   0.000000e+00    586s
   18420    4.4591637e-03   2.171455e+04   0.000000e+00    593s
   18722    4.5441323e-03   1.716314e+05   0.000000e+00    599s
   18991    4.7167726e-03   3.170723e+04   0.000000e+00    606s
   19262    4.9293763e-03   2.426332e+04   0.000000e+00    614s
   19531    5.1495336e-03   1.096280e+05   0.000000e+00    621s
   19902    5.1971278e-03   1.304128e+05   0.000000e+00    626s
   20300    5.2728795e-03   1.125337e+05   0.000000e+00    634s
   20699    5.3135533e-03   1.191237e+05   0.000000e+00    640s
   21036    5.3915653e-03   1.633533e+05   0.000000e+00    647s
   21332    5.3926163e-03   1.348582e+05   0.000000e+00    652s
   21621    5.4138050e-03   1.561798e+05   0.000000e+00    658s
   21932    5.4285749e-03   1.611103e+05   0.000000e+00    663s
   22204    5.4992564e-03   2.016663e+05   0.000000e+00    672s
   22559    5.6119495e-03   1.670645e+04   0.000000e+00    684s
   23010    5.8447406e-03   6.893751e+04   0.000000e+00    700s
   23420    6.0192796e-03   1.950106e+04   0.000000e+00    712s
   23689    6.1535733e-03   2.125414e+04   0.000000e+00    720s
   24005    6.4304309e-03   3.082702e+04   0.000000e+00    731s
   24274    6.6136817e-03   5.709336e+04   0.000000e+00    738s
   24618    6.7050714e-03   6.583358e+04   0.000000e+00    744s
   25030    6.8710567e-03   6.913016e+04   0.000000e+00    757s
   25299    7.1434379e-03   4.540993e+04   0.000000e+00    766s
   25846    7.2377156e-03   6.032708e+04   0.000000e+00    782s
   26479    7.4319507e-03   1.584724e+04   0.000000e+00    804s
   26866    7.5575522e-03   2.666614e+04   0.000000e+00    814s
   27509    7.7354368e-03   4.891335e+05   0.000000e+00    837s
   27849    7.8702844e-03   5.519971e+04   0.000000e+00    846s
   28410    8.0964481e-03   3.767296e+04   0.000000e+00    868s
   29053    8.2945859e-03   5.196951e+05   0.000000e+00    890s
   29598    8.5894664e-03   3.426179e+04   0.000000e+00    906s
   30008    8.6713134e-03   7.606373e+04   0.000000e+00    917s
   31677    8.8457059e-03   5.675351e+04   0.000000e+00    972s
   33146    9.0808233e-03   1.324715e+05   0.000000e+00   1022s
   33564    9.1747424e-03   3.790792e+04   0.000000e+00   1033s
   34288    9.3361336e-03   3.491870e+05   0.000000e+00   1054s
   34734    3.4621368e+00   1.227564e+04   0.000000e+00   1063s
   35996    3.4631083e+00   1.350496e+04   0.000000e+00   1082s
   37245    3.4639957e+00   1.227728e+04   0.000000e+00   1101s
   38589    3.4647686e+00   1.177178e+04   0.000000e+00   1123s
   40049    3.4654540e+00   1.070433e+04   0.000000e+00   1147s
   41556    3.4663702e+00   1.142418e+04   0.000000e+00   1174s
   43143    3.4672959e+00   1.480435e+04   0.000000e+00   1204s
   44985    3.4678521e+00   1.605265e+04   0.000000e+00   1241s
   46855    3.4684748e+00   9.706358e+03   0.000000e+00   1281s
   48635    3.4698267e+00   1.160524e+04   0.000000e+00   1319s
   50574    3.8052437e+00   1.488286e+04   0.000000e+00   1363s
   51552    3.9139063e+00   2.112520e+04   0.000000e+00   1384s
   53130    4.0488526e+00   2.320967e+04   0.000000e+00   1419s
   53926    4.0640921e+00   1.201821e+04   0.000000e+00   1437s
   54780    4.0887630e+00   2.432584e+04   0.000000e+00   1456s
   55832    4.1286652e+00   1.241503e+04   0.000000e+00   1480s
   56833    4.1824007e+00   2.186495e+04   0.000000e+00   1504s
   58248    4.2549805e+00   1.815574e+04   0.000000e+00   1538s
   59923    4.3449780e+00   1.722715e+04   0.000000e+00   1580s
   61251    4.4089925e+00   1.193440e+04   0.000000e+00   1613s
   62620    4.4695842e+00   2.375814e+04   0.000000e+00   1648s
   64450    4.5952675e+00   1.337772e+04   0.000000e+00   1698s
   65995    4.7087045e+00   1.424805e+04   0.000000e+00   1742s
   67193    4.7345543e+00   2.092656e+04   0.000000e+00   1779s
