Rodando pra 1h

Optimize a model with 360087 rows, 539172 columns and 13279087 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 12s) ...
Presolve removed 1 rows and 1 columns (presolve time = 18s) ...
Presolve removed 1 rows and 1 columns (presolve time = 24s) ...
Presolve removed 1 rows and 1 columns (presolve time = 26s) ...
Presolve removed 1 rows and 1 columns (presolve time = 31s) ...
Presolve removed 1 rows and 1 columns (presolve time = 35s) ...
Presolve removed 1 rows and 1 columns (presolve time = 41s) ...
Presolve removed 1 rows and 1 columns (presolve time = 47s) ...
Presolve removed 1 rows and 1 columns (presolve time = 51s) ...
Presolve removed 1 rows and 1 columns (presolve time = 57s) ...
Presolve removed 1 rows and 1 columns (presolve time = 61s) ...
Presolve removed 1 rows and 1 columns (presolve time = 67s) ...
Presolve removed 1 rows and 1 columns (presolve time = 71s) ...
Presolve removed 1 rows and 1 columns (presolve time = 77s) ...
Presolve removed 1 rows and 1 columns (presolve time = 80s) ...
Presolve removed 1 rows and 1 columns (presolve time = 86s) ...
Presolve removed 1 rows and 1 columns (presolve time = 90s) ...
Presolve removed 1 rows and 1 columns (presolve time = 96s) ...
Presolve removed 1 rows and 1 columns (presolve time = 102s) ...
Presolve removed 1 rows and 1 columns (presolve time = 106s) ...
Presolve removed 1 rows and 1 columns (presolve time = 111s) ...
Presolve removed 1 rows and 1 columns (presolve time = 115s) ...
Presolve removed 1 rows and 1 columns (presolve time = 125s) ...
Presolve removed 1 rows and 1 columns (presolve time = 143s) ...
Presolve removed 1 rows and 1 columns
Presolve time: 143.07s
Presolved: 360086 rows, 539171 columns, 13279085 nonzeros
Variable types: 359400 continuous, 179771 integer (179764 binary)
Optimize a model with 360086 rows, 539171 columns and 13279085 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Presolved: 360086 rows, 539171 columns, 13279085 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.810585e+03   0.000000e+00    175s
    1274    0.0000000e+00   2.086512e+03   0.000000e+00    176s
    1797    1.0730173e-04   5.128269e+03   0.000000e+00    185s
    2264    1.7466575e-04   2.296191e+03   0.000000e+00    191s
    2780    2.6088326e-04   3.335337e+03   0.000000e+00    198s
    3255    3.2598838e-04   7.747370e+03   0.000000e+00    205s
    3684    3.5919670e-04   2.290182e+03   0.000000e+00    210s
    4191    4.2134276e-04   1.679653e+04   0.000000e+00    216s
    4557    5.1275398e-04   3.919433e+03   0.000000e+00    222s
    5096    5.5545242e-04   8.927278e+03   0.000000e+00    227s
    5509    6.6226259e-04   2.005017e+04   0.000000e+00    235s
    5959    7.5227419e-04   5.904980e+03   0.000000e+00    243s
    6401    8.1311641e-04   1.031007e+04   0.000000e+00    250s
    6802    8.8090433e-04   2.193109e+05   0.000000e+00    256s
    7323    9.5890085e-04   1.925855e+04   0.000000e+00    266s
    7906    1.0374610e-03   1.087144e+04   0.000000e+00    283s
    8329    1.0916517e-03   2.045020e+05   0.000000e+00    294s
    8946    1.1996541e-03   5.432110e+05   0.000000e+00    309s
    9300    1.3171012e-03   6.448257e+04   0.000000e+00    323s
    9617    1.4836018e-03   1.275015e+04   0.000000e+00    334s
   10037    1.5207055e-03   1.168477e+04   0.000000e+00    343s
   10428    1.6193152e-03   2.315932e+04   0.000000e+00    353s
   10917    1.6828907e-03   1.672996e+04   0.000000e+00    366s
   11849    1.6997408e-03   8.835298e+04   0.000000e+00    373s
   12293    1.7827703e-03   5.733095e+04   0.000000e+00    387s
   12948    1.8735659e-03   1.463588e+04   0.000000e+00    418s
   13430    1.8844094e-03   7.105699e+04   0.000000e+00    443s
   13908    1.9913280e-03   6.556331e+04   0.000000e+00    466s
   14443    2.0994390e-03   1.643238e+04   0.000000e+00    488s
   15634    2.1045285e-03   8.659680e+03   0.000000e+00    544s
   17843    2.1193203e-03   8.426712e+03   0.000000e+00    680s
   18450    2.3678612e-03   2.022827e+04   0.000000e+00    727s
   19299    2.5080922e-03   8.855674e+03   0.000000e+00    790s
   20854    2.5095122e-03   1.884771e+04   0.000000e+00    895s
   21182    2.8376602e-03   7.871951e+04   0.000000e+00    915s
   21557    3.1436377e-03   2.729546e+04   0.000000e+00    939s
   21911    3.3827661e-03   3.611063e+04   0.000000e+00    960s
   22376    3.5468275e-03   5.112726e+04   0.000000e+00    981s
   22912    3.6945334e-03   3.086232e+04   0.000000e+00    999s
   23374    3.8711603e-03   1.336234e+05   0.000000e+00   1028s
   23730    4.0603809e-03   4.787143e+04   0.000000e+00   1050s
   24061    4.2445370e-03   1.607948e+05   0.000000e+00   1067s
   24378    4.4895707e-03   2.852374e+04   0.000000e+00   1085s
   24706    4.6085604e-03   7.068539e+04   0.000000e+00   1105s
   25114    4.7257077e-03   2.128811e+05   0.000000e+00   1123s
   25471    4.7932432e-03   1.148445e+05   0.000000e+00   1138s
   25889    4.8889421e-03   3.943360e+04   0.000000e+00   1157s
   26313    5.0625085e-03   1.781786e+05   0.000000e+00   1186s
   26765    5.1980575e-03   1.858067e+05   0.000000e+00   1206s
   27316    5.4731883e-03   1.071042e+04   0.000000e+00   1249s
   27633    5.7160909e-03   4.326364e+04   0.000000e+00   1269s
   28057    5.9956217e-03   5.289459e+04   0.000000e+00   1297s
   28426    6.1149993e-03   5.901451e+04   0.000000e+00   1311s
   28858    6.2268470e-03   3.608074e+04   0.000000e+00   1335s
   29175    6.4235177e-03   1.089094e+06   0.000000e+00   1358s
   29573    6.5870497e-03   6.386766e+04   0.000000e+00   1386s
   30306    6.8234035e-03   2.294037e+05   0.000000e+00   1435s
   30623    7.0413715e-03   1.065897e+05   0.000000e+00   1453s
   31016    7.1251647e-03   4.395317e+04   0.000000e+00   1466s
   31401    7.3265458e-03   7.642193e+04   0.000000e+00   1492s
   31806    7.4603315e-03   3.228641e+04   0.000000e+00   1512s
   32292    7.5549898e-03   1.634827e+04   0.000000e+00   1529s
   32779    7.7230338e-03   2.233914e+04   0.000000e+00   1561s
   33123    7.9818635e-03   4.127497e+04   0.000000e+00   1584s
   33441    8.1780634e-03   2.226333e+04   0.000000e+00   1601s
   33772    8.3353806e-03   6.213832e+04   0.000000e+00   1620s
   34197    8.5480928e-03   3.652435e+04   0.000000e+00   1641s
   34568    8.6878273e-03   4.883518e+04   0.000000e+00   1662s
   35010    8.7988268e-03   6.272595e+04   0.000000e+00   1679s
   35539    8.9137840e-03   4.600256e+04   0.000000e+00   1710s
   35924    9.1759798e-03   7.742674e+04   0.000000e+00   1739s
   36296    9.3320127e-03   5.235557e+04   0.000000e+00   1759s
   36665    9.5294145e-03   1.069691e+05   0.000000e+00   1783s
   37016    9.7162814e-03   2.701492e+04   0.000000e+00   1805s
   37349    9.9545139e-03   4.263516e+04   0.000000e+00   1828s
   37666    1.0303493e-02   6.656200e+04   0.000000e+00   1849s
   38418    1.0490841e-02   4.640456e+05   0.000000e+00   1902s
   38907    1.0852862e-02   8.672192e+04   0.000000e+00   1939s
   39408    1.0986764e-02   8.103089e+04   0.000000e+00   1959s
   39819    1.1192979e-02   8.807709e+04   0.000000e+00   1982s
   40411    1.1285125e-02   7.144051e+04   0.000000e+00   2021s
   40903    1.1438958e-02   1.945523e+05   0.000000e+00   2055s
   41391    1.1779475e-02   1.027059e+05   0.000000e+00   2082s
   41797    1.1890888e-02   3.529605e+05   0.000000e+00   2097s
   42193    1.2024966e-02   6.204298e+04   0.000000e+00   2120s
   42579    1.2152404e-02   4.411692e+04   0.000000e+00   2140s
   43176    1.2323282e-02   6.208544e+04   0.000000e+00   2180s
   43493    1.2514002e-02   3.275536e+04   0.000000e+00   2199s
   43843    1.2900476e-02   9.238342e+04   0.000000e+00   2222s
   44199    1.3241314e-02   1.462097e+05   0.000000e+00   2242s
   44716    1.3417309e-02   2.123557e+05   0.000000e+00   2262s
   45274    1.3534528e-02   7.886375e+04   0.000000e+00   2291s
   45761    1.3792180e-02   1.297395e+05   0.000000e+00   2324s
   46258    1.3862761e-02   1.083333e+05   0.000000e+00   2344s
   46652    1.3896908e-02   1.399128e+05   0.000000e+00   2361s
   47129    1.3929789e-02   1.368175e+05   0.000000e+00   2378s
   47591    1.3941085e-02   1.341818e+05   0.000000e+00   2393s
   47981    1.3964007e-02   1.429685e+05   0.000000e+00   2408s
   48386    1.3994850e-02   1.392281e+05   0.000000e+00   2425s
   48777    1.4262042e-02   8.573886e+04   0.000000e+00   2447s
   49158    1.4531466e-02   3.872178e+04   0.000000e+00   2472s
   49894    1.4798423e-02   1.562409e+05   0.000000e+00   2500s
   50406    3.0883841e-02   1.393117e+05   0.000000e+00   2524s
   51561    3.1692945e-02   1.568202e+05   0.000000e+00   2564s
   52615    3.2456726e-02   1.575083e+05   0.000000e+00   2603s
   53664    3.2926124e-02   1.489087e+05   0.000000e+00   2641s
   54643    3.3584720e-02   1.602232e+05   0.000000e+00   2679s
   55637    3.4068588e-02   1.646428e+05   0.000000e+00   2718s
   56650    3.4664368e-02   1.513352e+05   0.000000e+00   2760s
   57314    3.6224834e-02   2.253717e+05   0.000000e+00   2788s
   57973    3.7007753e-02   2.330704e+05   0.000000e+00   2817s
   58651    3.7580276e-02   2.289423e+05   0.000000e+00   2846s
   59368    3.8052362e-02   2.350722e+05   0.000000e+00   2876s
   60085    3.8441634e-02   2.323047e+05   0.000000e+00   2906s
   60839    3.8835930e-02   2.591736e+05   0.000000e+00   2938s
   61615    3.9183670e-02   2.392312e+05   0.000000e+00   2969s
   62389    3.9436100e-02   2.588799e+05   0.000000e+00   2999s
   62962    4.0694528e-02   8.715113e+04   0.000000e+00   3031s
   63518    4.1504527e-02   8.500645e+04   0.000000e+00   3064s
   64031    4.3674827e-02   1.870831e+05   0.000000e+00   3090s
   64943    1.2602605e+00   2.266738e+04   0.000000e+00   3137s
   66444    1.2647271e+00   2.555144e+04   0.000000e+00   3186s
   68000    1.2676627e+00   1.793632e+04   0.000000e+00   3239s
   69575    1.2700905e+00   2.575969e+04   0.000000e+00   3292s
   71189    1.2724643e+00   2.045026e+04   0.000000e+00   3348s
   72811    1.2748530e+00   1.998333e+04   0.000000e+00   3406s
   74526    1.2772947e+00   2.802287e+04   0.000000e+00   3471s
   76272    1.2798395e+00   1.748860e+04   0.000000e+00   3538s

Root relaxation: time limit, 77844 iterations, 3433.99 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0               -          -      -     - 3600s

Explored 0 nodes (77844 simplex iterations) in 3600.49 seconds
Thread count was 1 (of 4 available processors)

Time limit reached
Best objective -, best bound -, gap -
Tempo: 3567.18 segundos

Error code = 10004
Var::get
