Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 90072 rows, 134622 columns and 3314657 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [4e-01, 6e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 3e+02]
Found heuristic solution: objective 17837
Presolve removed 49 rows and 14 columns
Presolve time: 2.74s
Presolved: 90023 rows, 134608 columns, 1164855 nonzeros
Variable types: 89700 continuous, 44908 integer (44906 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    1935    2.0870141e+01   2.840267e+03   0.000000e+00      5s
    4684    2.4871312e+01   1.594903e+03   0.000000e+00     11s
    8080    2.4871579e+01   9.832660e+02   0.000000e+00     16s
   10030    2.4871664e+01   2.314461e+03   0.000000e+00     20s
   11768    2.4871811e+01   1.735261e+03   0.000000e+00     27s
   13407    2.4872091e+01   2.515482e+03   0.000000e+00     32s
   15223    2.5649878e+01   1.737170e+03   0.000000e+00     36s
   17989    2.5780171e+01   2.807873e+03   0.000000e+00     40s
   20499    2.5793399e+01   3.713659e+03   0.000000e+00     45s
   22592    2.5793609e+01   3.936187e+03   0.000000e+00     52s
   24395    2.5793817e+01   4.027233e+03   0.000000e+00     58s
   26419    2.5830267e+01   1.645750e+03   0.000000e+00     61s
   31864    2.5830388e+01   1.834232e+03   0.000000e+00     65s
   37668    2.5830623e+01   2.113755e+03   0.000000e+00     71s
   41612    2.5830737e+01   3.022664e+03   0.000000e+00     75s
   45554    2.6000038e+01   1.213476e+03   0.000000e+00     81s
   48330    2.6101060e+01   2.844937e+03   0.000000e+00     86s
   49691    2.6101290e+01   2.633351e+03   0.000000e+00     91s
   51041    2.6101474e+01   3.023844e+03   0.000000e+00     98s
   52381    2.6147272e+01   3.114386e+03   0.000000e+00    101s
   55223    2.6147545e+01   4.137643e+03   0.000000e+00    114s
   56800    2.6147686e+01   3.523447e+03   0.000000e+00    124s
   58381    2.6147902e+01   4.571121e+03   0.000000e+00    135s
   59949    2.6148079e+01   3.353529e+03   0.000000e+00    146s
   61610    2.6148194e+01   3.478923e+03   0.000000e+00    158s
   63168    2.6148373e+01   4.058648e+03   0.000000e+00    169s
   64712    2.6148480e+01   3.175794e+03   0.000000e+00    174s
   66056    2.6148536e+01   2.424877e+03   0.000000e+00    177s
   67690    2.6148743e+01   2.397478e+03   0.000000e+00    187s
   71012    2.6159432e+01   2.702263e+03   0.000000e+00    199s
   72673    2.6159648e+01   2.780591e+03   0.000000e+00    210s
   74334    2.6159921e+01   2.917440e+03   0.000000e+00    221s
   75966    2.6160462e+01   2.920754e+03   0.000000e+00    231s
   77627    2.6353462e+01   3.414625e+03   0.000000e+00    241s
   79288    2.6355240e+01   3.625992e+03   0.000000e+00    252s
   80949    2.6441314e+01   2.469800e+03   0.000000e+00    263s
   82610    2.6442199e+01   2.998486e+03   0.000000e+00    269s
   84271    2.6443529e+01   3.938651e+03   0.000000e+00    280s
   85932    2.6577377e+01   3.440802e+03   0.000000e+00    288s
   87593    2.6706089e+01   7.855601e+03   0.000000e+00    297s
   89254    2.6924696e+01   4.569942e+03   0.000000e+00    306s
   90915    2.6935379e+01   5.281505e+03   0.000000e+00    316s
   92576    2.6937263e+01   2.795037e+03   0.000000e+00    324s
   94237    2.6938212e+01   4.434444e+03   0.000000e+00    334s
   95898    2.6939412e+01   3.850186e+03   0.000000e+00    344s
   97559    2.7038045e+01   3.825323e+03   0.000000e+00    353s
   99220    2.7044711e+01   4.050806e+03   0.000000e+00    364s
  100881    2.7118620e+01   4.093418e+03   0.000000e+00    374s
  102542    2.7118973e+01   5.627606e+03   0.000000e+00    382s
  104203    2.7125526e+01   7.888050e+03   0.000000e+00    391s
  105864    2.7178974e+01   3.061005e+03   0.000000e+00    399s
  107525    2.7179528e+01   5.512582e+03   0.000000e+00    410s
  109186    2.7180604e+01   3.159492e+03   0.000000e+00    421s
  110847    2.7260357e+01   3.507027e+03   0.000000e+00    430s
  112508    2.7278780e+01   2.941915e+03   0.000000e+00    441s
  114169    2.7281727e+01   4.544910e+03   0.000000e+00    447s
  115830    2.7282868e+01   4.471271e+03   0.000000e+00    454s
  117491    2.7286504e+01   5.726366e+03   0.000000e+00    462s
  119152    2.7286850e+01   3.458215e+03   0.000000e+00    472s
  120813    2.7287136e+01   3.374031e+03   0.000000e+00    480s
  122474    2.7287335e+01   2.577545e+03   0.000000e+00    487s
  124135    2.7287570e+01   2.499012e+03   0.000000e+00    494s
  125796    2.7287732e+01   2.512309e+03   0.000000e+00    502s
  127457    2.7287950e+01   2.180022e+03   0.000000e+00    509s
  129118    2.7288180e+01   3.665348e+03   0.000000e+00    516s
