Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 250072 rows, 374322 columns and 9219121 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 5e+02]
Presolve removed 49 rows and 14 columns (presolve time = 6s) ...
Presolve removed 49 rows and 14 columns (presolve time = 10s) ...
Presolve removed 49 rows and 14 columns (presolve time = 16s) ...
Presolve removed 49 rows and 14 columns
Presolve time: 15.88s
Presolved: 250023 rows, 374308 columns, 3240071 nonzeros
Variable types: 249500 continuous, 124808 integer (124806 binary)
Found heuristic solution: objective 24797.000000
Optimize a model with 250023 rows, 374308 columns and 3240071 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 6e+06]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 8e+04]
  RHS range       [1e+00, 5e+02]
Presolved: 250023 rows, 374308 columns, 3240071 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.501975e+03   0.000000e+00     25s
    1067    0.0000000e+00   2.811262e+03   0.000000e+00     25s
    1917    1.3958488e-04   5.702729e+02   0.000000e+00     37s
    3969    2.0266456e-04   7.128070e+02   0.000000e+00     41s
    5262    2.7358390e-04   6.353950e+04   0.000000e+00     46s
    6499    4.5882041e-04   2.844648e+03   0.000000e+00     53s
    7225    5.1988475e-04   6.503570e+03   0.000000e+00     56s
    8758    6.1731752e-04   4.801991e+03   0.000000e+00     61s
   10088    1.3076315e-03   8.637513e+04   0.000000e+00     72s
   10721    2.0006890e+00   6.456410e+03   0.000000e+00     85s
   11409    4.7028429e+00   9.387761e+03   0.000000e+00    102s
   12014    5.1761959e+00   3.768276e+04   0.000000e+00    107s
   13237    6.7368843e+00   5.991086e+03   0.000000e+00    123s
   13847    7.3463099e+00   1.197907e+04   0.000000e+00    142s
   14472    7.3900254e+00   1.869652e+04   0.000000e+00    161s
   15105    7.3908425e+00   1.993441e+04   0.000000e+00    181s
   15748    7.3928599e+00   9.766768e+03   0.000000e+00    201s
   16412    7.3932266e+00   1.032925e+04   0.000000e+00    212s
   17125    7.3934846e+00   7.552251e+03   0.000000e+00    223s
   17863    7.3937869e+00   8.773006e+03   0.000000e+00    237s
   18624    7.3942000e+00   7.288250e+03   0.000000e+00    251s
   19664    7.3942733e+00   8.047102e+03   0.000000e+00    271s
   20510    7.3946922e+00   9.766050e+03   0.000000e+00    287s
   21408    7.3951230e+00   1.002602e+04   0.000000e+00    304s
   22385    7.3958073e+00   5.428288e+03   0.000000e+00    335s
   23397    7.5010860e+00   7.310208e+03   0.000000e+00    367s
   24476    8.4467393e+00   7.781061e+03   0.000000e+00    403s
   25546    8.5169243e+00   1.100017e+04   0.000000e+00    437s
   26698    8.5390682e+00   8.205805e+03   0.000000e+00    459s
   27673    8.5396470e+00   1.085518e+04   0.000000e+00    493s
   28726    8.5400919e+00   7.766100e+03   0.000000e+00    529s
   30056    8.5401533e+00   6.419871e+03   0.000000e+00    538s
   31036    8.5403997e+00   9.314139e+03   0.000000e+00    567s
   32107    8.5406502e+00   1.072202e+04   0.000000e+00    596s
   33489    8.5407468e+00   1.057569e+04   0.000000e+00    611s
   34414    8.5409582e+00   1.692016e+04   0.000000e+00    627s
   35409    8.5411289e+00   1.373025e+04   0.000000e+00    647s
   36433    8.5413140e+00   1.008401e+04   0.000000e+00    669s
   37424    8.5415026e+00   1.077507e+04   0.000000e+00    688s
   38463    8.5416948e+00   1.226179e+04   0.000000e+00    710s
   39464    8.6015160e+00   6.210461e+03   0.000000e+00    732s
   40545    8.6047479e+00   6.647572e+03   0.000000e+00    760s
   42195    8.6047619e+00   4.253009e+03   0.000000e+00    769s
   43497    8.6050905e+00   5.204201e+03   0.000000e+00    807s
   45335    8.6340850e+00   3.754902e+03   0.000000e+00    814s
   47097    8.6341595e+00   2.822019e+03   0.000000e+00    832s
   48807    8.6342042e+00   3.670846e+03   0.000000e+00    856s
   52237    8.6343389e+00   5.505221e+03   0.000000e+00    888s
   53460    8.6344781e+00   7.618785e+03   0.000000e+00    900s
   54959    8.6353498e+00   3.607457e+03   0.000000e+00    924s
   56407    8.6361974e+00   3.850881e+03   0.000000e+00    956s
   57681    8.6363163e+00   4.339375e+03   0.000000e+00    964s
   59008    8.6892114e+00   8.376040e+03   0.000000e+00   1004s
   60149    8.6893115e+00   1.127857e+04   0.000000e+00   1010s
   61366    8.6894357e+00   1.097430e+04   0.000000e+00   1018s
   62627    8.6897083e+00   9.206582e+03   0.000000e+00   1031s
   63888    8.6898378e+00   6.079991e+03   0.000000e+00   1039s
   65278    8.6901653e+00   6.953902e+03   0.000000e+00   1081s
   66642    8.6902805e+00   7.911953e+03   0.000000e+00   1089s
   68072    8.6904098e+00   7.376973e+03   0.000000e+00   1095s
   69380    8.6905298e+00   5.245150e+03   0.000000e+00   1104s
   70899    8.6906819e+00   7.198802e+03   0.000000e+00   1117s
   72617    8.6909695e+00   5.054284e+03   0.000000e+00   1176s
   74304    8.6911195e+00   3.572067e+03   0.000000e+00   1194s
   75997    8.6927286e+00   5.253561e+03   0.000000e+00   1239s
   77559    9.0012831e+00   1.239905e+04   0.000000e+00   1286s
   79042    9.0028851e+00   6.459283e+03   0.000000e+00   1310s
   80598    9.1890748e+00   5.975717e+03   0.000000e+00   1334s
   82233    9.1944389e+00   6.102673e+03   0.000000e+00   1357s
   83861    9.1945598e+00   6.939641e+03   0.000000e+00   1369s
   85448    9.1947109e+00   8.088989e+03   0.000000e+00   1381s
   87114    9.1948379e+00   7.343667e+03   0.000000e+00   1388s
   88666    9.1949622e+00   7.396243e+03   0.000000e+00   1400s
   90414    9.1951020e+00   6.923890e+03   0.000000e+00   1414s
   92206    9.1952324e+00   6.307066e+03   0.000000e+00   1422s
   93886    9.1953999e+00   4.230325e+03   0.000000e+00   1437s
   95666    9.1955543e+00   5.078791e+03   0.000000e+00   1445s
   97429    9.1957152e+00   6.663156e+03   0.000000e+00   1458s
   99208    9.1958435e+00   8.429284e+03   0.000000e+00   1465s
  101138    9.1962866e+00   7.542836e+03   0.000000e+00   1547s
  103060    9.1967940e+00   5.039748e+03   0.000000e+00   1628s
  104895    9.1972443e+00   5.392563e+03   0.000000e+00   1712s
  106729    9.1976013e+00   5.177818e+03   0.000000e+00   1790s
  108643    9.1977650e+00   4.393879e+03   0.000000e+00   1807s
  110588    9.1979044e+00   4.499657e+03   0.000000e+00   1827s
  112561    9.1980331e+00   4.607064e+03   0.000000e+00   1846s
  114577    9.1981446e+00   3.818055e+03   0.000000e+00   1867s
  116795    9.1982982e+00   4.713543e+03   0.000000e+00   1883s
  119100    9.1984469e+00   3.836019e+03   0.000000e+00   1895s
  121373    9.1986096e+00   2.862634e+03   0.000000e+00   1920s
  123823    9.1987908e+00   5.298907e+03   0.000000e+00   1947s
  126392    9.1989791e+00   3.693551e+03   0.000000e+00   1982s
  128982    9.1992756e+00   3.095789e+03   0.000000e+00   2024s
  131738    9.1995997e+00   3.529956e+03   0.000000e+00   2083s
  134413    9.1997884e+00   4.843467e+03   0.000000e+00   2106s
  137012    9.2006302e+00   4.918237e+03   0.000000e+00   2164s
  139655    9.2209473e+00   3.050170e+03   0.000000e+00   2191s
  142270    9.2211054e+00   2.780785e+03   0.000000e+00   2206s
  144858    9.2212770e+00   3.145259e+03   0.000000e+00   2236s
