Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 90072 rows, 134622 columns and 3314657 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 3e+02]
Found heuristic solution: objective 17837
Presolve removed 37 rows and 44 columns (presolve time = 5s) ...
Presolve removed 37 rows and 44 columns
Presolve time: 5.11s
Presolved: 90035 rows, 134578 columns, 1881357 nonzeros
Variable types: 89700 continuous, 44878 integer (44874 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   8.975840e+02   0.000000e+00      6s
    4684    1.0363470e+01   2.489365e+03   0.000000e+00     11s
    7561    1.0364136e+01   3.220277e+03   0.000000e+00     16s
    9681    1.0364940e+01   3.198150e+03   0.000000e+00     21s
   11947    1.0527676e+01   3.541201e+03   0.000000e+00     25s
   14243    1.0528528e+01   4.772270e+03   0.000000e+00     31s
   16254    1.0529478e+01   3.710677e+03   0.000000e+00     36s
   18220    1.0683906e+01   1.865691e+03   0.000000e+00     44s
   18989    1.0684572e+01   2.752405e+03   0.000000e+00     46s
   20435    1.0684999e+01   4.808135e+03   0.000000e+00     50s
   22570    1.0753160e+01   2.838812e+03   0.000000e+00     56s
   25023    1.0817979e+01   6.634428e+03   0.000000e+00     62s
   25576    1.0818125e+01   4.647313e+03   0.000000e+00     65s
   26844    1.0818430e+01   4.639256e+03   0.000000e+00     70s
   29451    1.0818958e+01   4.068807e+03   0.000000e+00     77s
   30835    1.0819350e+01   4.226872e+03   0.000000e+00     82s
   31601    1.0819552e+01   5.500896e+03   0.000000e+00     85s
   33303    1.0820178e+01   4.520586e+03   0.000000e+00     93s
   34214    1.0820560e+01   4.607134e+03   0.000000e+00     98s
   35165    1.0821053e+01   6.367784e+03   0.000000e+00    104s
   36145    1.0821628e+01   4.077618e+03   0.000000e+00    110s
   37373    1.0822886e+01   2.949243e+03   0.000000e+00    117s
   38952    1.0897688e+01   2.008798e+03   0.000000e+00    121s
   40600    1.0913288e+01   2.379471e+03   0.000000e+00    129s
   41977    1.0916429e+01   2.618772e+03   0.000000e+00    136s
   43539    1.0979838e+01   3.570569e+03   0.000000e+00    141s
   45047    1.0980170e+01   4.236439e+03   0.000000e+00    146s
   47709    1.0990004e+01   2.702482e+03   0.000000e+00    154s
   49008    1.0990162e+01   3.470678e+03   0.000000e+00    155s
   50078    1.0990407e+01   4.196511e+03   0.000000e+00    161s
   51199    1.0990651e+01   4.523058e+03   0.000000e+00    166s
   52326    1.0990873e+01   3.594094e+03   0.000000e+00    171s
   53465    1.0991073e+01   3.940790e+03   0.000000e+00    176s
   54614    1.0991302e+01   3.783504e+03   0.000000e+00    182s
