Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 360072 rows, 539172 columns and 13280409 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 6e+02]
Found heuristic solution: objective 31096
Presolve removed 55 rows and 62 columns (presolve time = 5s) ...
Presolve removed 55 rows and 62 columns (presolve time = 10s) ...
Presolve removed 55 rows and 62 columns (presolve time = 15s) ...
Presolve removed 55 rows and 62 columns
Presolve time: 18.48s
Presolved: 360017 rows, 539110 columns, 4667347 nonzeros
Variable types: 359400 continuous, 179710 integer (179708 binary)
Optimize a model with 360017 rows, 539110 columns and 4667347 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 9e+06]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 6e+04]
  RHS range       [1e+00, 6e+02]
Presolved: 360017 rows, 539110 columns, 4667347 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.795585e+03   0.000000e+00     25s
    2844    2.7838977e-04   2.330702e+03   0.000000e+00     49s
    4868    9.0933723e-04   9.701388e+02   0.000000e+00    102s
    5919    1.4886194e-03   1.358898e+04   0.000000e+00    123s
    7238    1.9871987e-03   2.091223e+04   0.000000e+00    149s
    8729    3.2272358e+00   2.015936e+04   0.000000e+00    180s
   10198    4.7506580e+00   4.129392e+03   0.000000e+00    185s
   12039    1.1072745e+01   6.374667e+03   0.000000e+00    209s
   14141    1.4731552e+01   3.118448e+03   0.000000e+00    256s
   16294    1.6578597e+01   2.978180e+03   0.000000e+00    312s
   18434    1.6767086e+01   4.380498e+03   0.000000e+00    336s
   20450    1.7043667e+01   3.358779e+03   0.000000e+00    358s
   22924    1.7043800e+01   6.395283e+03   0.000000e+00    382s
   25621    1.7043983e+01   7.542135e+03   0.000000e+00    425s
   27938    1.7044063e+01   7.778460e+03   0.000000e+00    456s
   30521    1.7044180e+01   5.558371e+03   0.000000e+00    477s
   32457    1.7160846e+01   8.540232e+03   0.000000e+00    483s
   34415    1.7161521e+01   2.040534e+04   0.000000e+00    492s
   36459    1.7162043e+01   1.177779e+04   0.000000e+00    498s
   38233    1.7163651e+01   1.028501e+04   0.000000e+00    503s
   40075    1.7164778e+01   8.639124e+03   0.000000e+00    514s
   41921    1.7504756e+01   6.072846e+03   0.000000e+00    536s
   43618    1.7505184e+01   1.035441e+04   0.000000e+00    587s
   45984    1.7603847e+01   1.450947e+04   0.000000e+00    593s
   48049    1.7603947e+01   1.615777e+04   0.000000e+00    604s
   50113    1.7604022e+01   1.586385e+04   0.000000e+00    617s
   52607    1.7604185e+01   1.495193e+04   0.000000e+00    638s
   54523    1.7604288e+01   1.718469e+04   0.000000e+00    648s
   56777    1.7604677e+01   1.311015e+04   0.000000e+00    718s
   58999    1.7604731e+01   1.370031e+04   0.000000e+00    722s
   61074    1.7604808e+01   1.432650e+04   0.000000e+00    729s
   63220    1.7604857e+01   1.170800e+04   0.000000e+00    751s
   65231    1.7604924e+01   1.081157e+04   0.000000e+00    760s
   67217    1.7605012e+01   1.481704e+04   0.000000e+00    774s
   69382    1.7605106e+01   1.392058e+04   0.000000e+00    788s
   71595    1.7605195e+01   1.163183e+04   0.000000e+00    802s
   74158    1.7605449e+01   9.509661e+03   0.000000e+00    874s
   76412    1.7605523e+01   1.108624e+04   0.000000e+00    884s
   78811    1.7605595e+01   6.194164e+03   0.000000e+00    895s
   81344    1.7605656e+01   7.250165e+03   0.000000e+00    924s
   83757    1.7672073e+01   6.514020e+03   0.000000e+00    956s
   86163    1.7672163e+01   8.570658e+03   0.000000e+00    969s
   88442    1.7672249e+01   9.910972e+03   0.000000e+00    983s
   91110    1.7672375e+01   6.586879e+03   0.000000e+00   1025s
   94166    1.7672680e+01   6.523608e+03   0.000000e+00   1133s
   96963    1.7672959e+01   6.093504e+03   0.000000e+00   1226s
   99326    1.7673620e+01   5.861861e+03   0.000000e+00   1297s
  101513    1.7996061e+01   1.180546e+04   0.000000e+00   1348s
  103976    1.7996603e+01   9.792203e+03   0.000000e+00   1426s
  106598    1.7996895e+01   5.683699e+03   0.000000e+00   1480s
  108997    1.8034343e+01   5.849285e+03   0.000000e+00   1542s
  111383    1.8139544e+01   4.070705e+03   0.000000e+00   1600s
  113690    1.8139623e+01   4.641368e+03   0.000000e+00   1611s
  116026    1.8145805e+01   3.861140e+03   0.000000e+00   1617s
  118307    1.8145916e+01   4.959118e+03   0.000000e+00   1637s
  120589    1.8145960e+01   4.264648e+03   0.000000e+00   1642s
  122956    1.8145998e+01   3.892548e+03   0.000000e+00   1647s
  125199    1.8146066e+01   4.911925e+03   0.000000e+00   1656s
  127466    1.8146172e+01   5.271468e+03   0.000000e+00   1674s
  129899    1.8146231e+01   5.743707e+03   0.000000e+00   1681s
  132523    1.8146281e+01   5.417149e+03   0.000000e+00   1686s
  135341    1.8146548e+01   6.724914e+03   0.000000e+00   1777s
  138008    1.8146627e+01   8.220207e+03   0.000000e+00   1790s
  140679    1.8146690e+01   6.152375e+03   0.000000e+00   1805s
  143223    1.8146770e+01   7.088876e+03   0.000000e+00   1827s
