Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 90072 rows, 134622 columns and 3314961 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 3e+02]
Found heuristic solution: objective 17265
Presolve removed 37 rows and 44 columns (presolve time = 5s) ...
Presolve removed 37 rows and 44 columns
Presolve time: 9.51s
Presolved: 90035 rows, 134578 columns, 1881509 nonzeros
Variable types: 89700 continuous, 44878 integer (44874 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   8.975840e+02   0.000000e+00     11s
    2208    3.3024463e+00   5.677300e+03   0.000000e+00     17s
    3637    5.0418858e+00   3.752939e+03   0.000000e+00     21s
    4977    5.0422213e+00   2.002248e+03   0.000000e+00     26s
    6199    5.0424633e+00   3.981036e+03   0.000000e+00     31s
    6944    5.0431723e+00   2.806362e+03   0.000000e+00     36s
    7756    5.0656889e+00   1.688095e+03   0.000000e+00     41s
    8666    5.7981964e+00   2.309088e+03   0.000000e+00     47s
    9697    6.2113444e+00   1.543583e+03   0.000000e+00     52s
   10536    6.2114582e+00   3.975539e+03   0.000000e+00     56s
   11255    6.2116386e+00   2.838852e+03   0.000000e+00     61s
   11973    6.2117651e+00   3.485079e+03   0.000000e+00     65s
   13354    6.2121133e+00   3.575693e+03   0.000000e+00     73s
   14169    6.2122626e+00   4.299321e+03   0.000000e+00     78s
   15177    6.2123124e+00   5.366292e+03   0.000000e+00     84s
   16016    6.2125329e+00   3.463981e+03   0.000000e+00     89s
   17475    6.2125508e+00   3.339632e+03   0.000000e+00     99s
   18773    6.2130596e+00   2.179568e+03   0.000000e+00    110s
   21294    6.5132930e+00   4.105323e+03   0.000000e+00    120s
   22547    6.5585081e+00   3.759636e+03   0.000000e+00    132s
   23738    6.5680553e+00   2.651225e+03   0.000000e+00    137s
   24976    6.6390076e+00   2.747190e+03   0.000000e+00    148s
   26143    6.6392129e+00   2.247838e+03   0.000000e+00    158s
   27396    6.7319106e+00   3.325629e+03   0.000000e+00    169s
   28719    6.8898915e+00   2.630026e+03   0.000000e+00    178s
   30101    7.0525558e+00   2.801074e+03   0.000000e+00    190s
   31448    7.0656455e+00   2.787810e+03   0.000000e+00    197s
   32638    7.0658736e+00   3.107882e+03   0.000000e+00    210s
   33945    7.0660449e+00   2.317157e+03   0.000000e+00    222s
   35042    7.0662210e+00   3.306749e+03   0.000000e+00    234s
   36278    7.0663837e+00   2.706009e+03   0.000000e+00    247s
   37599    7.1041947e+00   1.923467e+03   0.000000e+00    250s
