Rodando pra 1h
Optimize a model with 250095 rows, 374378 columns and 2243860 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 5e+02]
Presolve time: 3.23s
Presolved: 250095 rows, 374378 columns, 2243860 nonzeros
Variable types: 249564 continuous, 124814 integer (124814 binary)
Optimize a model with 250095 rows, 374378 columns and 2243860 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 5e+02]
Presolved: 250095 rows, 374378 columns, 2243860 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.510975e+03   0.000000e+00     12s
    1781    3.7998423e-04   1.532951e+03   0.000000e+00     17s
    2496    4.9480624e-04   3.823413e+03   0.000000e+00     21s
    3231    5.9300799e-04   1.867379e+03   0.000000e+00     26s
    6724    8.0351140e-04   3.916670e+04   0.000000e+00     34s
    7584    1.0484133e-03   4.542558e+03   0.000000e+00     41s
   11459    1.1577863e-03   5.494626e+03   0.000000e+00     45s
   15784    1.2464745e-03   5.814923e+03   0.000000e+00     51s
   25779    1.3260738e-03   2.420054e+03   0.000000e+00     56s
   30922    1.3954409e-03   2.795566e+03   0.000000e+00     60s
   32738    1.5983579e-03   5.611214e+03   0.000000e+00     74s
   34185    1.9134562e-03   8.728680e+03   0.000000e+00     90s
   36053    1.3101455e+01   6.448907e+03   0.000000e+00     96s
   37761    1.3101948e+01   6.300971e+03   0.000000e+00    103s
   39508    1.3102594e+01   6.058479e+03   0.000000e+00    110s
   41149    1.3103185e+01   7.136475e+03   0.000000e+00    118s
   42611    1.3103875e+01   5.574096e+03   0.000000e+00    124s
   44160    1.3104587e+01   7.729987e+03   0.000000e+00    130s
   45496    1.3500488e+01   5.788444e+03   0.000000e+00    136s
   46863    1.3501185e+01   7.477028e+03   0.000000e+00    142s
   48209    1.3501836e+01   7.144735e+03   0.000000e+00    147s
   49598    1.3899422e+01   9.638823e+03   0.000000e+00    153s
   51082    1.4197368e+01   5.622300e+03   0.000000e+00    160s
   52578    1.4198332e+01   6.963595e+03   0.000000e+00    167s
   54160    1.4593635e+01   8.417474e+03   0.000000e+00    174s
   55847    1.4594413e+01   5.384239e+03   0.000000e+00    184s
   57612    1.4692590e+01   1.000115e+04   0.000000e+00    195s
   59462    1.5568506e+01   7.022636e+03   0.000000e+00    206s
   61322    1.5762400e+01   4.757788e+03   0.000000e+00    217s
   63226    1.5763419e+01   7.791944e+03   0.000000e+00    232s
   65580    1.5764534e+01   6.369676e+03   0.000000e+00    254s
   67883    1.5859123e+01   6.488012e+03   0.000000e+00    273s
   70365    1.5859880e+01   6.167772e+03   0.000000e+00    297s
   72989    1.5860892e+01   6.315122e+03   0.000000e+00    322s
   75607    1.6528364e+01   6.061455e+03   0.000000e+00    344s
   78068    1.6622629e+01   6.260559e+03   0.000000e+00    367s
   80726    1.6993974e+01   6.441641e+03   0.000000e+00    393s
   83826    1.7177985e+01   5.582286e+03   0.000000e+00    429s
   87053    1.7360661e+01   5.553398e+03   0.000000e+00    467s
   90280    1.7361937e+01   4.495584e+03   0.000000e+00    511s
   93507    1.7994379e+01   5.150872e+03   0.000000e+00    546s
   96734    1.8172858e+01   3.833982e+03   0.000000e+00    581s
   99961    1.8173498e+01   6.807664e+03   0.000000e+00    613s
  103188    1.8174500e+01   3.796847e+03   0.000000e+00    661s
  106415    1.8175746e+01   3.915980e+03   0.000000e+00    709s
  109642    1.8264730e+01   3.652266e+03   0.000000e+00    753s
  112869    1.8610254e+01   5.949652e+03   0.000000e+00    794s
  116096    1.8696178e+01   4.404521e+03   0.000000e+00    836s
  119323    1.8782790e+01   3.939360e+03   0.000000e+00    878s
  122550    1.9729206e+01   3.383176e+03   0.000000e+00    922s
  125777    2.0066157e+01   3.651836e+03   0.000000e+00    967s
  129004    2.0152747e+01   3.316856e+03   0.000000e+00   1012s
  132231    2.0732420e+01   3.104102e+03   0.000000e+00   1058s
  135458    2.1470169e+01   5.617999e+03   0.000000e+00   1106s
  138685    2.1632051e+01   5.455318e+03   0.000000e+00   1155s
  141912    2.1633415e+01   4.771943e+03   0.000000e+00   1208s
  145139    2.1713488e+01   3.773680e+03   0.000000e+00   1260s
  148366    2.2194729e+01   3.890425e+03   0.000000e+00   1310s
  151593    2.2353447e+01   7.203840e+03   0.000000e+00   1362s
  154820    2.2432638e+01   4.754067e+03   0.000000e+00   1415s
  158047    2.2983949e+01   3.182633e+03   0.000000e+00   1468s
  161274    2.3292804e+01   3.399597e+03   0.000000e+00   1518s
  164501    2.3673474e+01   3.875191e+03   0.000000e+00   1558s
  167728    2.3676485e+01   2.749193e+03   0.000000e+00   1600s
  170955    2.3899961e+01   3.174823e+03   0.000000e+00   1637s
  174182    2.3974309e+01   4.739072e+03   0.000000e+00   1675s
  177409    2.4195923e+01   2.756840e+03   0.000000e+00   1715s
  180636    2.4486300e+01   2.783353e+03   0.000000e+00   1754s
  183863    2.5059856e+01   3.645973e+03   0.000000e+00   1794s
  187090    2.5271321e+01   4.001170e+03   0.000000e+00   1833s
