Rodando pra 1h
Optimize a model with 490095 rows, 734078 columns and 4400270 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 7e+02]
Presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Presolve time: 6.81s
Presolved: 490095 rows, 734078 columns, 4400270 nonzeros
Variable types: 489364 continuous, 244714 integer (244714 binary)
Optimize a model with 490095 rows, 734078 columns and 4400270 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 7e+02]
Presolved: 490095 rows, 734078 columns, 4400270 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   2.110683e+03   0.000000e+00     23s
    2881    6.8497142e-04   3.074469e+04   0.000000e+00     42s
    3874    1.2588213e-03   2.010059e+04   0.000000e+00     54s
    4679    2.0606701e-03   1.062722e+04   0.000000e+00     70s
    5500    2.2360266e-03   1.993665e+04   0.000000e+00     77s
    6845    2.3528134e-03   3.439784e+03   0.000000e+00     85s
    8262    2.4137969e-03   2.575036e+03   0.000000e+00     89s
   11244    2.4462352e-03   7.370620e+03   0.000000e+00    100s
   12254    2.5268601e-03   4.593943e+03   0.000000e+00    115s
   13694    2.5836556e-03   5.488050e+03   0.000000e+00    119s
   15039    2.6139626e-03   5.079467e+03   0.000000e+00    122s
   23730    2.7231054e-03   4.113100e+05   0.000000e+00    135s
   25622    2.7794251e-03   7.049006e+03   0.000000e+00    142s
   28695    2.8519212e-03   1.319964e+04   0.000000e+00    146s
   35801    2.9446701e-03   1.019369e+04   0.000000e+00    150s
   43157    3.0054259e-03   4.062146e+03   0.000000e+00    157s
   45462    3.0576164e-03   4.149930e+03   0.000000e+00    166s
   52892    3.1544533e-03   5.611902e+03   0.000000e+00    171s
   60866    3.2337669e-03   5.391384e+03   0.000000e+00    176s
   69644    3.3089335e-03   4.015015e+03   0.000000e+00    182s
   82589    3.3987495e-03   5.028092e+03   0.000000e+00    189s
   84539    3.7234336e-03   6.528328e+04   0.000000e+00    228s
   86842    3.9816923e-03   1.026657e+04   0.000000e+00    277s
   89079    4.6536012e-03   4.568913e+04   0.000000e+00    310s
   91085    7.7069058e-03   2.068225e+05   0.000000e+00    358s
   94377    1.1463450e+00   9.985613e+03   0.000000e+00    371s
   97916    1.1477152e+00   1.245788e+04   0.000000e+00    411s
  101571    1.1491477e+00   9.072037e+03   0.000000e+00    454s
  104870    1.1510311e+00   8.865172e+03   0.000000e+00    492s
  108125    1.2600622e+00   6.870490e+03   0.000000e+00    511s
  111362    1.2601439e+00   7.008623e+03   0.000000e+00    520s
  114384    1.2602511e+00   6.716493e+03   0.000000e+00    533s
  117345    1.2603212e+00   6.964688e+03   0.000000e+00    543s
  120589    1.2603681e+00   7.078457e+03   0.000000e+00    549s
  123721    1.2604431e+00   7.561095e+03   0.000000e+00    562s
  127163    1.2604622e+00   6.788465e+03   0.000000e+00    565s
  130723    1.2604974e+00   7.048530e+03   0.000000e+00    570s
  133607    1.2607057e+00   8.311278e+03   0.000000e+00    583s
  136524    1.2609834e+00   7.405169e+03   0.000000e+00    606s
  139721    1.2611637e+00   7.258899e+03   0.000000e+00    623s
  143144    1.2612962e+00   7.793044e+03   0.000000e+00    639s
  146586    1.2613767e+00   7.267778e+03   0.000000e+00    647s
  150272    1.2614586e+00   7.575891e+03   0.000000e+00    657s
  153783    1.2616161e+00   7.017680e+03   0.000000e+00    680s
  162163    1.2616795e+00   7.485722e+03   0.000000e+00    690s
  166184    1.2618827e+00   7.585725e+03   0.000000e+00    718s
  170525    1.2621440e+00   7.730309e+03   0.000000e+00    750s
  174933    1.2624365e+00   7.177707e+03   0.000000e+00    804s
  179864    1.2625236e+00   8.106556e+03   0.000000e+00    826s
  189858    1.2626790e+00   8.479446e+03   0.000000e+00    861s
  194855    1.2630091e+00   7.833007e+03   0.000000e+00    881s
  199276    1.2638062e+00   1.748772e+04   0.000000e+00    980s
  204217    1.2662471e+00   1.904643e+04   0.000000e+00   1070s
  208889    1.2678782e+00   7.795514e+03   0.000000e+00   1158s
  213431    1.2693624e+00   9.262220e+03   0.000000e+00   1242s
  217782    1.2711163e+00   9.871378e+03   0.000000e+00   1321s
  222353    1.2732357e+00   1.549982e+04   0.000000e+00   1401s
  226961    1.2743581e+00   1.665398e+04   0.000000e+00   1447s
  231300    1.2764412e+00   1.862902e+04   0.000000e+00   1521s
  235422    1.2782195e+00   1.300848e+04   0.000000e+00   1592s
  239376    1.2799707e+00   1.660467e+04   0.000000e+00   1664s
  243175    1.2814681e+00   1.237349e+04   0.000000e+00   1733s
  247024    1.2831804e+00   1.576126e+04   0.000000e+00   1802s
  250515    1.2835652e+00   1.392255e+04   0.000000e+00   1828s
  254008    1.2838332e+00   1.346411e+04   0.000000e+00   1857s
  257889    1.2840547e+00   1.539512e+04   0.000000e+00   1870s
  261680    1.2852637e+00   1.457918e+04   0.000000e+00   1940s
  265377    1.2867810e+00   1.187127e+04   0.000000e+00   2010s
  269406    1.2879552e+00   1.516458e+04   0.000000e+00   2092s
  272939    1.2892918e+00   1.432562e+04   0.000000e+00   2160s
  276392    1.2904375e+00   1.349058e+04   0.000000e+00   2221s
  279173    1.2920450e+00   1.610275e+04   0.000000e+00   2271s
  281874    1.2934119e+00   9.153394e+03   0.000000e+00   2321s
  285183    1.2942806e+00   1.121432e+04   0.000000e+00   2375s
  287788    1.2969145e+00   2.083434e+04   0.000000e+00   2415s
  290363    1.2992109e+00   1.588875e+04   0.000000e+00   2454s
  293558    1.3047856e+00   1.526734e+04   0.000000e+00   2505s
  296851    1.3100790e+00   1.590241e+04   0.000000e+00   2562s
  300319    1.3902628e+00   1.051550e+04   0.000000e+00   2619s
  303481    1.3990696e+00   1.019733e+04   0.000000e+00   2673s
  306780    1.4145392e+00   1.281407e+04   0.000000e+00   2728s
  310614    1.4921288e+00   1.390769e+04   0.000000e+00   2792s
  314518    1.5187444e+00   2.616633e+04   0.000000e+00   2864s
  319010    1.6293164e+00   1.908655e+04   0.000000e+00   2962s
  322123    1.7175499e+00   1.939492e+04   0.000000e+00   3017s
  326070    1.7963184e+00   1.310617e+04   0.000000e+00   3094s
  331067    1.8682304e+00   1.262197e+04   0.000000e+00   3168s
  335849    1.8764289e+00   9.997534e+03   0.000000e+00   3287s
  340319    1.8861426e+00   7.292405e+03   0.000000e+00   3400s
  344622    1.8980890e+00   1.642103e+04   0.000000e+00   3514s

Root relaxation: time limit, 348135 iterations, 3578.49 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0               -          -      -     - 3600s

Explored 0 nodes (348135 simplex iterations) in 3600.04 seconds
Thread count was 1 (of 4 available processors)

Time limit reached
Best objective -, best bound -, gap -
Tempo: 3596.16 segundos

Error code = 10004
Var::get
