Rodando pra 1h
Optimize a model with 160095 rows, 239528 columns and 1435461 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [5e-01, 5e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 4e+02]
Presolve time: 2.56s
Presolved: 160095 rows, 239528 columns, 1435461 nonzeros
Variable types: 159664 continuous, 79864 integer (79864 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.210779e+03   0.000000e+00      9s
    1391    1.1272176e-04   6.065799e+02   0.000000e+00     13s
    2203    3.4728722e-04   3.137787e+03   0.000000e+00     22s
    3828    1.9625594e+01   1.364680e+03   0.000000e+00     27s
    4630    1.9625696e+01   1.785219e+03   0.000000e+00     30s
    7200    1.9625933e+01   2.793231e+03   0.000000e+00     38s
    8209    1.9626004e+01   1.253381e+03   0.000000e+00     41s
   10488    1.9626124e+01   1.158147e+03   0.000000e+00     47s
   11680    1.9626199e+01   1.226486e+03   0.000000e+00     52s
   12870    1.9626309e+01   8.317736e+02   0.000000e+00     57s
   14405    1.9626367e+01   8.961838e+02   0.000000e+00     62s
   17561    1.9626548e+01   1.184115e+03   0.000000e+00     72s
   19306    1.9626628e+01   7.395549e+02   0.000000e+00     76s
   21147    1.9626720e+01   7.693693e+02   0.000000e+00     83s
   22721    1.9626981e+01   9.698635e+02   0.000000e+00     86s
   24050    1.9627196e+01   1.919094e+03   0.000000e+00     91s
   25552    1.9627421e+01   9.864924e+02   0.000000e+00     99s
   27053    1.9627634e+01   1.014139e+03   0.000000e+00    106s
   30297    1.9628020e+01   1.000641e+03   0.000000e+00    116s
   31897    1.9628192e+01   7.404885e+02   0.000000e+00    123s
   33577    1.9628600e+01   2.929703e+03   0.000000e+00    139s
   35002    1.9629082e+01   2.830473e+03   0.000000e+00    152s
   36349    1.9629586e+01   4.721748e+03   0.000000e+00    163s
   37774    1.9629956e+01   3.955844e+03   0.000000e+00    173s
   39110    1.9631040e+01   4.204086e+03   0.000000e+00    179s
   40491    1.9632869e+01   4.586365e+03   0.000000e+00    187s
