Rodando pra 1h
Optimize a model with 320 rows, 443 columns and 2308 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 1e+01]
Presolve time: 0.01s
Presolved: 320 rows, 443 columns, 2308 nonzeros
Variable types: 274 continuous, 169 integer (169 binary)

Root relaxation: objective 0.000000e+00, 63 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0   23          -    0.00000      -     -    0s
     0     0    0.00000    0   36          -    0.00000      -     -    0s
     0     0    0.00000    0   34          -    0.00000      -     -    0s
     0     0    0.00000    0   38          -    0.00000      -     -    0s
     0     0    0.00000    0   26          -    0.00000      -     -    0s
     0     2    0.00000    0   23          -    0.00000      -     -    0s
* 1957  1246             131     528.0010560   20.46433  96.1%  16.1    1s
H 2257  1495                     493.6676540   23.28576  95.3%  16.5    2s
H 2311  1518                     435.8342050   23.28576  94.7%  16.4    2s
H 2653  1762                     407.1674810   25.50762  93.7%  17.1    2s
H 3750  2615                     379.8340930   31.28578  91.8%  16.7    3s
H 5426  3991                     373.0007460   33.31939  91.1%  17.1    4s
  6427  4826  356.00428   99   16  373.00075   34.66971  90.7%  17.0    5s
H 7710  5692                     330.6673280   37.11937  88.8%  16.6    5s
H 7953  5871                     325.5006510   37.54769  88.5%  16.5    5s
H 8358  6071                     309.5006190   37.84769  87.8%  16.5    6s
 11019  8267  212.80974   89   15  309.50062   41.91278  86.5%  17.0   10s
*12582  9504              68     305.6672780   43.83342  85.7%  17.2   11s
H14156 10595                     292.8339190   44.89553  84.7%  17.5   12s
H14469  9865                     240.1671470   44.93660  81.3%  17.6   13s
 16355 11423     cutoff   45       240.16715   45.67615  81.0%  18.2   15s
 20539 14835  181.27998   60   20  240.16715   47.75803  80.1%  19.5   20s
 25279 18671  132.62700   44   26  240.16715   52.08423  78.3%  20.4   25s
 29747 22271  117.37644   35   35  240.16715   54.52689  77.3%  21.0   30s
 34327 25965  211.90519   89   14  240.16715   57.09102  76.2%  21.7   35s
 38602 29321  148.42213   52   24  240.16715   59.57155  75.2%  22.3   40s
 42831 32682  198.71376   46   21  240.16715   61.28531  74.5%  22.7   45s
*43840 32448              58     226.5004530   61.67627  72.8%  22.8   46s
H43868 32439                     226.3337860   61.68376  72.7%  22.8   46s
H43922 28499                     204.1670750   61.76203  69.7%  22.8   46s
 46197 30141     cutoff   48       204.16708   63.09140  69.1%  23.2   50s
 49850 32882  130.83875   42   31  204.16708   65.07156  68.1%  23.7   55s
 53502 35594  153.81632   52   23  204.16708   66.76799  67.3%  24.2   60s
 56859 38123  120.77338   47   25  204.16708   67.34739  67.0%  24.8   65s
 60154 40514  200.14851   61   17  204.16708   68.29234  66.6%  25.3   70s
 63848 43119  183.92557   59   20  204.16708   69.32925  66.0%  25.8   75s
 67182 45415  116.35441   35   25  204.16708   70.14785  65.6%  26.2   80s
 70692 47922  163.27262   50   25  204.16708   70.85162  65.3%  26.6   85s
 74008 50230  140.86395   33   23  204.16708   71.40213  65.0%  27.0   90s
 76984 52310   86.94992   33   32  204.16708   72.17517  64.6%  27.4   95s
 80146 54446  158.39615   48   16  204.16708   72.81266  64.3%  27.7  100s
 83248 56527  192.26463   57   18  204.16708   73.61504  63.9%  28.1  105s
 86524 58730  173.12162   55   11  204.16708   74.30967  63.6%  28.3  110s
 89697 60834  140.12729   42   20  204.16708   74.97130  63.3%  28.6  115s
 93099 63197  111.81781   30   34  204.16708   75.59539  63.0%  28.8  120s
 96335 65422  162.72779   49   13  204.16708   76.15188  62.7%  29.0  125s
 99523 67603  183.93987   45   20  204.16708   76.46647  62.5%  29.2  130s
 102653 69813  158.29219   48   24  204.16708   76.84936  62.4%  29.4  135s
 105730 71832  173.97588   48   23  204.16708   77.28165  62.1%  29.6  140s
 109037 74108  176.90294   53   24  204.16708   77.70254  61.9%  29.7  145s
 112216 76301  122.50989   44   19  204.16708   78.05309  61.8%  29.9  150s
 114965 78153  159.65665   53   16  204.16708   78.18273  61.7%  30.1  155s
 117780 79943  191.11079   49   19  204.16708   78.39463  61.6%  30.4  160s
 120675 81784  143.66025   53   17  204.16708   78.53110  61.5%  30.7  165s
 123435 83390  140.28724   30   30  204.16708   78.75405  61.4%  30.9  170s
 126000 85069  163.52620   38   18  204.16708   78.92727  61.3%  31.1  175s
 128602 86585  185.67132   34   21  204.16708   79.24596  61.2%  31.4  180s
 131387 88150  156.49271   38   32  204.16708   79.51911  61.1%  31.6  185s
 133861 89463  165.04650   56   17  204.16708   79.70340  61.0%  31.8  190s
 136292 90721  174.59270   42   26  204.16708   79.84275  60.9%  32.1  195s
 138649 91929  185.31094   46   25  204.16708   79.94081  60.8%  32.3  200s
 140613 92774  150.60046   24   34  204.16708   80.05791  60.8%  32.6  205s
 142963 93924  201.12332   48   23  204.16708   80.13184  60.8%  32.9  210s
 145200 94926  124.49598   42   16  204.16708   80.33869  60.7%  33.1  215s
 147742 96270  193.32967   58   11  204.16708   80.53271  60.6%  33.3  220s
 150183 97562  144.83103   46   13  204.16708   80.65211  60.5%  33.6  225s
 152653 98835  145.79452   28   33  204.16708   80.84961  60.4%  33.8  230s
 155036 100112  202.38970   43   31  204.16708   81.04650  60.3%  34.0  235s
 157722 101839  142.70301   43   26  204.16708   81.17025  60.2%  34.1  240s
 160236 103061  200.84761   42   25  204.16708   81.34423  60.2%  34.3  245s
 162790 104379  124.12204   56   18  204.16708   81.48429  60.1%  34.5  250s
 165184 105700  162.63823   34   20  204.16708   81.65212  60.0%  34.6  255s
 168041 107312  133.92497   46   21  204.16708   81.83059  59.9%  34.7  260s
 170370 108588  141.57327   43   20  204.16708   81.90378  59.9%  34.9  265s
 172990 109928  186.13174   36   21  204.16708   82.06788  59.8%  35.0  270s
 175588 111306  173.45579   58   23  204.16708   82.26085  59.7%  35.2  275s
 178181 112549  188.00662   38   21  204.16708   82.38439  59.6%  35.3  280s
 180579 113891  183.21188   42   22  204.16708   82.53273  59.6%  35.4  285s
 183232 115354  197.25854   53   16  204.16708   82.65800  59.5%  35.6  290s
 185728 116767  166.44091   47    8  204.16708   82.76862  59.5%  35.7  295s
 188413 118163  199.52265   52   21  204.16708   82.96077  59.4%  35.8  300s
 190804 119323  115.33938   36   19  204.16708   83.10741  59.3%  36.0  305s
 193402 120567  197.13478   50   22  204.16708   83.30639  59.2%  36.1  310s
 195727 121717  124.77204   25   30  204.16708   83.42788  59.1%  36.2  315s
 198088 122860  187.41185   33   28  204.16708   83.54382  59.1%  36.4  320s
 200718 124195  157.12016   41   22  204.16708   83.68605  59.0%  36.5  325s
 203351 125637     cutoff   42       204.16708   83.77518  59.0%  36.6  330s
 205880 126905  151.28309   33   27  204.16708   83.90988  58.9%  36.7  335s
 208239 128037   91.15672   36   30  204.16708   84.05195  58.8%  36.8  340s
